     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7919388978E-03    0.5759420822E-02    0.3224479872E-03    0.5097905999E-02
    0.3000000000E+01    0.2308858514E-02    0.1670203750E-01    0.9403920737E-03    0.1478609414E-01
    0.5000000000E+01    0.3744053751E-02    0.2693899620E-01    0.1525458920E-02    0.2385255218E-01
    0.7000000000E+01    0.5105551342E-02    0.3653713606E-01    0.2080897453E-02    0.3235607923E-01
    0.9000000000E+01    0.6400359830E-02    0.4555509080E-01    0.2609542991E-02    0.4034826155E-01
    0.1100000000E+02    0.7634624376E-02    0.5404451127E-01    0.3113880254E-02    0.4787454673E-01
    0.1300000000E+02    0.8813754343E-02    0.6205107577E-01    0.3596095273E-02    0.5497513140E-01
    0.1500000000E+02    0.9942529060E-02    0.6961532982E-01    0.4058118413E-02    0.6168569915E-01
    0.1700000000E+02    0.1102518597E-01    0.7677338805E-01    0.4501660225E-02    0.6803803744E-01
    0.1900000000E+02    0.1206549449E-01    0.8355752400E-01    0.4928241481E-02    0.7406055588E-01
    0.2100000000E+02    0.1306681820E-01    0.8999666814E-01    0.5339218448E-02    0.7977872395E-01
    0.2300000000E+02    0.1403216746E-01    0.9611683026E-01    0.5735804270E-02    0.8521544230E-01
    0.2500000000E+02    0.1496424407E-01    0.1019414595E+00    0.6119087124E-02    0.9039135919E-01
    0.2700000000E+02    0.1586547943E-01    0.1074917521E+00    0.6490045709E-02    0.9532514118E-01
    0.2900000000E+02    0.1673806719E-01    0.1127869164E+00    0.6849562501E-02    0.1000337057E+00
    0.3100000000E+02    0.1758399129E-01    0.1178444004E+00    0.7198435158E-02    0.1045324217E+00
    0.3300000000E+02    0.1840505024E-01    0.1226800895E+00    0.7537386342E-02    0.1088352831E+00
    0.3500000000E+02    0.1920287803E-01    0.1273084779E+00    0.7867072230E-02    0.1129550596E+00
    0.3700000000E+02    0.1997896239E-01    0.1317428177E+00    0.8188089900E-02    0.1169034277E+00
    0.3900000000E+02    0.2073466062E-01    0.1359952494E+00    0.8500983766E-02    0.1206910859E+00
    0.4100000000E+02    0.2147121346E-01    0.1400769167E+00    0.8806251194E-02    0.1243278549E+00
    0.4300000000E+02    0.2218975728E-01    0.1439980663E+00    0.9104347425E-02    0.1278227662E+00
