     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.4223424084E-02    0.1595770248E-02    0.9269869819E-03
    0.3000000000E+01    0.1244432061E-01    0.4719446104E-02    0.2731408588E-02
    0.5000000000E+01    0.2037840432E-01    0.7757105954E-02    0.4472929984E-02
    0.7000000000E+01    0.2804185777E-01    0.1071373303E-01    0.6155099346E-02
    0.9000000000E+01    0.3544964463E-01    0.1359391351E-01    0.7781197631E-02
    0.1100000000E+02    0.4261562189E-01    0.1640187473E-01    0.9354263176E-02
    0.1300000000E+02    0.4955263999E-01    0.1914151912E-01    0.1087711364E-01
    0.1500000000E+02    0.5627263230E-01    0.2181645447E-01    0.1235236563E-01
    0.1700000000E+02    0.6278669540E-01    0.2443002093E-01    0.1378245229E-01
    0.1900000000E+02    0.6910516096E-01    0.2698531509E-01    0.1516963906E-01
    0.2100000000E+02    0.7523766057E-01    0.2948521166E-01    0.1651603789E-01
    0.2300000000E+02    0.8119318402E-01    0.3193238283E-01    0.1782362003E-01
    0.2500000000E+02    0.8698013187E-01    0.3432931570E-01    0.1909422753E-01
    0.2700000000E+02    0.9260636310E-01    0.3667832797E-01    0.2032958370E-01
    0.2900000000E+02    0.9807923806E-01    0.3898158208E-01    0.2153130252E-01
    0.3100000000E+02    0.1034056576E+00    0.4124109802E-01    0.2270089724E-01
    0.3300000000E+02    0.1085920984E+00    0.4345876486E-01    0.2383978809E-01
    0.3500000000E+02    0.1136446454E+00    0.4563635122E-01    0.2494930941E-01
    0.3700000000E+02    0.1185690209E+00    0.4777551475E-01    0.2603071604E-01
    0.3900000000E+02    0.1233706115E+00    0.4987781079E-01    0.2708518918E-01
    0.4100000000E+02    0.1280544923E+00    0.5194470017E-01    0.2811384181E-01
    0.4300000000E+02    0.1326254497E+00    0.5397755639E-01    0.2911772352E-01
    0.4500000000E+02    0.1370880015E+00    0.5597767211E-01    0.3009782504E-01
    0.4700000000E+02    0.1414464157E+00    0.5794626511E-01    0.3105508231E-01
    0.4900000000E+02    0.1457047275E+00    0.5988448369E-01    0.3199038029E-01
    0.1000000000E+02    0.3906203382E-01    0.1500667039E-01    0.8574178461E-02
    0.3000000000E+02    0.1007603404E+00    0.4011668631E-01    0.2212002454E-01
    0.5000000000E+02    0.1477975465E+00    0.6084254367E-01    0.3245005802E-01
    0.7000000000E+02    0.1852254984E+00    0.7864262376E-01    0.4067210077E-01
    0.9000000000E+02    0.2159461640E+00    0.9433309078E-01    0.4742257467E-01
    0.1100000000E+03    0.2417544858E+00    0.1084116950E+00    0.5309515080E-01
    0.1300000000E+03    0.2638276104E+00    0.1212040256E+00    0.5794802124E-01
    0.1500000000E+03    0.2829749470E+00    0.1329357190E+00    0.6215873173E-01
    0.1700000000E+03    0.2997750956E+00    0.1437707948E+00    0.6585420817E-01
    0.1900000000E+03    0.3146552116E+00    0.1538332837E+00    0.6912816130E-01
    0.2100000000E+03    0.3279392669E+00    0.1632200844E+00    0.7205167032E-01
    0.2300000000E+03    0.3398786258E+00    0.1720089582E+00    0.7467988856E-01
    0.2500000000E+03    0.3506721184E+00    0.1802637061E+00    0.7705644597E-01
    0.2700000000E+03    0.3604796364E+00    0.1880376407E+00    0.7921643094E-01
    0.2900000000E+03    0.3694315976E+00    0.1953759910E+00    0.8118846612E-01
    0.3100000000E+03    0.3776356961E+00    0.2023176155E+00    0.8299618895E-01
    0.3300000000E+03    0.3851818217E+00    0.2088962554E+00    0.8465933078E-01
    0.3500000000E+03    0.3921457150E+00    0.2151414723E+00    0.8619451845E-01
    0.3700000000E+03    0.3985917294E+00    0.2210793638E+00    0.8761588033E-01
    0.3900000000E+03    0.4045749516E+00    0.2267331212E+00    0.8893551133E-01
    0.4100000000E+03    0.4101428511E+00    0.2321234706E+00    0.9016383486E-01
    0.4300000000E+03    0.4153365807E+00    0.2372690268E+00    0.9130988800E-01
    0.4500000000E+03    0.4201920116E+00    0.2421865821E+00    0.9238154874E-01
    0.4700000000E+03    0.4247405677E+00    0.2468913435E+00    0.9338571890E-01
    0.4900000000E+03    0.4290099022E+00    0.2513971302E+00    0.9432847271E-01
    0.1000000000E+03    0.2293799974E+00    0.1015505649E+00    0.5037509478E-01
    0.3000000000E+03    0.3736211422E+00    0.1988941774E+00    0.8211155233E-01
    0.5000000000E+03    0.4310476107E+00    0.2535793887E+00    0.9477852079E-01
    0.7000000000E+03    0.4617996695E+00    0.2893218509E+00    0.1015783219E+00
    0.9000000000E+03    0.4808002673E+00    0.3145714664E+00    0.1057900605E+00
    0.1100000000E+04    0.4936339866E+00    0.3333638801E+00    0.1086419550E+00
    0.1300000000E+04    0.5028518618E+00    0.3478952595E+00    0.1106955339E+00
    0.1500000000E+04    0.5097776112E+00    0.3594666032E+00    0.1122424168E+00
    0.1700000000E+04    0.5151633277E+00    0.3688982134E+00    0.1134484312E+00
