pressure,muc,muc_err,molkg,molkg_err,_
0.1,0.0028523214,0.0000921102,0.0004944998,0.0000159689,
0.5,0.0147128571,0.0004841581,0.0025507313,0.0000839373,
1,0.0293676786,0.0009446695,0.0050914012,0.0001637750,
5,0.1472992857,0.0034595236,0.0255369097,0.0005997690,
10,0.2862196429,0.0104794293,0.0496211854,0.0018167925,
50,1.2445814286,0.0162460384,0.2157699771,0.0028165351,
1e2,2.0065094643,0.0273498660,0.3478635396,0.0047415780,
5e2,3.4197394643,0.0300224105,0.5928716988,0.0052049104,
1e3,3.6960337500,0.0092936513,0.6407721497,0.0016112171,
5e3,3.9350976786,0.0060515748,0.6822180666,0.0010491464,
1e4,3.9683153571,0.0062022107,0.6879769326,0.0010752618,
5e4,3.9936376786,0.0020958253,0.6923670003,0.0003633480,
1e5,3.9967360714,0.0011472797,0.6929041610,0.0001989010,
5e5,3.9987726786,0.0004171993,0.6932572425,0.0000723288,
1e6,3.9992680357,0.0003768296,0.6933431213,0.0000653300,
5e6,3.9993610714,0.0003159168,0.6933592507,0.0000547697,
1e7,3.9994723214,0.0002609313,0.6933785378,0.0000452370,
5e7,3.9999119643,0.0001177715,0.6934547576,0.0000204178,
