     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.5283679386E-02    0.1063230356E-02    0.5197375810E-03
    0.3000000000E+01    0.1559312588E-01    0.3175814338E-02    0.1537194508E-02
    0.5000000000E+01    0.2557291676E-01    0.5270105711E-02    0.2526538764E-02
    0.7000000000E+01    0.3523914424E-01    0.7346352094E-02    0.3489174380E-02
    0.9000000000E+01    0.4460686094E-01    0.9404796612E-02    0.4426410287E-02
    0.1100000000E+02    0.5369016239E-01    0.1144567799E-01    0.5339468107E-02
    0.1300000000E+02    0.6250226179E-01    0.1346923067E-01    0.6229489207E-02
    0.1500000000E+02    0.7105555786E-01    0.1547568488E-01    0.7097541085E-02
    0.1700000000E+02    0.7936169665E-01    0.1746526675E-01    0.7944623174E-02
    0.1900000000E+02    0.8743162769E-01    0.1943819840E-01    0.8771672111E-02
    0.2100000000E+02    0.9527565535E-01    0.2139469802E-01    0.9579566536E-02
    0.2300000000E+02    0.1029034856E+00    0.2333497997E-01    0.1036913146E-01
    0.2500000000E+02    0.1103242690E+00    0.2525925484E-01    0.1114114228E-01
    0.2700000000E+02    0.1175466396E+00    0.2716772957E-01    0.1189632837E-01
    0.2900000000E+02    0.1245787512E+00    0.2906060749E-01    0.1263537647E-01
    0.3100000000E+02    0.1314283103E+00    0.3093808842E-01    0.1335893373E-01
    0.3300000000E+02    0.1381026062E+00    0.3280036875E-01    0.1406761046E-01
    0.3500000000E+02    0.1446085391E+00    0.3464764150E-01    0.1476198277E-01
    0.3700000000E+02    0.1509526459E+00    0.3648009641E-01    0.1544259489E-01
    0.3900000000E+02    0.1571411235E+00    0.3829791997E-01    0.1610996135E-01
    0.4100000000E+02    0.1631798510E+00    0.4010129554E-01    0.1676456895E-01
    0.4300000000E+02    0.1690744098E+00    0.4189040338E-01    0.1740687868E-01
    0.4500000000E+02    0.1748301023E+00    0.4366542074E-01    0.1803732733E-01
    0.4700000000E+02    0.1804519692E+00    0.4542652191E-01    0.1865632911E-01
    0.4900000000E+02    0.1859448055E+00    0.4717387828E-01    0.1926427710E-01
    0.1000000000E+02    0.4918321789E-01    0.1042741794E-01    0.4885888319E-02
    0.3000000000E+02    0.1280258848E+00    0.3000126022E-01    0.1299905248E-01
    0.5000000000E+02    0.1886442720E+00    0.4804245494E-01    0.1956422331E-01
