      Pressure (pa)     C7-500 (mol/kg)     3mC6-500 (mol/kg)
    0.8500000000E+03    0.9930135493E-01    0.2914088440E-01
    0.8700000000E+03    0.1011897747E+00    0.2969244940E-01
    0.8900000000E+03    0.1030616292E+00    0.3023906492E-01
    0.9100000000E+03    0.1049171359E+00    0.3078079651E-01
    0.9300000000E+03    0.1067565091E+00    0.3131770860E-01
    0.9500000000E+03    0.1085799589E+00    0.3184986448E-01
    0.9700000000E+03    0.1103876920E+00    0.3237732635E-01
    0.9900000000E+03    0.1121799113E+00    0.3290015532E-01
    0.1010000000E+04    0.1139568166E+00    0.3341841145E-01
    0.1030000000E+04    0.1157186039E+00    0.3393215377E-01
    0.1050000000E+04    0.1174654661E+00    0.3444144032E-01
    0.1070000000E+04    0.1191975927E+00    0.3494632812E-01
    0.1090000000E+04    0.1209151701E+00    0.3544687326E-01
    0.1110000000E+04    0.1226183815E+00    0.3594313084E-01
    0.1130000000E+04    0.1243074070E+00    0.3643515507E-01
    0.1150000000E+04    0.1259824239E+00    0.3692299923E-01
    0.1170000000E+04    0.1276436063E+00    0.3740671575E-01
    0.1190000000E+04    0.1292911255E+00    0.3788635613E-01
    0.1000000000E+03    0.1401025162E-01    0.4125877938E-02
    0.3000000000E+03    0.3990938678E-01    0.1174142023E-01
    0.5000000000E+03    0.6332068730E-01    0.1861146511E-01
    0.7000000000E+03    0.8458713977E-01    0.2483944296E-01
    0.9000000000E+03    0.1039914125E+00    0.3051053715E-01
    0.1100000000E+04    0.1217685602E+00    0.3569553458E-01
    0.1300000000E+04    0.1381156464E+00    0.4045374103E-01
    0.1500000000E+04    0.1531991233E+00    0.4483521596E-01
    0.1700000000E+04    0.1671605550E+00    0.4888250514E-01
    0.1900000000E+04    0.1801211031E+00    0.5263199788E-01
    0.2100000000E+04    0.1921850755E+00    0.5611500054E-01
    0.2300000000E+04    0.2034427595E+00    0.5935859302E-01
    0.2500000000E+04    0.2139727015E+00    0.6238631791E-01
    0.2700000000E+04    0.2238435566E+00    0.6521873904E-01
    0.2900000000E+04    0.2331155981E+00    0.6787389759E-01
    0.3100000000E+04    0.2418419598E+00    0.7036768683E-01
    0.3300000000E+04    0.2500696628E+00    0.7271416214E-01
    0.3500000000E+04    0.2578404704E+00    0.7492579878E-01
    0.3700000000E+04    0.2651916035E+00    0.7701370758E-01
    0.3900000000E+04    0.2721563418E+00    0.7898781620E-01
    0.4100000000E+04    0.2787645327E+00    0.8085702228E-01
    0.4300000000E+04    0.2850430225E+00    0.8262932343E-01
    0.4500000000E+04    0.2910160246E+00    0.8431192805E-01
    0.4700000000E+04    0.2967054350E+00    0.8591135014E-01
    0.4900000000E+04    0.3021311028E+00    0.8743349082E-01
    0.5100000000E+04    0.3073110645E+00    0.8888370858E-01
