     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.3195318463E-02    0.9105557255E-03    0.1863028626E-03
    0.3000000000E+01    0.9470755103E-02    0.2698800220E-02    0.5542104927E-03
    0.5000000000E+01    0.1559712836E-01    0.4444517002E-02    0.9160255852E-03
    0.7000000000E+01    0.2157966029E-01    0.6149196474E-02    0.1271945861E-02
    0.9000000000E+01    0.2742333199E-01    0.7814260264E-02    0.1622160164E-02
    0.1100000000E+02    0.3313289740E-01    0.9441065145E-02    0.1966848969E-02
    0.1300000000E+02    0.3871289605E-01    0.1103090669E-01    0.2306184843E-02
    0.1500000000E+02    0.4416766503E-01    0.1258502269E-01    0.2640332885E-02
    0.1700000000E+02    0.4950135016E-01    0.1410459633E-01    0.2969451131E-02
    0.1900000000E+02    0.5471791640E-01    0.1559075918E-01    0.3293690939E-02
    0.2100000000E+02    0.5982115761E-01    0.1704459395E-01    0.3613197341E-02
    0.2300000000E+02    0.6481470568E-01    0.1846713713E-01    0.3928109379E-02
    0.2500000000E+02    0.6970203911E-01    0.1985938143E-01    0.4238560417E-02
    0.2700000000E+02    0.7448649095E-01    0.2122227804E-01    0.4544678433E-02
    0.2900000000E+02    0.7917125639E-01    0.2255673879E-01    0.4846586293E-02
    0.3100000000E+02    0.8375939980E-01    0.2386363817E-01    0.5144402011E-02
    0.3300000000E+02    0.8825386132E-01    0.2514381522E-01    0.5438238991E-02
    0.3500000000E+02    0.9265746314E-01    0.2639807531E-01    0.5728206253E-02
    0.3700000000E+02    0.9697291530E-01    0.2762719179E-01    0.6014408647E-02
    0.3900000000E+02    0.1012028213E+00    0.2883190761E-01    0.6296947060E-02
    0.4100000000E+02    0.1053496831E+00    0.3001293674E-01    0.6575918597E-02
    0.4300000000E+02    0.1094159062E+00    0.3117096562E-01    0.6851416767E-02
    0.4500000000E+02    0.1134038043E+00    0.3230665444E-01    0.7123531650E-02
    0.4700000000E+02    0.1173156033E+00    0.3342063842E-01    0.7392350055E-02
    0.4900000000E+02    0.1211534458E+00    0.3451352892E-01    0.7657955672E-02
    0.1000000000E+02    0.3029458938E-01    0.8632362701E-02    0.1795184289E-02
    0.3000000000E+02    0.8147721926E-01    0.2321358040E-01    0.4995998476E-02
    0.5000000000E+02    0.1230452811E+00    0.3505224894E-01    0.7789579020E-02
    0.7000000000E+02    0.1574625537E+00    0.4485143679E-01    0.1027156865E-01
    0.9000000000E+02    0.1864178841E+00    0.5309303149E-01    0.1250861345E-01
    0.1100000000E+03    0.2111075792E+00    0.6011834947E-01    0.1454874380E-01
    0.1300000000E+03    0.2324027079E+00    0.6617589044E-01    0.1642756044E-01
    0.1500000000E+03    0.2509525548E+00    0.7145086570E-01    0.1817208693E-01
    0.1700000000E+03    0.2672509530E+00    0.7608412996E-01    0.1980325962E-01
    0.1900000000E+03    0.2816801581E+00    0.8018470261E-01    0.2133758900E-01
    0.2100000000E+03    0.2945406593E+00    0.8383827521E-01    0.2278829912E-01
    0.2300000000E+03    0.3060719204E+00    0.8711312998E-01    0.2416612800E-01
    0.2500000000E+03    0.3164671132E+00    0.9006434407E-01    0.2547990200E-01
    0.2700000000E+03    0.3258837809E+00    0.9273683194E-01    0.2673695578E-01
    0.2900000000E+03    0.3344516841E+00    0.9516758406E-01    0.2794344460E-01
    0.3100000000E+03    0.3422786622E+00    0.9738733898E-01    0.2910458012E-01
    0.3300000000E+03    0.3494550708E+00    0.9942184937E-01    0.3022481086E-01
    0.3500000000E+03    0.3560571841E+00    0.1012928525E+00    0.3130796209E-01
    0.3700000000E+03    0.3621498329E+00    0.1030188227E+00    0.3235734541E-01
    0.3900000000E+03    0.3677884706E+00    0.1046155608E+00    0.3337584568E-01
    0.4100000000E+03    0.3730208082E+00    0.1060966601E+00    0.3436599041E-01
    0.4300000000E+03    0.3778881183E+00    0.1074738787E+00    0.3533000584E-01
    0.4500000000E+03    0.3824262849E+00    0.1087574385E+00    0.3626986253E-01
    0.4700000000E+03    0.3866666536E+00    0.1099562679E+00    0.3718731270E-01
    0.4900000000E+03    0.3906367262E+00    0.1110781999E+00    0.3808392115E-01
    0.1000000000E+03    0.1992353131E+00    0.5674042992E-01    0.1355083011E-01
    0.3000000000E+03    0.3384517760E+00    0.9630212237E-01    0.2852938741E-01
    0.5000000000E+03    0.3925280875E+00    0.1116125182E+00    0.3852485386E-01
    0.7000000000E+03    0.4207549015E+00    0.1195687657E+00    0.4652435563E-01
    0.9000000000E+03    0.4377925654E+00    0.1243448526E+00    0.5342763736E-01
    0.1100000000E+04    0.4489999220E+00    0.1274652288E+00    0.5962587458E-01
    0.1300000000E+04    0.4567963230E+00    0.1296176214E+00    0.6532564042E-01
    0.1500000000E+04    0.4624318845E+00    0.1311571498E+00    0.7065015914E-01
    0.1700000000E+04    0.4666165791E+00    0.1322853724E+00    0.7567934767E-01
    0.1900000000E+04    0.4697829069E+00    0.1331250066E+00    0.8046828963E-01
    0.2100000000E+04    0.4722090135E+00    0.1337549341E+00    0.8505674820E-01
    0.2300000000E+04    0.4740816754E+00    0.1342281008E+00    0.8947448629E-01
    0.2500000000E+04    0.4755308166E+00    0.1345813217E+00    0.9374443972E-01
    0.2700000000E+04    0.4766495047E+00    0.1348409594E+00    0.9788471041E-01
    0.2900000000E+04    0.4775060802E+00    0.1350263660E+00    0.1019098726E+00
    0.3100000000E+04    0.4781518032E+00    0.1351520534E+00    0.1058318598E+00
    0.3300000000E+04    0.4786258357E+00    0.1352291061E+00    0.1096605853E+00
    0.3500000000E+04    0.4789585819E+00    0.1352661284E+00    0.1134043875E+00
    0.3700000000E+04    0.4791739833E+00    0.1352698950E+00    0.1170703576E+00
    0.3900000000E+04    0.4792911312E+00    0.1352458077E+00    0.1206645838E+00
    0.4100000000E+04    0.4793254217E+00    0.1351982228E+00    0.1241923385E+00
    0.4300000000E+04    0.4792893966E+00    0.1351306890E+00    0.1276582220E+00
    0.4500000000E+04    0.4791933664E+00    0.1350461241E+00    0.1310662762E+00
    0.4700000000E+04    0.4790458782E+00    0.1349469472E+00    0.1344200743E+00
    0.4900000000E+04    0.4788540704E+00    0.1348351790E+00    0.1377227928E+00
    0.1000000000E+04    0.4439346010E+00    0.1260578619E+00    0.5659930176E-01
    0.3000000000E+04    0.4778526125E+00    0.1350959143E+00    0.1038831021E+00
    0.5000000000E+04    0.4787434609E+00    0.1347751152E+00    0.1393558960E+00
    0.7000000000E+04    0.4752570573E+00    0.1332110886E+00    0.1698911572E+00
    0.9000000000E+04    0.4707006565E+00    0.1313420021E+00    0.1973128109E+00
    0.1100000000E+05    0.4659128946E+00    0.1294082921E+00    0.2224219794E+00
    0.1300000000E+05    0.4611798374E+00    0.1274939256E+00    0.2456554902E+00
    0.1500000000E+05    0.4566134714E+00    0.1256332399E+00    0.2672856262E+00
    0.1700000000E+05    0.4522590605E+00    0.1238412721E+00    0.2874994792E+00
    0.1900000000E+05    0.4481328203E+00    0.1221244352E+00    0.3064358463E+00
    0.2100000000E+05    0.4442371794E+00    0.1204848724E+00    0.3242042301E+00
    0.2300000000E+05    0.4405676498E+00    0.1189224415E+00    0.3408953345E+00
    0.2500000000E+05    0.4371161837E+00    0.1174357058E+00    0.3565871578E+00
    0.2700000000E+05    0.4338729264E+00    0.1160224688E+00    0.3713486631E+00
    0.2900000000E+05    0.4308271834E+00    0.1146800839E+00    0.3852420535E+00
    0.3100000000E+05    0.4279679772E+00    0.1134056448E+00    0.3983242182E+00
    0.3300000000E+05    0.4252843801E+00    0.1121961090E+00    0.4106476737E+00
    0.3500000000E+05    0.4227657152E+00    0.1110483808E+00    0.4222611942E+00
    0.3700000000E+05    0.4204016804E+00    0.1099593695E+00    0.4332102487E+00
    0.3900000000E+05    0.4181824210E+00    0.1089260299E+00    0.4435373167E+00
    0.4100000000E+05    0.4160985712E+00    0.1079453914E+00    0.4532821284E+00
    0.4300000000E+05    0.4141412734E+00    0.1070145781E+00    0.4624818576E+00
    0.4500000000E+05    0.4123021828E+00    0.1061308226E+00    0.4711712845E+00
    0.4700000000E+05    0.4105734612E+00    0.1052914753E+00    0.4793829406E+00
    0.4900000000E+05    0.4089477650E+00    0.1044940091E+00    0.4871472399E+00
    0.1000000000E+05    0.4683115619E+00    0.1303761999E+00    0.2101238755E+00
    0.3000000000E+05    0.4293749502E+00    0.1140345592E+00    0.3918811629E+00
    0.5000000000E+05    0.4081713874E+00    0.1041102259E+00    0.4908705867E+00
    0.7000000000E+05    0.3966196834E+00    0.9811692879E-01    0.5477997535E+00
