     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.3195413787E-02    0.3902451210E-03    0.9309738997E-03
    0.3000000000E+01    0.9471591772E-02    0.1156689071E-02    0.2766293614E-02
    0.5000000000E+01    0.1559939376E-01    0.1904954781E-02    0.4567190306E-02
    0.7000000000E+01    0.2158398627E-01    0.2635675282E-02    0.6334904605E-02
    0.9000000000E+01    0.2743029597E-01    0.3349454221E-02    0.8070615999E-02
    0.1100000000E+02    0.3314302361E-01    0.4046867564E-02    0.9775446602E-02
    0.1300000000E+02    0.3872665697E-01    0.4728465191E-02    0.1145046464E-01
    0.1500000000E+02    0.4418548295E-01    0.5394772368E-02    0.1309668769E-01
    0.1700000000E+02    0.4952359880E-01    0.6046291128E-02    0.1471508568E-01
    0.1900000000E+02    0.5474492263E-01    0.6683501555E-02    0.1630658369E-01
    0.2100000000E+02    0.5985320322E-01    0.7306862987E-02    0.1787206453E-01
    0.2300000000E+02    0.6485202914E-01    0.7916815134E-02    0.1941237117E-01
    0.2500000000E+02    0.6974483733E-01    0.8513779126E-02    0.2092830901E-01
    0.2700000000E+02    0.7453492110E-01    0.9098158501E-02    0.2242064794E-01
    0.2900000000E+02    0.7922543767E-01    0.9670340113E-02    0.2389012434E-01
    0.3100000000E+02    0.8381941515E-01    0.1023069501E-01    0.2533744288E-01
    0.3300000000E+02    0.8831975916E-01    0.1077957921E-01    0.2676327825E-01
    0.3500000000E+02    0.9272925905E-01    0.1131733451E-01    0.2816827676E-01
    0.3700000000E+02    0.9705059366E-01    0.1184428916E-01    0.2955305783E-01
    0.3900000000E+02    0.1012863368E+00    0.1236075852E-01    0.3091821539E-01
    0.4100000000E+02    0.1054389626E+00    0.1286704575E-01    0.3226431923E-01
    0.4300000000E+02    0.1095108498E+00    0.1336344235E-01    0.3359191619E-01
    0.4500000000E+02    0.1135042870E+00    0.1385022872E-01    0.3490153135E-01
    0.4700000000E+02    0.1174214764E+00    0.1432767473E-01    0.3619366911E-01
    0.4900000000E+02    0.1212645384E+00    0.1479604017E-01    0.3746881421E-01
    0.1000000000E+02    0.3030307222E-01    0.3700171631E-02    0.8926823411E-02
    0.3000000000E+02    0.8153430940E-01    0.9951973305E-02    0.2461651049E-01
    0.5000000000E+02    0.1231589126E+00    0.1502689622E-01    0.3810016087E-01
    0.7000000000E+02    0.1576135239E+00    0.1922350771E-01    0.4993933109E-01
    0.9000000000E+02    0.1865721455E+00    0.2274692568E-01    0.6051331486E-01
    0.1100000000E+03    0.2112242497E+00    0.2574289398E-01    0.7008832746E-01
    0.1300000000E+03    0.2324389274E+00    0.2831789619E-01    0.7885724873E-01
    0.1500000000E+03    0.2508662828E+00    0.3055158090E-01    0.8696360989E-01
    0.1700000000E+03    0.2670024853E+00    0.3250473351E-01    0.9451668183E-01
    0.1900000000E+03    0.2812328667E+00    0.3422455781E-01    0.1016013053E+00
    0.2100000000E+03    0.2938612726E+00    0.3574827293E-01    0.1082844920E+00
    0.2300000000E+03    0.3051305366E+00    0.3710562236E-01    0.1146199752E+00
    0.2500000000E+03    0.3152370662E+00    0.3832066149E-01    0.1206514208E+00
    0.2700000000E+03    0.3243414301E+00    0.3941305493E-01    0.1264147384E+00
    0.2900000000E+03    0.3325761711E+00    0.4039903394E-01    0.1319397773E+00
    0.3100000000E+03    0.3400516595E+00    0.4129211363E-01    0.1372515896E+00
    0.3300000000E+03    0.3468605369E+00    0.4210363750E-01    0.1423713863E+00
    0.3500000000E+03    0.3530811328E+00    0.4284319604E-01    0.1473172702E+00
    0.3700000000E+03    0.3587801199E+00    0.4351895201E-01    0.1521048045E+00
    0.3900000000E+03    0.3640145995E+00    0.4413789602E-01    0.1567474591E+00
    0.4100000000E+03    0.3688337553E+00    0.4470604903E-01    0.1612569642E+00
    0.4300000000E+03    0.3732801751E+00    0.4522862434E-01    0.1656435939E+00
    0.4500000000E+03    0.3773909173E+00    0.4571015820E-01    0.1699163946E+00
    0.4700000000E+03    0.3811983767E+00    0.4615461583E-01    0.1740833706E+00
    0.4900000000E+03    0.3847309927E+00    0.4656547819E-01    0.1781516375E+00
    0.1000000000E+03    0.1993760980E+00    0.2430343879E-01    0.6541225538E-01
    0.3000000000E+03    0.3364026606E+00    0.4085643176E-01    0.1346209306E+00
    0.5000000000E+03    0.3864021859E+00    0.4675928438E-01    0.1801507669E+00
    0.7000000000E+03    0.4101479251E+00    0.4945316202E-01    0.2161873460E+00
    0.9000000000E+03    0.4228040847E+00    0.5079411935E-01    0.2467627796E+00
    0.1100000000E+04    0.4298986810E+00    0.5145890734E-01    0.2735910558E+00
    0.1300000000E+04    0.4339031970E+00    0.5175030867E-01    0.2975769847E+00
    0.1500000000E+04    0.4360748279E+00    0.5182250934E-01    0.3192705050E+00
    0.1700000000E+04    0.4371122829E+00    0.5176130177E-01    0.3390412045E+00
    0.1900000000E+04    0.4374293853E+00    0.5161754497E-01    0.3571567432E+00
    0.2100000000E+04    0.4372830034E+00    0.5142281564E-01    0.3738222073E+00
    0.2300000000E+04    0.4368382608E+00    0.5119739268E-01    0.3892015684E+00
    0.2500000000E+04    0.4362041031E+00    0.5095461800E-01    0.4034301838E+00
    0.2700000000E+04    0.4354537794E+00    0.5070341280E-01    0.4166224921E+00
    0.2900000000E+04    0.4346371746E+00    0.5044979624E-01    0.4288769873E+00
    0.3100000000E+04    0.4337885108E+00    0.5019783706E-01    0.4402795773E+00
    0.3300000000E+04    0.4329313089E+00    0.4995026853E-01    0.4509059458E+00
    0.3500000000E+04    0.4320816664E+00    0.4970889647E-01    0.4608232768E+00
    0.3700000000E+04    0.4312504715E+00    0.4947487587E-01    0.4700915567E+00
    0.3900000000E+04    0.4304449254E+00    0.4924890197E-01    0.4787645890E+00
    0.4100000000E+04    0.4296696050E+00    0.4903134411E-01    0.4868908048E+00
    0.4300000000E+04    0.4289272145E+00    0.4882234082E-01    0.4945139275E+00
    0.4500000000E+04    0.4282191225E+00    0.4862186798E-01    0.5016735258E+00
    0.4700000000E+04    0.4275457490E+00    0.4842978799E-01    0.5084054826E+00
    0.4900000000E+04    0.4269068457E+00    0.4824588561E-01    0.5147423970E+00
    0.1000000000E+04    0.4268513323E+00    0.5118712123E-01    0.2605772681E+00
    0.3000000000E+04    0.4342151740E+00    0.5032341292E-01    0.4346798233E+00
    0.5000000000E+04    0.4266001115E+00    0.4815691908E-01    0.5177720893E+00
    0.7000000000E+04    0.4219939015E+00    0.4673231926E-01    0.5635554499E+00
    0.9000000000E+04    0.4194176413E+00    0.4578980625E-01    0.5913347674E+00
    0.1100000000E+05    0.4179504676E+00    0.4513148944E-01    0.6095017381E+00
    0.1300000000E+05    0.4170970619E+00    0.4464682207E-01    0.6220961690E+00
    0.1500000000E+05    0.4165968134E+00    0.4427377944E-01    0.6312371274E+00
    0.1700000000E+05    0.4163077381E+00    0.4397601093E-01    0.6381189453E+00
    0.1900000000E+05    0.4161491276E+00    0.4373117606E-01    0.6434561352E+00
    0.2100000000E+05    0.4160732429E+00    0.4352492798E-01    0.6476979212E+00
    0.2300000000E+05    0.4160508434E+00    0.4334768758E-01    0.6511387563E+00
    0.2500000000E+05    0.4160634761E+00    0.4319283731E-01    0.6539785812E+00
    0.2700000000E+05    0.4160991975E+00    0.4305566737E-01    0.6563573221E+00
    0.2900000000E+05    0.4161501120E+00    0.4293273704E-01    0.6583754908E+00
    0.3100000000E+05    0.4162109083E+00    0.4282147429E-01    0.6601069436E+00
    0.3300000000E+05    0.4162779628E+00    0.4271991695E-01    0.6616070418E+00
    0.3500000000E+05    0.4163487761E+00    0.4262654086E-01    0.6629180198E+00
    0.3700000000E+05    0.4164216109E+00    0.4254014280E-01    0.6640726056E+00
    0.3900000000E+05    0.4164952546E+00    0.4245975908E-01    0.6650965185E+00
    0.4100000000E+05    0.4165688597E+00    0.4238460776E-01    0.6660102259E+00
    0.4300000000E+05    0.4166418363E+00    0.4231404682E-01    0.6668302027E+00
    0.4500000000E+05    0.4167137775E+00    0.4224754349E-01    0.6675698472E+00
    0.4700000000E+05    0.4167844078E+00    0.4218465132E-01    0.6682401599E+00
    0.4900000000E+05    0.4168535455E+00    0.4212499289E-01    0.6688502498E+00
    0.1000000000E+05    0.4185838179E+00    0.4543354796E-01    0.6013043143E+00
    0.3000000000E+05    0.4161795332E+00    0.4287578180E-01    0.6592732366E+00
    0.5000000000E+05    0.4168875173E+00    0.4209627391E-01    0.6691351376E+00
    0.7000000000E+05    0.4174802191E+00    0.4163360022E-01    0.6729914117E+00
    0.9000000000E+05    0.4179336793E+00    0.4130166969E-01    0.6750183003E+00
    0.1100000000E+06    0.4182912664E+00    0.4104185527E-01    0.6762608585E+00
    0.1300000000E+06    0.4185829343E+00    0.4082804472E-01    0.6770981637E+00
    0.1500000000E+06    0.4188275431E+00    0.4064625398E-01    0.6776997147E+00
    0.1700000000E+06    0.4190372698E+00    0.4048808493E-01    0.6781523504E+00
    0.1900000000E+06    0.4192202908E+00    0.4034808371E-01    0.6785050515E+00
    0.2100000000E+06    0.4193823053E+00    0.4022250115E-01    0.6787875001E+00
    0.2300000000E+06    0.4195274189E+00    0.4010864590E-01    0.6790187131E+00
    0.2500000000E+06    0.4196586735E+00    0.4000451888E-01    0.6792114284E+00
    0.2700000000E+06    0.4197783785E+00    0.3990859370E-01    0.6793744945E+00
    0.2900000000E+06    0.4198883241E+00    0.3981967800E-01    0.6795142466E+00
    0.3100000000E+06    0.4199899234E+00    0.3973682229E-01    0.6796353388E+00
    0.3300000000E+06    0.4200843100E+00    0.3965925804E-01    0.6797412662E+00
    0.3500000000E+06    0.4201724057E+00    0.3958635432E-01    0.6798347037E+00
    0.3700000000E+06    0.4202549697E+00    0.3951758675E-01    0.6799177331E+00
    0.3900000000E+06    0.4203326340E+00    0.3945251474E-01    0.6799919987E+00
    0.4100000000E+06    0.4204059301E+00    0.3939076452E-01    0.6800588163E+00
    0.4300000000E+06    0.4204753090E+00    0.3933201626E-01    0.6801192511E+00
    0.4500000000E+06    0.4205411563E+00    0.3927599416E-01    0.6801741750E+00
    0.4700000000E+06    0.4206038043E+00    0.3922245872E-01    0.6802243078E+00
    0.4900000000E+06    0.4206635411E+00    0.3917120062E-01    0.6802702497E+00
    0.1000000000E+06    0.4181222613E+00    0.4116479002E-01    0.6757064416E+00
    0.3000000000E+06    0.4199400905E+00    0.3977754434E-01    0.6795768842E+00
    0.5000000000E+06    0.4206923976E+00    0.3914636721E-01    0.6802918097E+00
    0.7000000000E+06    0.4211638107E+00    0.3873434772E-01    0.6805914474E+00
    0.9000000000E+06    0.4215058991E+00    0.3842859196E-01    0.6807561475E+00
    0.1100000000E+07    0.4217738116E+00    0.3818571276E-01    0.6808603308E+00
    0.1300000000E+07    0.4219937025E+00    0.3798439936E-01    0.6809322011E+00
    0.1500000000E+07    0.4221800050E+00    0.3781259945E-01    0.6809847953E+00
    0.1700000000E+07    0.4223415158E+00    0.3766283275E-01    0.6810249686E+00
    0.1900000000E+07    0.4224839876E+00    0.3753013826E-01    0.6810566701E+00
    0.2100000000E+07    0.4226113858E+00    0.3741105755E-01    0.6810823348E+00
    0.2300000000E+07    0.4227265584E+00    0.3730308396E-01    0.6811035460E+00
    0.2500000000E+07    0.4228316190E+00    0.3720434302E-01    0.6811213774E+00
