     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.7938127138E-02    0.3877844930E-03    0.3709805702E-03
    0.3000000000E+01    0.2324144021E-01    0.1135332080E-02    0.1094278098E-02
    0.5000000000E+01    0.3782547031E-01    0.1847701926E-02    0.1794037486E-02
    0.7000000000E+01    0.5173950499E-01    0.2527305581E-02    0.2471749249E-02
    0.9000000000E+01    0.6502843266E-01    0.3176339302E-02    0.3128774747E-02
    0.1100000000E+02    0.7773322261E-01    0.3796807555E-02    0.3766360124E-02
    0.1300000000E+02    0.8989134357E-01    0.4390543494E-02    0.4385648476E-02
    0.1500000000E+02    0.1015371296E+00    0.4959226877E-02    0.4987690487E-02
    0.1700000000E+02    0.1127021013E+00    0.5504399776E-02    0.5573453762E-02
    0.1900000000E+02    0.1234152478E+00    0.6027480396E-02    0.6143831045E-02
    0.2100000000E+02    0.1337032762E+00    0.6529775264E-02    0.6699647464E-02
    0.2300000000E+02    0.1435908317E+00    0.7012490004E-02    0.7241666946E-02
    0.2500000000E+02    0.1531006923E+00    0.7476738891E-02    0.7770597910E-02
    0.2700000000E+02    0.1622539428E+00    0.7923553336E-02    0.8287098323E-02
    0.2900000000E+02    0.1710701291E+00    0.8353889448E-02    0.8791780213E-02
    0.3100000000E+02    0.1795673958E+00    0.8768634777E-02    0.9285213697E-02
    0.3300000000E+02    0.1877626098E+00    0.9168614349E-02    0.9767930591E-02
    0.3500000000E+02    0.1956714705E+00    0.9554596072E-02    0.1024042765E-01
    0.3700000000E+02    0.2033086094E+00    0.9927295598E-02    0.1070316946E-01
    0.3900000000E+02    0.2106876791E+00    0.1028738068E-01    0.1115659109E-01
    0.4100000000E+02    0.2178214337E+00    0.1063547513E-01    0.1160110045E-01
    0.4300000000E+02    0.2247218017E+00    0.1097216235E-01    0.1203708041E-01
    0.4500000000E+02    0.2313999518E+00    0.1129798856E-01    0.1246489076E-01
    0.4700000000E+02    0.2378663521E+00    0.1161346572E-01    0.1288486995E-01
    0.4900000000E+02    0.2441308241E+00    0.1191907417E-01    0.1329733671E-01
    0.1000000000E+02    0.7145142553E-01    0.3490025746E-02    0.3449923723E-02
    0.3000000000E+02    0.1753575446E+00    0.8563157997E-02    0.9039868909E-02
