     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.7938183666E-02    0.2585240608E-03    0.5563906919E-03
    0.3000000000E+01    0.2324188493E-01    0.7568957296E-03    0.1640726391E-02
    0.5000000000E+01    0.3782654214E-01    0.1231817740E-02    0.2689217265E-02
    0.7000000000E+01    0.5174131084E-01    0.1684893892E-02    0.3704166048E-02
    0.9000000000E+01    0.6503096874E-01    0.2117585117E-02    0.4687673422E-02
    0.1100000000E+02    0.7773639261E-01    0.2531225044E-02    0.5641660088E-02
    0.1300000000E+02    0.8989497410E-01    0.2927033572E-02    0.6567885975E-02
    0.1500000000E+02    0.1015409835E+00    0.3306128739E-02    0.7467967024E-02
    0.1700000000E+02    0.1127058887E+00    0.3669537137E-02    0.8343389892E-02
    0.1900000000E+02    0.1234186360E+00    0.4018203073E-02    0.9195524869E-02
    0.2100000000E+02    0.1337058978E+00    0.4352996652E-02    0.1002563727E-01
    0.2300000000E+02    0.1435922915E+00    0.4674720921E-02    0.1083489749E-01
    0.2500000000E+02    0.1531005735E+00    0.4984118209E-02    0.1162438993E-01
    0.2700000000E+02    0.1622518121E+00    0.5281875756E-02    0.1239512091E-01
    0.2900000000E+02    0.1710655409E+00    0.5568630725E-02    0.1314802572E-01
    0.3100000000E+02    0.1795598960E+00    0.5844974689E-02    0.1388397491E-01
    0.3300000000E+02    0.1877517390E+00    0.6111457628E-02    0.1460377992E-01
    0.3500000000E+02    0.1956567667E+00    0.6368591519E-02    0.1530819813E-01
    0.3700000000E+02    0.2032896102E+00    0.6616853570E-02    0.1599793739E-01
    0.3900000000E+02    0.2106639236E+00    0.6856689111E-02    0.1667366008E-01
    0.4100000000E+02    0.2177924642E+00    0.7088514216E-02    0.1733598681E-01
    0.4300000000E+02    0.2246871650E+00    0.7312718065E-02    0.1798549973E-01
    0.4500000000E+02    0.2313592003E+00    0.7529665080E-02    0.1862274554E-01
    0.4700000000E+02    0.2378190447E+00    0.7739696862E-02    0.1924823820E-01
    0.4900000000E+02    0.2440765272E+00    0.7943133948E-02    0.1986246142E-01
    0.1000000000E+02    0.7145429577E-01    0.2326707731E-02    0.5168243287E-02
    0.3000000000E+02    0.1753515578E+00    0.5708068779E-02    0.1351806773E-01
    0.5000000000E+02    0.2471322900E+00    0.8042474286E-02    0.2016549045E-01
    0.7000000000E+02    0.2995923277E+00    0.9747259346E-02    0.2573225908E-01
    0.9000000000E+02    0.3395336575E+00    0.1104421667E-01    0.3055903987E-01
    0.1100000000E+03    0.3709050195E+00    0.1206207197E-01    0.3485025304E-01
    0.1300000000E+03    0.3961553046E+00    0.1288063798E-01    0.3873713897E-01
    0.1500000000E+03    0.4168834819E+00    0.1355201501E-01    0.4230847785E-01
    0.1700000000E+03    0.4341776093E+00    0.1411164779E-01    0.4562688206E-01
    0.1900000000E+03    0.4488036194E+00    0.1458448176E-01    0.4873803584E-01
    0.2100000000E+03    0.4613161912E+00    0.1498857810E-01    0.5167622716E-01
    0.2300000000E+03    0.4721267999E+00    0.1533733213E-01    0.5446781153E-01
    0.2500000000E+03    0.4815470682E+00    0.1564088641E-01    0.5713346436E-01
    0.2700000000E+03    0.4898172791E+00    0.1590705994E-01    0.5968969338E-01
    0.2900000000E+03    0.4971256521E+00    0.1614197630E-01    0.6214988297E-01
    0.3100000000E+03    0.5036216952E+00    0.1635049868E-01    0.6452503280E-01
    0.3300000000E+03    0.5094256511E+00    0.1653653757E-01    0.6682429173E-01
    0.3500000000E+03    0.5146353092E+00    0.1670327268E-01    0.6905535099E-01
    0.3700000000E+03    0.5193310008E+00    0.1685331558E-01    0.7122473867E-01
    0.3900000000E+03    0.5235793193E+00    0.1698883085E-01    0.7333804372E-01
    0.4100000000E+03    0.5274359291E+00    0.1711162750E-01    0.7540008869E-01
    0.4300000000E+03    0.5309477128E+00    0.1722322894E-01    0.7741506453E-01
    0.4500000000E+03    0.5341544326E+00    0.1732492698E-01    0.7938663709E-01
    0.4700000000E+03    0.5370900282E+00    0.1741782410E-01    0.8131803211E-01
    0.4900000000E+03    0.5397836413E+00    0.1750286680E-01    0.8321210361E-01
    0.1000000000E+03    0.3561120981E+00    0.1158221453E-01    0.3276213206E-01
    0.3000000000E+03    0.5004671042E+00    0.1624927294E-01    0.6334747784E-01
    0.5000000000E+03    0.5410477037E+00    0.1754270251E-01    0.8414594720E-01
    0.7000000000E+03    0.5582333093E+00    0.1807667972E-01    0.1013547384E+00
    0.9000000000E+03    0.5666066409E+00    0.1832462530E-01    0.1165779199E+00
    0.1100000000E+04    0.5707932484E+00    0.1843655327E-01    0.1304891495E+00
    0.1300000000E+04    0.5727051759E+00    0.1847444986E-01    0.1434416883E+00
    0.1500000000E+04    0.5732696512E+00    0.1846838091E-01    0.1556465276E+00
    0.1700000000E+04    0.5729875543E+00    0.1843460122E-01    0.1672409959E+00
    0.1900000000E+04    0.5721514200E+00    0.1838261859E-01    0.1783201193E+00
    0.2100000000E+04    0.5709425028E+00    0.1831833733E-01    0.1889527498E+00
    0.2300000000E+04    0.5694784207E+00    0.1824560054E-01    0.1991906076E+00
    0.2500000000E+04    0.5678383757E+00    0.1816700636E-01    0.2090736979E+00
    0.2700000000E+04    0.5660773325E+00    0.1808436674E-01    0.2186337288E+00
    0.2900000000E+04    0.5642343945E+00    0.1799897848E-01    0.2278963625E+00
    0.3100000000E+04    0.5623379588E+00    0.1791179008E-01    0.2368827497E+00
    0.3300000000E+04    0.5604090024E+00    0.1782350807E-01    0.2456106062E+00
    0.3500000000E+04    0.5584632402E+00    0.1773466696E-01    0.2540949881E+00
    0.3700000000E+04    0.5565125801E+00    0.1764567632E-01    0.2623488610E+00
    0.3900000000E+04    0.5545661268E+00    0.1755685340E-01    0.2703835259E+00
    0.4100000000E+04    0.5526308883E+00    0.1746844603E-01    0.2782089431E+00
    0.4300000000E+04    0.5507122821E+00    0.1738064907E-01    0.2858339819E+00
    0.4500000000E+04    0.5488145047E+00    0.1729361644E-01    0.2932666147E+00
    0.4700000000E+04    0.5469408039E+00    0.1720747006E-01    0.3005140708E+00
