     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.1106683730E-01    0.3861617228E-03
    0.3000000000E+01    0.3214240775E-01    0.1121539016E-02
    0.5000000000E+01    0.5191610999E-01    0.1811460035E-02
    0.7000000000E+01    0.7050496042E-01    0.2460012153E-02
    0.9000000000E+01    0.8801235951E-01    0.3070807047E-02
    0.1100000000E+02    0.1045300162E+00    0.3647047936E-02
    0.1300000000E+02    0.1201395551E+00    0.4191585730E-02
    0.1500000000E+02    0.1349138652E+00    0.4706966170E-02
    0.1700000000E+02    0.1489182383E+00    0.5195469590E-02
    0.1900000000E+02    0.1622113338E+00    0.5659144622E-02
    0.2100000000E+02    0.1748459994E+00    0.6099836896E-02
    0.2300000000E+02    0.1868699744E+00    0.6519213573E-02
    0.2500000000E+02    0.1983264914E+00    0.6918784405E-02
    0.2700000000E+02    0.2092547965E+00    0.7299919883E-02
    0.2900000000E+02    0.2196905982E+00    0.7663866933E-02
    0.3100000000E+02    0.2296664573E+00    0.8011762528E-02
    0.3300000000E+02    0.2392121261E+00    0.8344645550E-02
    0.3500000000E+02    0.2483548450E+00    0.8663467142E-02
    0.3700000000E+02    0.2571196019E+00    0.8969099777E-02
    0.3900000000E+02    0.2655293607E+00    0.9262345226E-02
    0.4100000000E+02    0.2736052616E+00    0.9543941581E-02
    0.4300000000E+02    0.2813667992E+00    0.9814569446E-02
    0.4500000000E+02    0.2888319791E+00    0.1007485743E-01
    0.4700000000E+02    0.2960174576E+00    0.1032538702E-01
    0.4900000000E+02    0.3029386658E+00    0.1056669692E-01
    0.1000000000E+02    0.9638958472E-01    0.3363060895E-02
    0.3000000000E+02    0.2247340989E+00    0.7839754061E-02
    0.5000000000E+02    0.3063046831E+00    0.1068405209E-01
    0.7000000000E+02    0.3627301447E+00    0.1265111974E-01
    0.9000000000E+02    0.4040849320E+00    0.1409260390E-01
    0.1100000000E+03    0.4356957088E+00    0.1519437929E-01
    0.1300000000E+03    0.4606434364E+00    0.1606392767E-01
    0.1500000000E+03    0.4808340115E+00    0.1676772055E-01
    0.1700000000E+03    0.4975097092E+00    0.1734907371E-01
    0.1900000000E+03    0.5115148920E+00    0.1783742150E-01
    0.2100000000E+03    0.5234435184E+00    0.1825346450E-01
    0.2300000000E+03    0.5337255612E+00    0.1861218486E-01
    0.2500000000E+03    0.5426799475E+00    0.1892469310E-01
    0.2700000000E+03    0.5505482337E+00    0.1919940271E-01
    0.2900000000E+03    0.5575167265E+00    0.1944280163E-01
    0.3100000000E+03    0.5637314247E+00    0.1965997320E-01
    0.3300000000E+03    0.5693083609E+00    0.1985495674E-01
    0.3500000000E+03    0.5743409148E+00    0.2003100248E-01
    0.3700000000E+03    0.5789050841E+00    0.2019075523E-01
    0.3900000000E+03    0.5830633487E+00    0.2033638907E-01
    0.4100000000E+03    0.5868675489E+00    0.2046970762E-01
    0.4300000000E+03    0.5903610575E+00    0.2059221971E-01
    0.4500000000E+03    0.5935804407E+00    0.2070519725E-01
    0.4700000000E+03    0.5965567432E+00    0.2080971996E-01
    0.4900000000E+03    0.5993164921E+00    0.2090671038E-01
    0.1000000000E+03    0.4208796014E+00    0.1467797546E-01
    0.3000000000E+03    0.5607104431E+00    0.1955439230E-01
    0.5000000000E+03    0.6006224121E+00    0.2095263319E-01
    0.7000000000E+03    0.6195212929E+00    0.2161991627E-01
    0.9000000000E+03    0.6305428089E+00    0.2201295248E-01
    0.1100000000E+04    0.6377620465E+00    0.2227337186E-01
    0.1300000000E+04    0.6428566842E+00    0.2245949619E-01
    0.1500000000E+04    0.6466439705E+00    0.2259975631E-01
    0.1700000000E+04    0.6495696491E+00    0.2270967622E-01
    0.1900000000E+04    0.6518975156E+00    0.2279845658E-01
    0.2100000000E+04    0.6537936575E+00    0.2287190029E-01
    0.2300000000E+04    0.6553678583E+00    0.2293385076E-01
    0.2500000000E+04    0.6566955919E+00    0.2298695617E-01
    0.2700000000E+04    0.6578304542E+00    0.2303310168E-01
    0.2900000000E+04    0.6588115542E+00    0.2307366653E-01
    0.3100000000E+04    0.6596680994E+00    0.2310968366E-01
    0.3300000000E+04    0.6604223421E+00    0.2314194239E-01
    0.3500000000E+04    0.6610915334E+00    0.2317105655E-01
