     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.1601024078E-02    0.1173185395E-02
    0.3000000000E+01    0.4765065971E-02    0.3491686989E-02
    0.5000000000E+01    0.7879427746E-02    0.5773759382E-02
    0.7000000000E+01    0.1094527072E-01    0.8020254361E-02
    0.9000000000E+01    0.1396372030E-01    0.1023199736E-01
    0.1100000000E+02    0.1693586733E-01    0.1240978849E-01
    0.1300000000E+02    0.1986276947E-01    0.1455440348E-01
    0.1500000000E+02    0.2274545236E-01    0.1666659460E-01
    0.1700000000E+02    0.2558491092E-01    0.1874709156E-01
    0.1900000000E+02    0.2838211040E-01    0.2079660233E-01
    0.2100000000E+02    0.3113798754E-01    0.2281581396E-01
    0.2300000000E+02    0.3385345161E-01    0.2480539334E-01
    0.2500000000E+02    0.3652938538E-01    0.2676598791E-01
    0.2700000000E+02    0.3916664608E-01    0.2869822643E-01
    0.2900000000E+02    0.4176606635E-01    0.3060271955E-01
    0.3100000000E+02    0.4432845509E-01    0.3248006057E-01
    0.3300000000E+02    0.4685459832E-01    0.3433082595E-01
    0.3500000000E+02    0.4934525994E-01    0.3615557597E-01
    0.3700000000E+02    0.5180118255E-01    0.3795485526E-01
    0.3900000000E+02    0.5422308818E-01    0.3972919337E-01
    0.4100000000E+02    0.5661167897E-01    0.4147910526E-01
    0.4300000000E+02    0.5896763787E-01    0.4320509180E-01
    0.4500000000E+02    0.6129162930E-01    0.4490764030E-01
    0.4700000000E+02    0.6358429973E-01    0.4658722488E-01
    0.4900000000E+02    0.6584627836E-01    0.4824430699E-01
    0.1000000000E+02    0.1545551477E-01    0.1132508787E-01
    0.3000000000E+02    0.4305184001E-01    0.3154474766E-01
    0.5000000000E+02    0.6696595027E-01    0.4906455044E-01
    0.7000000000E+02    0.8788894453E-01    0.6439135683E-01
    0.9000000000E+02    0.1063491490E+00    0.7791263160E-01
    0.1100000000E+03    0.1227573748E+00    0.8992964344E-01
    0.1300000000E+03    0.1374378709E+00    0.1006801705E+00
    0.1500000000E+03    0.1506499829E+00    0.1103543881E+00
    0.1700000000E+03    0.1626036189E+00    0.1191062131E+00
    0.1900000000E+03    0.1734704940E+00    0.1270615516E+00
    0.2100000000E+03    0.1833924389E+00    0.1343243933E+00
