     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.6363749084E-02    0.7771926385E-03
    0.3000000000E+01    0.1870725852E-01    0.2284649929E-02
    0.5000000000E+01    0.3056402178E-01    0.3732622167E-02
    0.7000000000E+01    0.4196227559E-01    0.5124561414E-02
    0.9000000000E+01    0.5292811401E-01    0.6463657737E-02
    0.1100000000E+02    0.6348568789E-01    0.7752863590E-02
    0.1300000000E+02    0.7365738241E-01    0.8994915538E-02
    0.1500000000E+02    0.8346397563E-01    0.1019235363E-01
    0.1700000000E+02    0.9292478008E-01    0.1134753873E-01
    0.1900000000E+02    0.1020577698E+00    0.1246266804E-01
    0.2100000000E+02    0.1108796943E+00    0.1353978904E-01
    0.2300000000E+02    0.1194061810E+00    0.1458081202E-01
    0.2500000000E+02    0.1276518280E+00    0.1558752140E-01
    0.2700000000E+02    0.1356302869E+00    0.1656158590E-01
    0.2900000000E+02    0.1433543387E+00    0.1750456779E-01
    0.3100000000E+02    0.1508359620E+00    0.1841793123E-01
    0.3300000000E+02    0.1580863950E+00    0.1930304987E-01
    0.3500000000E+02    0.1651161919E+00    0.2016121371E-01
    0.3700000000E+02    0.1719352739E+00    0.2099363538E-01
    0.3900000000E+02    0.1785529762E+00    0.2180145589E-01
    0.4100000000E+02    0.1849780908E+00    0.2258574978E-01
    0.4300000000E+02    0.1912189049E+00    0.2334752994E-01
    0.4500000000E+02    0.1972832372E+00    0.2408775194E-01
    0.4700000000E+02    0.2031784700E+00    0.2480731803E-01
    0.4900000000E+02    0.2089115798E+00    0.2550708082E-01
    0.1000000000E+02    0.5825649551E-01    0.7114321115E-02
    0.3000000000E+02    0.1471247348E+00    0.1796486393E-01
    0.5000000000E+02    0.2117194145E+00    0.2584978969E-01
    0.7000000000E+02    0.2607913313E+00    0.3183864611E-01
    0.9000000000E+02    0.2993361382E+00    0.3654191757E-01
    0.1100000000E+03    0.3304134642E+00    0.4033343994E-01
    0.1300000000E+03    0.3560019465E+00    0.4345493116E-01
    0.1500000000E+03    0.3774378944E+00    0.4606961415E-01
    0.1700000000E+03    0.3956563773E+00    0.4829168478E-01
    0.1900000000E+03    0.4113313073E+00    0.5020343237E-01
    0.2100000000E+03    0.4249606641E+00    0.5186565459E-01
    0.2300000000E+03    0.4369203906E+00    0.5332424308E-01
    0.2500000000E+03    0.4474996190E+00    0.5461448734E-01
    0.2700000000E+03    0.4569243614E+00    0.5576396902E-01
    0.2900000000E+03    0.4653738430E+00    0.5679455712E-01
