pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.1,0.0000003571,0.0000006071,0.0000000619,0.0000001053,
0.5,0.0000008929,0.0000013576,0.0000001548,0.0000002354,
1,0.0000021429,0.0000006071,0.0000003715,0.0000001053,
10,0.0000201786,0.0000036427,0.0000034983,0.0000006315,
1e2,0.0001851786,0.0000353889,0.0000321039,0.0000061353,
1e3,0.0018892857,0.0000626642,0.0003275408,0.0000108639,
1e4,0.0189423214,0.0002633272,0.0032839830,0.0000456524,
1e5,0.1843121429,0.0044150499,0.0319537364,0.0007654262,
1e6,1.3253996429,0.0089870437,0.2297812293,0.0015580613,
1e7,3.1454508929,0.0149955151,0.5453189735,0.0025997350,
1e8,3.9319664286,0.0051714839,0.6816752096,0.0008965673,
5,0.0000092857,0.0000058967,0.0000016098,0.0000010223,
50,0.0000948214,0.0000101712,0.0000164390,0.0000017634,
5e2,0.0009480357,0.0000357757,0.0001643586,0.0000062023,
5e3,0.0094807143,0.0001797274,0.0016436478,0.0000311589,
5e4,0.0930094643,0.0014808927,0.0161248188,0.0002567387,
5e5,0.7989367857,0.0099809748,0.1385096772,0.0017303767,
5e6,2.7335082143,0.0241370320,0.4739014991,0.0041845770,
5e7,3.7732755357,0.0089670300,0.6541633654,0.0015545916,
