     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.1592343016E-02    0.5272997422E-02    0.5186297843E-03
    0.3000000000E+01    0.4689274506E-02    0.1550051220E-01    0.1527544033E-02
    0.5000000000E+01    0.7675086972E-02    0.2532510930E-01    0.2500571724E-02
    0.7000000000E+01    0.1055634032E-01    0.3477101060E-01    0.3439837631E-02
    0.9000000000E+01    0.1333907009E-01    0.4386051801E-01    0.4347296233E-02
    0.1100000000E+02    0.1602883911E-01    0.5261420046E-01    0.5224748540E-02
    0.1300000000E+02    0.1863078330E-01    0.6105105948E-01    0.6073856963E-02
    0.1500000000E+02    0.2114965213E-01    0.6918867614E-01    0.6896158489E-02
    0.1700000000E+02    0.2358984466E-01    0.7704334172E-01    0.7693076388E-02
    0.1900000000E+02    0.2595544152E-01    0.8463017421E-01    0.8465930622E-02
    0.2100000000E+02    0.2825023354E-01    0.9196322242E-01    0.9215947143E-02
    0.2300000000E+02    0.3047774732E-01    0.9905555915E-01    0.9944266200E-02
    0.2500000000E+02    0.3264126807E-01    0.1059193648E+00    0.1065194978E-01
    0.2700000000E+02    0.3474386024E-01    0.1125660025E+00    0.1133998828E-01
    0.2900000000E+02    0.3678838596E-01    0.1190060858E+00    0.1200930652E-01
    0.3100000000E+02    0.3877752167E-01    0.1252495396E+00    0.1266076916E-01
    0.3300000000E+02    0.4071377325E-01    0.1313056554E+00    0.1329518557E-01
    0.3500000000E+02    0.4259948950E-01    0.1371831415E+00    0.1391331424E-01
    0.3700000000E+02    0.4443687454E-01    0.1428901676E+00    0.1451586680E-01
    0.3900000000E+02    0.4622799891E-01    0.1484344067E+00    0.1510351161E-01
    0.4100000000E+02    0.4797480975E-01    0.1538230718E+00    0.1567687711E-01
    0.4300000000E+02    0.4967914003E-01    0.1590629507E+00    0.1623655472E-01
    0.4500000000E+02    0.5134271696E-01    0.1641604362E+00    0.1678310169E-01
    0.4700000000E+02    0.5296716963E-01    0.1691215554E+00    0.1731704349E-01
    0.4900000000E+02    0.5455403607E-01    0.1739519950E+00    0.1783887612E-01
    0.1000000000E+02    0.1469524419E-01    0.4827811483E-01    0.4789666186E-02
    0.3000000000E+02    0.3778971712E-01    0.1221517964E+00    0.1233721796E-01
    0.5000000000E+02    0.5533383177E-01    0.1763198999E+00    0.1809539896E-01
    0.7000000000E+02    0.6927036786E-01    0.2179752743E+00    0.2269130082E-01
    0.9000000000E+02    0.8069856783E-01    0.2511623378E+00    0.2647909839E-01
    0.1100000000E+03    0.9029304122E-01    0.2783346262E+00    0.2967583699E-01
    0.1300000000E+03    0.9849448803E-01    0.3010698582E+00    0.3242315372E-01
    0.1500000000E+03    0.1056053620E+00    0.3204305041E+00    0.3481818587E-01
    0.1700000000E+03    0.1118416542E+00    0.3371594054E+00    0.3693027619E-01
    0.1900000000E+03    0.1173627110E+00    0.3517923360E+00    0.3881057802E-01
    0.2100000000E+03    0.1222893047E+00    0.3647259822E+00    0.4049786884E-01
    0.2300000000E+03    0.1267150685E+00    0.3762606984E+00    0.4202222450E-01
    0.2500000000E+03    0.1307140023E+00    0.3866283416E+00    0.4340742858E-01
    0.2700000000E+03    0.1343455591E+00    0.3960109393E+00    0.4467260361E-01
    0.2900000000E+03    0.1376581876E+00    0.4045535379E+00    0.4583334648E-01
    0.3100000000E+03    0.1406918602E+00    0.4123732486E+00    0.4690253809E-01
    0.3300000000E+03    0.1434799157E+00    0.4195657470E+00    0.4789093330E-01
    0.3500000000E+03    0.1460504281E+00    0.4262100268E+00    0.4880759905E-01
    0.3700000000E+03    0.1484272401E+00    0.4323719342E+00    0.4966024514E-01
    0.3900000000E+03    0.1506307562E+00    0.4381068331E+00    0.5045547796E-01
    0.4100000000E+03    0.1526785587E+00    0.4434616428E+00    0.5119899765E-01
    0.4300000000E+03    0.1545858925E+00    0.4484764143E+00    0.5189575324E-01
    0.4500000000E+03    0.1563660509E+00    0.4531855633E+00    0.5255006611E-01
    0.4700000000E+03    0.1580306850E+00    0.4576188443E+00    0.5316572922E-01
    0.4900000000E+03    0.1595900554E+00    0.4618021273E+00    0.5374608760E-01
    0.1000000000E+03    0.8569340853E-01    0.2653865191E+00    0.2814118750E-01
    0.3000000000E+03    0.1392076722E+00    0.4085473348E+00    0.4637866993E-01
    0.5000000000E+03    0.1603331442E+00    0.4638071985E+00    0.5402396680E-01
    0.7000000000E+03    0.1714020793E+00    0.4950195260E+00    0.5829566417E-01
    0.9000000000E+03    0.1779843459E+00    0.5157288560E+00    0.6102159040E-01
    0.1100000000E+04    0.1821979664E+00    0.5307584353E+00    0.6290829323E-01
