     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.9474957722E-02    0.3144907059E-02    0.1285789301E-03
    0.3000000000E+01    0.2745865830E-01    0.9140073924E-02    0.3726529351E-03
    0.5000000000E+01    0.4425945266E-01    0.1477487636E-01    0.6007089506E-03
    0.7000000000E+01    0.5998967702E-01    0.2008385637E-01    0.8142682820E-03
    0.9000000000E+01    0.7474779144E-01    0.2509719269E-01    0.1014664273E-02
    0.1100000000E+02    0.8862047243E-01    0.2984137346E-01    0.1203070656E-02
    0.1300000000E+02    0.1016843358E+00    0.3433974783E-01    0.1380524898E-02
    0.1500000000E+02    0.1140073639E+00    0.3861298111E-01    0.1547947536E-02
    0.1700000000E+02    0.1256500959E+00    0.4267943267E-01    0.1706158295E-02
    0.1900000000E+02    0.1366666246E+00    0.4655547153E-01    0.1855889601E-02
    0.2100000000E+02    0.1471054367E+00    0.5025574128E-01    0.1997797959E-02
    0.2300000000E+02    0.1570101249E+00    0.5379338363E-01    0.2132473595E-02
    0.2500000000E+02    0.1664199926E+00    0.5718022790E-01    0.2260448655E-02
    0.2700000000E+02    0.1753705713E+00    0.6042695245E-01    0.2382204205E-02
    0.2900000000E+02    0.1838940647E+00    0.6354322269E-01    0.2498176251E-02
    0.3100000000E+02    0.1920197306E+00    0.6653780967E-01    0.2608760908E-02
    0.3300000000E+02    0.1997742118E+00    0.6941869224E-01    0.2714318884E-02
    0.3500000000E+02    0.2071818228E+00    0.7219314553E-01    0.2815179360E-02
    0.3700000000E+02    0.2142647994E+00    0.7486781767E-01    0.2911643373E-02
    0.3900000000E+02    0.2210435172E+00    0.7744879675E-01    0.3003986774E-02
    0.4100000000E+02    0.2275366825E+00    0.7994166922E-01    0.3092462812E-02
    0.4300000000E+02    0.2337615004E+00    0.8235157117E-01    0.3177304411E-02
    0.4500000000E+02    0.2397338227E+00    0.8468323336E-01    0.3258726173E-02
    0.4700000000E+02    0.2454682788E+00    0.8694102098E-01    0.3336926151E-02
    0.4900000000E+02    0.2509783916E+00    0.8912896870E-01    0.3412087415E-02
    0.1000000000E+02    0.8178980484E-01    0.2750140037E-01    0.1110298374E-02
    0.3000000000E+02    0.1880049032E+00    0.6505521044E-01    0.2554118677E-02
    0.5000000000E+02    0.2536532681E+00    0.9019793080E-01    0.3448581989E-02
    0.7000000000E+02    0.2979673891E+00    0.1086851449E+00    0.4054066649E-02
    0.9000000000E+02    0.3296922935E+00    0.1231316199E+00    0.4488962842E-02
    0.1100000000E+03    0.3533804181E+00    0.1349094469E+00    0.4814904380E-02
    0.1300000000E+03    0.3716348842E+00    0.1448141347E+00    0.5067137823E-02
    0.1500000000E+03    0.3860510659E+00    0.1533420241E+00    0.5267268192E-02
    0.1700000000E+03    0.3976604519E+00    0.1608207557E+00    0.5429267114E-02
    0.1900000000E+03    0.4071589791E+00    0.1674764955E+00    0.5562563504E-02
    0.2100000000E+03    0.4150328056E+00    0.1734711372E+00    0.5673746028E-02
    0.2300000000E+03    0.4216315178E+00    0.1789241082E+00    0.5767554058E-02
    0.2500000000E+03    0.4272127256E+00    0.1839257697E+00    0.5847481346E-02
    0.2700000000E+03    0.4319702851E+00    0.1885459854E+00    0.5916158102E-02
    0.2900000000E+03    0.4360527536E+00    0.1928397888E+00    0.5975600848E-02
    0.3100000000E+03    0.4395758002E+00    0.1968512417E+00    0.6027380464E-02
    0.3300000000E+03    0.4426307608E+00    0.2006161302E+00    0.6072738026E-02
    0.3500000000E+03    0.4452906627E+00    0.2041638887E+00    0.6112666405E-02
    0.3700000000E+03    0.4476145510E+00    0.2075190020E+00    0.6147968865E-02
    0.3900000000E+03    0.4496506480E+00    0.2107020452E+00    0.6179301862E-02
    0.4100000000E+03    0.4514386971E+00    0.2137304658E+00    0.6207206802E-02
    0.4300000000E+03    0.4530117254E+00    0.2166191821E+00    0.6232133931E-02
    0.4500000000E+03    0.4543973869E+00    0.2193810462E+00    0.6254460536E-02
    0.4700000000E+03    0.4556189976E+00    0.2220272058E+00    0.6274504974E-02
    0.4900000000E+03    0.4566963410E+00    0.2245673919E+00    0.6292537604E-02
    0.1000000000E+03    0.3423471199E+00    0.1292951729E+00    0.4662928526E-02
    0.3000000000E+03    0.4378780063E+00    0.1948784041E+00    0.6002364341E-02
    0.5000000000E+03    0.4571862878E+00    0.2258004557E+00    0.6300873008E-02
    0.7000000000E+03    0.4624420482E+00    0.2465155623E+00    0.6403493598E-02
    0.9000000000E+03    0.4631731000E+00    0.2622492316E+00    0.6440941740E-02
    0.1100000000E+04    0.4620903533E+00    0.2749969931E+00    0.6450921282E-02
    0.1300000000E+04    0.4602072015E+00    0.2857405404E+00    0.6447793521E-02
    0.1500000000E+04    0.4579660229E+00    0.2950387178E+00    0.6437986921E-02
    0.1700000000E+04    0.4555794412E+00    0.3032415589E+00    0.6424696309E-02
    0.1900000000E+04    0.4531559480E+00    0.3105836320E+00    0.6409626911E-02
    0.2100000000E+04    0.4507527125E+00    0.3172302413E+00    0.6393734833E-02
    0.2300000000E+04    0.4484000294E+00    0.3233025063E+00    0.6377573955E-02
    0.2500000000E+04    0.4461134920E+00    0.3288919710E+00    0.6361471122E-02
    0.2700000000E+04    0.4439004040E+00    0.3340696007E+00    0.6345619979E-02
    0.2900000000E+04    0.4417633090E+00    0.3388915790E+00    0.6330133687E-02
    0.3100000000E+04    0.4397020026E+00    0.3434031854E+00    0.6315075679E-02
    0.3300000000E+04    0.4377147093E+00    0.3476414719E+00    0.6300478199E-02
    0.3500000000E+04    0.4357987849E+00    0.3516371599E+00    0.6286353755E-02
    0.3700000000E+04    0.4339511420E+00    0.3554160179E+00    0.6272702352E-02
    0.3900000000E+04    0.4321685077E+00    0.3589998804E+00    0.6259516136E-02
    0.4100000000E+04    0.4304475806E+00    0.3624074165E+00    0.6246782416E-02
    0.4300000000E+04    0.4287851245E+00    0.3656547184E+00    0.6234485648E-02
    0.4500000000E+04    0.4271780223E+00    0.3687557586E+00    0.6222608745E-02
    0.4700000000E+04    0.4256233061E+00    0.3717227486E+00    0.6211133941E-02
    0.4900000000E+04    0.4241181703E+00    0.3745664253E+00    0.6200043360E-02
    0.1000000000E+04    0.4627749595E+00    0.2689211214E+00    0.6448188598E-02
    0.3000000000E+04    0.4407232664E+00    0.3411836954E+00    0.6322548561E-02
    0.5000000000E+04    0.4233833640E+00    0.3759450308E+00    0.6194636631E-02
    0.7000000000E+04    0.4107348748E+00    0.3988620970E+00    0.6102741008E-02
    0.9000000000E+04    0.4009245070E+00    0.4158403648E+00    0.6033606980E-02
    0.1100000000E+05    0.3929711879E+00    0.4292426139E+00    0.5979355321E-02
    0.1300000000E+05    0.3863179392E+00    0.4402580672E+00    0.5935411035E-02
    0.1500000000E+05    0.3806219130E+00    0.4495702385E+00    0.5898950960E-02
    0.1700000000E+05    0.3756581124E+00    0.4576080793E+00    0.5868130738E-02
    0.1900000000E+05    0.3712713294E+00    0.4646582772E+00    0.5841687628E-02
    0.2100000000E+05    0.3673501841E+00    0.4709217571E+00    0.5818723517E-02
    0.2300000000E+05    0.3638121543E+00    0.4765446717E+00    0.5798579337E-02
    0.2500000000E+05    0.3605944685E+00    0.4816365652E+00    0.5780758692E-02
    0.2700000000E+05    0.3576483151E+00    0.4862815934E+00    0.5764879411E-02
    0.2900000000E+05    0.3549350204E+00    0.4905457596E+00    0.5750641702E-02
    0.3100000000E+05    0.3524234461E+00    0.4944817496E+00    0.5737806559E-02
    0.3300000000E+05    0.3500881678E+00    0.4981322619E+00    0.5726180731E-02
    0.3500000000E+05    0.3479081701E+00    0.5015323616E+00    0.5715606013E-02
    0.3700000000E+05    0.3458658927E+00    0.5047111815E+00    0.5705951461E-02
    0.3900000000E+05    0.3439465198E+00    0.5076931769E+00    0.5697107625E-02
    0.4100000000E+05    0.3421374422E+00    0.5104990656E+00    0.5688982212E-02
    0.4300000000E+05    0.3404278449E+00    0.5131465452E+00    0.5681496775E-02
    0.4500000000E+05    0.3388083856E+00    0.5156508464E+00    0.5674584155E-02
    0.4700000000E+05    0.3372709420E+00    0.5180251659E+00    0.5668186477E-02
    0.4900000000E+05    0.3358084109E+00    0.5202810093E+00    0.5662253562E-02
