     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.1590623272E-02    0.6318775239E-02    0.3885584545E-03
    0.3000000000E+01    0.4674538026E-02    0.1852462009E-01    0.1142113150E-02
    0.5000000000E+01    0.7636073385E-02    0.3018787434E-01    0.1866048531E-02
    0.7000000000E+01    0.1048339210E-01    0.4134502569E-01    0.2562347287E-02
    0.9000000000E+01    0.1322392467E-01    0.5202933843E-01    0.3232813734E-02
    0.1100000000E+02    0.1586444984E-01    0.6227120247E-01    0.3879093458E-02
    0.1300000000E+02    0.1841116474E-01    0.7209843789E-01    0.4502690431E-02
    0.1500000000E+02    0.2086974622E-01    0.8153656162E-01    0.5104981968E-02
    0.1700000000E+02    0.2324540454E-01    0.9060902157E-01    0.5687231823E-02
    0.1900000000E+02    0.2554293060E-01    0.9933740264E-01    0.6250601708E-02
    0.2100000000E+02    0.2776673753E-01    0.1077416087E+00    0.6796161437E-02
    0.2300000000E+02    0.2992089748E-01    0.1158400235E+00    0.7324897887E-02
    0.2500000000E+02    0.3200917414E-01    0.1236496537E+00    0.7837722929E-02
    0.2700000000E+02    0.3403505166E-01    0.1311862555E+00    0.8335480477E-02
    0.2900000000E+02    0.3600176036E-01    0.1384644482E+00    0.8818952748E-02
    0.3100000000E+02    0.3791229965E-01    0.1454978149E+00    0.9288865849E-02
    0.3300000000E+02    0.3976945851E-01    0.1522989935E+00    0.9745894771E-02
    0.3500000000E+02    0.4157583387E-01    0.1588797573E+00    0.1019066785E-01
    0.3700000000E+02    0.4333384703E-01    0.1652510883E+00    0.1062377078E-01
    0.3900000000E+02    0.4504575848E-01    0.1714232427E+00    0.1104575021E-01
    0.4100000000E+02    0.4671368120E-01    0.1774058101E+00    0.1145711699E-01
    0.4300000000E+02    0.4833959271E-01    0.1832077670E+00    0.1185834911E-01
    0.4500000000E+02    0.4992534591E-01    0.1888375255E+00    0.1224989430E-01
    0.4700000000E+02    0.5147267889E-01    0.1943029766E+00    0.1263217247E-01
    0.4900000000E+02    0.5298322389E-01    0.1996115306E+00    0.1300557785E-01
    0.1000000000E+02    0.1455628799E-01    0.5720378085E-01    0.3558879804E-02
    0.3000000000E+02    0.3696387217E-01    0.1420109237E+00    0.9055560865E-02
    0.5000000000E+02    0.5372518402E-01    0.2022091644E+00    0.1318906990E-01
    0.7000000000E+02    0.6696098261E-01    0.2474125949E+00    0.1647224431E-01
    0.9000000000E+02    0.7780836417E-01    0.2827712103E+00    0.1917938867E-01
    0.1100000000E+03    0.8693825794E-01    0.3112986551E+00    0.2147203503E-01
    0.1300000000E+03    0.9477638648E-01    0.3348794931E+00    0.2345253016E-01
    0.1500000000E+03    0.1016087061E+00    0.3547548635E+00    0.2518955461E-01
    0.1700000000E+03    0.1076362430E+00    0.3717768469E+00    0.2673136771E-01
    0.1900000000E+03    0.1130056484E+00    0.3865507221E+00    0.2811317369E-01
    0.2100000000E+03    0.1178272175E+00    0.3995188848E+00    0.2936145822E-01
    0.2300000000E+03    0.1221860348E+00    0.4110125945E+00    0.3049666610E-01
    0.2500000000E+03    0.1261491512E+00    0.4212850993E+00    0.3153492350E-01
    0.2700000000E+03    0.1297703709E+00    0.4305335312E+00    0.3248918506E-01
    0.2900000000E+03    0.1330935417E+00    0.4389137849E+00    0.3337002172E-01
    0.3100000000E+03    0.1361548771E+00    0.4465508772E+00    0.3418617633E-01
    0.3300000000E+03    0.1389846347E+00    0.4535463166E+00    0.3494496488E-01
    0.3500000000E+03    0.1416083535E+00    0.4599834453E+00    0.3565257231E-01
    0.3700000000E+03    0.1440477833E+00    0.4659313793E+00    0.3631427467E-01
    0.3900000000E+03    0.1463215950E+00    0.4714479590E+00    0.3693460880E-01
    0.4100000000E+03    0.1484459302E+00    0.4765819890E+00    0.3751750375E-01
    0.4300000000E+03    0.1504348329E+00    0.4813749613E+00    0.3806638405E-01
    0.4500000000E+03    0.1523005930E+00    0.4858623950E+00    0.3858425174E-01
    0.4700000000E+03    0.1540540211E+00    0.4900748898E+00    0.3907375232E-01
    0.4900000000E+03    0.1557046726E+00    0.4940389623E+00    0.3953722821E-01
    0.1000000000E+03    0.8255722164E-01    0.2977518368E+00    0.2037012273E-01
    0.3000000000E+03    0.1346549244E+00    0.4428184017E+00    0.3378569748E-01
    0.5000000000E+03    0.1564941454E+00    0.4959351778E+00    0.3975986699E-01
    0.7000000000E+03    0.1685195507E+00    0.5251220191E+00    0.4324850521E-01
    0.9000000000E+03    0.1759981718E+00    0.5441184910E+00    0.4555312263E-01
    0.1100000000E+04    0.1810017290E+00    0.5577016762E+00    0.4719529643E-01
    0.1300000000E+04    0.1845185460E+00    0.5680151467E+00    0.4842835957E-01
    0.1500000000E+04    0.1870794512E+00    0.5761795326E+00    0.4939081537E-01
    0.1700000000E+04    0.1889940651E+00    0.5828440801E+00    0.5016490317E-01
    0.1900000000E+04    0.1904544283E+00    0.5884138886E+00    0.5080256108E-01
    0.2100000000E+04    0.1915854919E+00    0.5931563246E+00    0.5133820913E-01
    0.2300000000E+04    0.1924717409E+00    0.5972558017E+00    0.5179556064E-01
    0.2500000000E+04    0.1931721346E+00    0.6008441181E+00    0.5219148418E-01
    0.2700000000E+04    0.1937289232E+00    0.6040182670E+00    0.5253830660E-01
    0.2900000000E+04    0.1941730728E+00    0.6068514011E+00    0.5284524510E-01
    0.3100000000E+04    0.1945277231E+00    0.6093998567E+00    0.5311932973E-01
    0.3300000000E+04    0.1948104600E+00    0.6117078065E+00    0.5336601613E-01
    0.3500000000E+04    0.1950348473E+00    0.6138104326E+00    0.5358960319E-01
    0.3700000000E+04    0.1952114847E+00    0.6157361442E+00    0.5379352462E-01
    0.3900000000E+04    0.1953487525E+00    0.6175081625E+00    0.5398055647E-01
    0.4100000000E+04    0.1954533453E+00    0.6191456753E+00    0.5415296778E-01
    0.4300000000E+04    0.1955306621E+00    0.6206646927E+00    0.5431263153E-01
    0.4500000000E+04    0.1955850934E+00    0.6220786918E+00    0.5446110777E-01
    0.4700000000E+04    0.1956202375E+00    0.6233991078E+00    0.5459970655E-01
    0.4900000000E+04    0.1956390642E+00    0.6246357145E+00    0.5472953635E-01
    0.1000000000E+04    0.1787325020E+00    0.5514183419E+00    0.4643741989E-01
    0.3000000000E+04    0.1943603768E+00    0.6081582107E+00    0.5298602192E-01
    0.5000000000E+04    0.1956431461E+00    0.6252252638E+00    0.5479146356E-01
    0.7000000000E+04    0.1952901220E+00    0.6341526837E+00    0.5573926071E-01
    0.9000000000E+04    0.1946147963E+00    0.6398350225E+00    0.5636734560E-01
    0.1100000000E+05    0.1938954540E+00    0.6438478048E+00    0.5683552282E-01
    0.1300000000E+05    0.1932060071E+00    0.6468712349E+00    0.5720943319E-01
    0.1500000000E+05    0.1925655349E+00    0.6492526088E+00    0.5752162190E-01
    0.1700000000E+05    0.1919761479E+00    0.6511899190E+00    0.5779036276E-01
    0.1900000000E+05    0.1914345611E+00    0.6528052620E+00    0.5802686649E-01
    0.2100000000E+05    0.1909360245E+00    0.6541785052E+00    0.5823848148E-01
    0.2300000000E+05    0.1904757139E+00    0.6553643515E+00    0.5843027770E-01
    0.2500000000E+05    0.1900492040E+00    0.6564016772E+00    0.5860589872E-01
    0.2700000000E+05    0.1896525932E+00    0.6573189609E+00    0.5876805114E-01
    0.2900000000E+05    0.1892824984E+00    0.6581375998E+00    0.5891880140E-01
    0.3100000000E+05    0.1889360040E+00    0.6588740201E+00    0.5905976381E-01
    0.3300000000E+05    0.1886106001E+00    0.6595410672E+00    0.5919222432E-01
    0.3500000000E+05    0.1883041221E+00    0.6601489488E+00    0.5931722468E-01
    0.3700000000E+05    0.1880146973E+00    0.6607058916E+00    0.5943562114E-01
    0.3900000000E+05    0.1877406997E+00    0.6612186090E+00    0.5954812646E-01
    0.4100000000E+05    0.1874807115E+00    0.6616926406E+00    0.5965534070E-01
    0.4300000000E+05    0.1872334910E+00    0.6621326031E+00    0.5975777404E-01
    0.4500000000E+05    0.1869979463E+00    0.6625423785E+00    0.5985586415E-01
    0.4700000000E+05    0.1867731131E+00    0.6629252580E+00    0.5994998947E-01
    0.4900000000E+05    0.1865581366E+00    0.6632840526E+00    0.6004047957E-01
    0.1000000000E+05    0.1942539196E+00    0.6419962619E+00    0.5661617531E-01
    0.3000000000E+05    0.1891064668E+00    0.6585152132E+00    0.5899041915E-01
    0.5000000000E+05    0.1864541036E+00    0.6634551866E+00    0.6008445312E-01
    0.7000000000E+05    0.1847439601E+00    0.6660546319E+00    0.6082774490E-01
    0.9000000000E+05    0.1835007883E+00    0.6677197315E+00    0.6139757849E-01
    0.1100000000E+06    0.1825324348E+00    0.6689024059E+00    0.6186217914E-01
    0.1300000000E+06    0.1817436373E+00    0.6697980718E+00    0.6225558154E-01
    0.1500000000E+06    0.1810806732E+00    0.6705067573E+00    0.6259738138E-01
    0.1700000000E+06    0.1805104409E+00    0.6710856494E+00    0.6289995452E-01
    0.1900000000E+06    0.1800111824E+00    0.6715701149E+00    0.6317164310E-01
    0.2100000000E+06    0.1795678723E+00    0.6719833530E+00    0.6341834995E-01
    0.2300000000E+06    0.1791697228E+00    0.6723412961E+00    0.6364441215E-01
    0.2500000000E+06    0.1788087408E+00    0.6726552959E+00    0.6385311382E-01
    0.2700000000E+06    0.1784788475E+00    0.6729336882E+00    0.6404700383E-01
    0.2900000000E+06    0.1781753179E+00    0.6731827505E+00    0.6422810158E-01
    0.3100000000E+06    0.1778944101E+00    0.6734073124E+00    0.6439803510E-01
    0.3300000000E+06    0.1776331127E+00    0.6736111585E+00    0.6455813673E-01
    0.3500000000E+06    0.1773889682E+00    0.6737973022E+00    0.6470951111E-01
    0.3700000000E+06    0.1771599459E+00    0.6739681765E+00    0.6485308461E-01
    0.3900000000E+06    0.1769443497E+00    0.6741257706E+00    0.6498964192E-01
    0.4100000000E+06    0.1767407491E+00    0.6742717284E+00    0.6511985379E-01
    0.4300000000E+06    0.1765479268E+00    0.6744074223E+00    0.6524429814E-01
    0.4500000000E+06    0.1763648389E+00    0.6745340080E+00    0.6536347659E-01
    0.4700000000E+06    0.1761905835E+00    0.6746524670E+00    0.6547782737E-01
    0.4900000000E+06    0.1760243766E+00    0.6747636384E+00    0.6558773563E-01
    0.1000000000E+06    0.1829895699E+00    0.6683559121E+00    0.6164043434E-01
    0.3000000000E+06    0.1780322393E+00    0.6732978367E+00    0.6431437457E-01
    0.5000000000E+06    0.1759440738E+00    0.6748167211E+00    0.6564113175E-01
    0.7000000000E+06    0.1746316218E+00    0.6756280097E+00    0.6654100754E-01
    0.9000000000E+06    0.1736797082E+00    0.6761534036E+00    0.6722560813E-01
    0.1100000000E+07    0.1729351752E+00    0.6765299479E+00    0.6777948932E-01
    0.1300000000E+07    0.1723249421E+00    0.6768173687E+00    0.6824526997E-01
    0.1500000000E+07    0.1718085724E+00    0.6770464241E+00    0.6864752586E-01
    0.1700000000E+07    0.1713613998E+00    0.6772347854E+00    0.6900174910E-01
    0.1900000000E+07    0.1709672946E+00    0.6773934268E+00    0.6931834828E-01
    0.2100000000E+07    0.1706151441E+00    0.6775295732E+00    0.6960466038E-01
    0.2300000000E+07    0.1702969743E+00    0.6776482017E+00    0.6986605492E-01
    0.2500000000E+07    0.1700068736E+00    0.6777528691E+00    0.7010658185E-01
