     Pressure (Pa)     2mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1093908342E-01    0.1008587736E-01
    0.3000000000E+01    0.3109191529E-01    0.2867398987E-01
    0.5000000000E+01    0.4923842080E-01    0.4542992228E-01
    0.7000000000E+01    0.6566995171E-01    0.6062910105E-01
    0.9000000000E+01    0.8062273704E-01    0.7449360383E-01
    0.1100000000E+02    0.9429052215E-01    0.8720454117E-01
    0.1300000000E+02    0.1068338537E+00    0.9891113586E-01
    0.1500000000E+02    0.1183870096E+00    0.1097374847E+00
    0.1700000000E+02    0.1290632460E+00    0.1197876657E+00
    0.1900000000E+02    0.1389588224E+00    0.1291496445E+00
    0.2100000000E+02    0.1481561266E+00    0.1378982984E+00
    0.2300000000E+02    0.1567261268E+00    0.1460977813E+00
    0.2500000000E+02    0.1647303156E+00    0.1538033922E+00
    0.2700000000E+02    0.1722222662E+00    0.1610630651E+00
    0.2900000000E+02    0.1792488869E+00    0.1679185662E+00
    0.3100000000E+02    0.1858514428E+00    0.1744064645E+00
    0.3300000000E+02    0.1920663923E+00    0.1805589236E+00
    0.3500000000E+02    0.1979260776E+00    0.1864043524E+00
    0.3700000000E+02    0.2034592978E+00    0.1919679435E+00
    0.3900000000E+02    0.2086917886E+00    0.1972721210E+00
    0.4100000000E+02    0.2136466236E+00    0.2023369147E+00
    0.4300000000E+02    0.2183445554E+00    0.2071802755E+00
    0.4500000000E+02    0.2228043032E+00    0.2118183416E+00
    0.4700000000E+02    0.2270427993E+00    0.2162656646E+00
    0.4900000000E+02    0.2310753997E+00    0.2205354026E+00
    0.1000000000E+02    0.8760653315E-01    0.8098328306E-01
    0.3000000000E+02    0.1826007904E+00    0.1712063605E+00
    0.5000000000E+02    0.2330189018E+00    0.2226074492E+00
    0.7000000000E+02    0.2638771750E+00    0.2571044798E+00
    0.9000000000E+02    0.2843842386E+00    0.2825120111E+00
    0.1100000000E+03    0.2987644828E+00    0.3023700354E+00
    0.1300000000E+03    0.3092345520E+00    0.3185389022E+00
    0.1500000000E+03    0.3170693896E+00    0.3321011957E+00
    0.1700000000E+03    0.3230532495E+00    0.3437356541E+00
    0.1900000000E+03    0.3276940478E+00    0.3538927488E+00
    0.2100000000E+03    0.3313344512E+00    0.3628851836E+00
    0.2300000000E+03    0.3342134591E+00    0.3709380532E+00
    0.2500000000E+03    0.3365024345E+00    0.3782183143E+00
    0.2700000000E+03    0.3383271441E+00    0.3848529489E+00
    0.2900000000E+03    0.3397817507E+00    0.3909406189E+00
    0.3100000000E+03    0.3409379826E+00    0.3965594006E+00
    0.3300000000E+03    0.3418513086E+00    0.4017720724E+00
    0.3500000000E+03    0.3425651976E+00    0.4066298217E+00
    0.3700000000E+03    0.3431141176E+00    0.4111749019E+00
    0.3900000000E+03    0.3435256888E+00    0.4154425765E+00
    0.4100000000E+03    0.3438222534E+00    0.4194625647E+00
    0.4300000000E+03    0.3440220383E+00    0.4232601349E+00
    0.4500000000E+03    0.3441400282E+00    0.4268569430E+00
    0.4700000000E+03    0.3441886284E+00    0.4302716838E+00
    0.4900000000E+03    0.3441781742E+00    0.4335206022E+00
    0.1000000000E+03    0.2921716438E+00    0.2929935672E+00
    0.3000000000E+03    0.3403933730E+00    0.3938043882E+00
    0.5000000000E+03    0.3441535649E+00    0.4350873866E+00
    0.7000000000E+03    0.3420636137E+00    0.4603861969E+00
    0.9000000000E+03    0.3387890966E+00    0.4782942078E+00
    0.1100000000E+04    0.3353852745E+00    0.4919754187E+00
    0.1300000000E+04    0.3321421453E+00    0.5029383209E+00
    0.1500000000E+04    0.3291348451E+00    0.5120164462E+00
    0.1700000000E+04    0.3263698259E+00    0.5197171206E+00
    0.1900000000E+04    0.3238311709E+00    0.5263710744E+00
    0.2100000000E+04    0.3214967970E+00    0.5322053013E+00
    0.2300000000E+04    0.3193443430E+00    0.5373819701E+00
    0.2500000000E+04    0.3173532257E+00    0.5420207257E+00
    0.2700000000E+04    0.3155052104E+00    0.5462122017E+00
    0.2900000000E+04    0.3137844059E+00    0.5500265889E+00
    0.3100000000E+04    0.3121770518E+00    0.5535192755E+00
    0.3300000000E+04    0.3106712490E+00    0.5567346800E+00
    0.3500000000E+04    0.3092566955E+00    0.5597089273E+00
    0.3700000000E+04    0.3079244474E+00    0.5624717616E+00
    0.3900000000E+04    0.3066667139E+00    0.5650479421E+00
    0.4100000000E+04    0.3054766821E+00    0.5674582800E+00
    0.4300000000E+04    0.3043483714E+00    0.5697204214E+00
    0.4500000000E+04    0.3032765106E+00    0.5718494472E+00
    0.4700000000E+04    0.3022564363E+00    0.5738583383E+00
    0.4900000000E+04    0.3012840064E+00    0.5757583413E+00
    0.1000000000E+04    0.3370771328E+00    0.4855465610E+00
    0.3000000000E+04    0.3129673317E+00    0.5518101474E+00
    0.5000000000E+04    0.3008144887E+00    0.5766706227E+00
    0.7000000000E+04    0.2932109539E+00    0.5910303669E+00
    0.9000000000E+04    0.2878462642E+00    0.6007595500E+00
    0.1100000000E+05    0.2837828804E+00    0.6079449386E+00
    0.1300000000E+05    0.2805577592E+00    0.6135489748E+00
    0.1500000000E+05    0.2779115728E+00    0.6180877693E+00
    0.1700000000E+05    0.2756858748E+00    0.6218671632E+00
    0.1900000000E+05    0.2737774640E+00    0.6250818383E+00
    0.2100000000E+05    0.2721157446E+00    0.6278625904E+00
    0.2300000000E+05    0.2706505123E+00    0.6303010855E+00
    0.2500000000E+05    0.2693449213E+00    0.6324637888E+00
    0.2700000000E+05    0.2681712131E+00    0.6344002610E+00
    0.2900000000E+05    0.2671080100E+00    0.6361483351E+00
    0.3100000000E+05    0.2661385358E+00    0.6377374735E+00
    0.3300000000E+05    0.2652494090E+00    0.6391910174E+00
    0.3500000000E+05    0.2644298039E+00    0.6405277378E+00
    0.3700000000E+05    0.2636708514E+00    0.6417629294E+00
    0.3900000000E+05    0.2629652049E+00    0.6429092005E+00
    0.4100000000E+05    0.2623067178E+00    0.6439770534E+00
    0.4300000000E+05    0.2616902017E+00    0.6449753177E+00
    0.4500000000E+05    0.2611112412E+00    0.6459114797E+00
    0.4700000000E+05    0.2605660513E+00    0.6467919352E+00
    0.4900000000E+05    0.2600513656E+00    0.6476221863E+00
    0.1000000000E+05    0.2856875056E+00    0.6045951646E+00
    0.3000000000E+05    0.2666124615E+00    0.6369611898E+00
    0.5000000000E+05    0.2598045607E+00    0.6480199993E+00
    0.7000000000E+05    0.2559436543E+00    0.6542202868E+00
    0.9000000000E+05    0.2533462184E+00    0.6583736915E+00
    0.1100000000E+06    0.2514310035E+00    0.6614321222E+00
    0.1300000000E+06    0.2499350548E+00    0.6638214829E+00
    0.1500000000E+06    0.2487192962E+00    0.6657654054E+00
    0.1700000000E+06    0.2477021618E+00    0.6673943751E+00
    0.1900000000E+06    0.2468321446E+00    0.6687904785E+00
    0.2100000000E+06    0.2460748574E+00    0.6700083602E+00
    0.2300000000E+06    0.2454063210E+00    0.6710860398E+00
    0.2500000000E+06    0.2448092190E+00    0.6720509248E+00
    0.2700000000E+06    0.2442706812E+00    0.6729233574E+00
    0.2900000000E+06    0.2437809087E+00    0.6737188081E+00
    0.3100000000E+06    0.2433322868E+00    0.6744492888E+00
    0.3300000000E+06    0.2429187929E+00    0.6751242935E+00
    0.3500000000E+06    0.2425355903E+00    0.6757514429E+00
    0.3700000000E+06    0.2421787417E+00    0.6763369382E+00
    0.3900000000E+06    0.2418450041E+00    0.6768858860E+00
    0.4100000000E+06    0.2415316773E+00    0.6774025370E+00
    0.4300000000E+06    0.2412364920E+00    0.6778904636E+00
    0.4500000000E+06    0.2409575246E+00    0.6783526940E+00
    0.4700000000E+06    0.2406931312E+00    0.6787918156E+00
    0.4900000000E+06    0.2404418979E+00    0.6792100551E+00
    0.1000000000E+06    0.2523239284E+00    0.6600063435E+00
    0.3000000000E+06    0.2435518621E+00    0.6740915260E+00
    0.5000000000E+06    0.2403208270E+00    0.6794119568E+00
    0.7000000000E+06    0.2383639030E+00    0.6827103437E+00
    0.9000000000E+06    0.2369564376E+00    0.6851289761E+00
    0.1100000000E+07    0.2358507156E+00    0.6870599181E+00
    0.1300000000E+07    0.2349343887E+00    0.6886819343E+00
    0.1500000000E+07    0.2341475641E+00    0.6900908676E+00
    0.1700000000E+07    0.2334547368E+00    0.6913438621E+00
    0.1900000000E+07    0.2328332075E+00    0.6924776594E+00
    0.2100000000E+07    0.2322676182E+00    0.6935172559E+00
    0.2300000000E+07    0.2317471099E+00    0.6944804211E+00
    0.2500000000E+07    0.2312637282E+00    0.6953802384E+00
    0.2700000000E+07    0.2308114754E+00    0.6962266228E+00
    0.2900000000E+07    0.2303857186E+00    0.6970272697E+00
    0.3100000000E+07    0.2299828050E+00    0.6977882743E+00
    0.3300000000E+07    0.2295998041E+00    0.6985145492E+00
    0.3500000000E+07    0.2292343281E+00    0.6992101136E+00
    0.3700000000E+07    0.2288844059E+00    0.6998782994E+00
    0.3900000000E+07    0.2285483908E+00    0.7005219009E+00
    0.4100000000E+07    0.2282248931E+00    0.7011432859E+00
    0.4300000000E+07    0.2279127283E+00    0.7017444792E+00
    0.4500000000E+07    0.2276108791E+00    0.7023272266E+00
    0.4700000000E+07    0.2273184644E+00    0.7028930450E+00
    0.4900000000E+07    0.2270347163E+00    0.7034432609E+00
    0.1000000000E+07    0.2363746425E+00    0.6861414537E+00
    0.3000000000E+07    0.2301816041E+00    0.6974123964E+00
    0.5000000000E+07    0.2268958784E+00    0.7037128882E+00
    0.7000000000E+07    0.2244465445E+00    0.7085086469E+00
    0.9000000000E+07    0.2224200776E+00    0.7125224556E+00
    0.1100000000E+08    0.2206567213E+00    0.7160408953E+00
    0.1300000000E+08    0.2190763146E+00    0.7192104352E+00
    0.1500000000E+08    0.2176322674E+00    0.7221173996E+00
    0.1700000000E+08    0.2162947982E+00    0.7248175790E+00
    0.1900000000E+08    0.2150435543E+00    0.7273494429E+00
    0.2100000000E+08    0.2138639197E+00    0.7297408226E+00
    0.2300000000E+08    0.2127449890E+00    0.7320126139E+00
    0.2500000000E+08    0.2116783743E+00    0.7341809747E+00
    0.2700000000E+08    0.2106574624E+00    0.7362587032E+00
    0.2900000000E+08    0.2096769316E+00    0.7382561405E+00
    0.3100000000E+08    0.2087324242E+00    0.7401817839E+00
    0.3300000000E+08    0.2078203192E+00    0.7420427168E+00
    0.3500000000E+08    0.2069375692E+00    0.7438449178E+00
    0.3700000000E+08    0.2060815805E+00    0.7455934879E+00
    0.3900000000E+08    0.2052501242E+00    0.7472928212E+00
    0.4100000000E+08    0.2044412679E+00    0.7489467349E+00
    0.4300000000E+08    0.2036533232E+00    0.7505585706E+00
    0.4500000000E+08    0.2028848051E+00    0.7521312731E+00
    0.4700000000E+08    0.2021343984E+00    0.7536674538E+00
    0.4900000000E+08    0.2014009325E+00    0.7551694412E+00
    0.1000000000E+08    0.2215116168E+00    0.7143324896E+00
    0.3000000000E+08    0.2092004164E+00    0.7392274647E+00
    0.5000000000E+08    0.2010402205E+00    0.7559082732E+00
    0.7000000000E+08    0.1945097925E+00    0.7693001719E+00
    0.9000000000E+08    0.1889311313E+00    0.7807581883E+00
    0.1100000000E+09    0.1840007508E+00    0.7908941527E+00
    0.1300000000E+09    0.1795509772E+00    0.8000477573E+00
    0.1500000000E+09    0.1754772742E+00    0.8084314628E+00
    0.1700000000E+09    0.1717090789E+00    0.8161890071E+00
    0.1900000000E+09    0.1681959918E+00    0.8234232304E+00
    0.2100000000E+09    0.1649004567E+00    0.8302108671E+00
    0.2300000000E+09    0.1617935496E+00    0.8366110771E+00
    0.2500000000E+09    0.1588523985E+00    0.8426706827E+00
    0.2700000000E+09    0.1560585211E+00    0.8484275467E+00
    0.2900000000E+09    0.1533967109E+00    0.8539128410E+00
    0.3100000000E+09    0.1508542636E+00    0.8591526213E+00
    0.3300000000E+09    0.1484204257E+00    0.8641689529E+00
    0.3500000000E+09    0.1460859911E+00    0.8689807333E+00
    0.3700000000E+09    0.1438429998E+00    0.8736043076E+00
