     Pressure (Pa)     2mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3098566515E-02    0.2649510757E-01
    0.3000000000E+01    0.8683277045E-02    0.7330169160E-01
    0.5000000000E+01    0.1360532257E-01    0.1133697693E+00
    0.7000000000E+01    0.1800382723E-01    0.1480747359E+00
    0.9000000000E+01    0.2198115238E-01    0.1784403085E+00
    0.1100000000E+02    0.2561419582E-01    0.2052442901E+00
    0.1300000000E+02    0.2896178796E-01    0.2290883165E+00
    0.1500000000E+02    0.3206966691E-01    0.2504451297E+00
    0.1700000000E+02    0.3497390579E-01    0.2696913955E+00
    0.1900000000E+02    0.3770332416E-01    0.2871309745E+00
    0.2100000000E+02    0.4028121668E-01    0.3030117367E+00
    0.2300000000E+02    0.4272661338E-01    0.3175379175E+00
    0.2500000000E+02    0.4505521252E-01    0.3308793378E+00
    0.2700000000E+02    0.4728008052E-01    0.3431783778E+00
    0.2900000000E+02    0.4941218385E-01    0.3545553197E+00
    0.3100000000E+02    0.5146079780E-01    0.3651124870E+00
    0.3300000000E+02    0.5343382396E-01    0.3749374860E+00
    0.3500000000E+02    0.5533803921E-01    0.3841057687E+00
    0.3700000000E+02    0.5717929273E-01    0.3926826769E+00
    0.3900000000E+02    0.5896266324E-01    0.4007250871E+00
    0.4100000000E+02    0.6069258537E-01    0.4082827433E+00
    0.4300000000E+02    0.6237295209E-01    0.4153993455E+00
    0.4500000000E+02    0.6400719815E-01    0.4221134447E+00
    0.4700000000E+02    0.6559836867E-01    0.4284591821E+00
    0.4900000000E+02    0.6714917564E-01    0.4344669055E+00
    0.1000000000E+02    0.2383667648E-01    0.1922464069E+00
    0.3000000000E+02    0.5044640416E-01    0.3599305877E+00
    0.5000000000E+02    0.6791021095E-01    0.4373525867E+00
    0.7000000000E+02    0.8148622833E-01    0.4825614861E+00
    0.9000000000E+02    0.9273211588E-01    0.5124690744E+00
    0.1100000000E+03    0.1023410998E+00    0.5338548306E+00
    0.1300000000E+03    0.1107038384E+00    0.5499826676E+00
    0.1500000000E+03    0.1180738575E+00    0.5626252566E+00
    0.1700000000E+03    0.1246304621E+00    0.5728316622E+00
    0.1900000000E+03    0.1305075538E+00    0.5812640424E+00
    0.2100000000E+03    0.1358088185E+00    0.5883618709E+00
    0.2300000000E+03    0.1406166232E+00    0.5944288146E+00
    0.2500000000E+03    0.1449976544E+00    0.5996817501E+00
    0.2700000000E+03    0.1490067101E+00    0.6042799040E+00
    0.2900000000E+03    0.1526893633E+00    0.6083429459E+00
    0.3100000000E+03    0.1560838982E+00    0.6119626430E+00
    0.3300000000E+03    0.1592227547E+00    0.6152106048E+00
    0.3500000000E+03    0.1621336283E+00    0.6181435732E+00
    0.3700000000E+03    0.1648403238E+00    0.6208071213E+00
    0.3900000000E+03    0.1673634247E+00    0.6232382951E+00
    0.4100000000E+03    0.1697208274E+00    0.6254675359E+00
    0.4300000000E+03    0.1719281695E+00    0.6275201019E+00
    0.4500000000E+03    0.1739991786E+00    0.6294171360E+00
    0.4700000000E+03    0.1759459566E+00    0.6311764789E+00
    0.4900000000E+03    0.1777792148E+00    0.6328132953E+00
    0.1000000000E+03    0.9771244690E-01    0.5239741431E+00
    0.3000000000E+03    0.1544204954E+00    0.6102033359E+00
    0.5000000000E+03    0.1786562896E+00    0.6335898857E+00
    0.7000000000E+03    0.1920671500E+00    0.6450367901E+00
    0.9000000000E+03    0.2005326889E+00    0.6519957089E+00
    0.1100000000E+04    0.2063339925E+00    0.6567461559E+00
    0.1300000000E+04    0.2105402079E+00    0.6602334277E+00
    0.1500000000E+04    0.2137181417E+00    0.6629244933E+00
    0.1700000000E+04    0.2161957951E+00    0.6650782560E+00
    0.1900000000E+04    0.2181758825E+00    0.6668505877E+00
    0.2100000000E+04    0.2197902871E+00    0.6683413298E+00
    0.2300000000E+04    0.2211284217E+00    0.6696176042E+00
    0.2500000000E+04    0.2222529949E+00    0.6707263248E+00
    0.2700000000E+04    0.2232092505E+00    0.6717013455E+00
    0.2900000000E+04    0.2240306275E+00    0.6725677574E+00
    0.3100000000E+04    0.2247423568E+00    0.6733445836E+00
    0.3300000000E+04    0.2253638224E+00    0.6740465309E+00
    0.3500000000E+04    0.2259101531E+00    0.6746851636E+00
    0.3700000000E+04    0.2263933232E+00    0.6752697113E+00
    0.3900000000E+04    0.2268229287E+00    0.6758076379E+00
    0.4100000000E+04    0.2272067466E+00    0.6763050502E+00
    0.4300000000E+04    0.2275511430E+00    0.6767669982E+00
    0.4500000000E+04    0.2278613771E+00    0.6771976969E+00
    0.4700000000E+04    0.2281418303E+00    0.6776006953E+00
    0.4900000000E+04    0.2283961800E+00    0.6779790050E+00
    0.1000000000E+04    0.2036828979E+00    0.6545714390E+00
    0.3000000000E+04    0.2243988712E+00    0.6729663643E+00
    0.5000000000E+04    0.2285145566E+00    0.6781597206E+00
    0.7000000000E+04    0.2300619616E+00    0.6809430765E+00
    0.9000000000E+04    0.2307773615E+00    0.6827969195E+00
    0.1100000000E+05    0.2311331013E+00    0.6841769447E+00
    0.1300000000E+05    0.2313066404E+00    0.6852756097E+00
    0.1500000000E+05    0.2313781699E+00    0.6861901219E+00
    0.1700000000E+05    0.2313885896E+00    0.6869756673E+00
    0.1900000000E+05    0.2313606257E+00    0.6876662829E+00
    0.2100000000E+05    0.2313077373E+00    0.6882843039E+00
    0.2300000000E+05    0.2312382964E+00    0.6888451100E+00
    0.2500000000E+05    0.2311577156E+00    0.6893597077E+00
    0.2700000000E+05    0.2310696046E+00    0.6898362261E+00
    0.2900000000E+05    0.2309764315E+00    0.6902808292E+00
    0.3100000000E+05    0.2308799186E+00    0.6906982961E+00
    0.3300000000E+05    0.2307812877E+00    0.6910924032E+00
    0.3500000000E+05    0.2306814165E+00    0.6914661848E+00
    0.3700000000E+05    0.2305809423E+00    0.6918221140E+00
    0.3900000000E+05    0.2304803308E+00    0.6921622323E+00
    0.4100000000E+05    0.2303799239E+00    0.6924882446E+00
    0.4300000000E+05    0.2302799729E+00    0.6928015886E+00
    0.4500000000E+05    0.2301806620E+00    0.6931034881E+00
    0.4700000000E+05    0.2300821256E+00    0.6933949931E+00
    0.4900000000E+05    0.2299844603E+00    0.6936770118E+00
    0.1000000000E+05    0.2309856593E+00    0.6835308651E+00
    0.3000000000E+05    0.2309285066E+00    0.6904926987E+00
    0.5000000000E+05    0.2299359765E+00    0.6938147147E+00
    0.7000000000E+05    0.2290197163E+00    0.6962184480E+00
    0.9000000000E+05    0.2281993856E+00    0.6981806433E+00
    0.1100000000E+06    0.2274567884E+00    0.6998757040E+00
    0.1300000000E+06    0.2267756785E+00    0.7013883489E+00
    0.1500000000E+06    0.2261439910E+00    0.7027667539E+00
    0.1700000000E+06    0.2255528631E+00    0.7040412325E+00
    0.1900000000E+06    0.2249956700E+00    0.7052322553E+00
    0.2100000000E+06    0.2244673483E+00    0.7063543863E+00
    0.2300000000E+06    0.2239639435E+00    0.7074184105E+00
    0.2500000000E+06    0.2234823072E+00    0.7084325721E+00
    0.2700000000E+06    0.2230198894E+00    0.7094033373E+00
    0.2900000000E+06    0.2225745933E+00    0.7103358866E+00
    0.3100000000E+06    0.2221446720E+00    0.7112344460E+00
    0.3300000000E+06    0.2217286530E+00    0.7121025149E+00
    0.3500000000E+06    0.2213252821E+00    0.7129430304E+00
