     Pressure (Pa)     2mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1546680383E-02    0.2971829209E-01
    0.3000000000E+01    0.4323553204E-02    0.8178388002E-01
    0.5000000000E+01    0.6763945627E-02    0.1259088376E+00
    0.7000000000E+01    0.8943874418E-02    0.1637916786E+00
    0.9000000000E+01    0.1091828410E-01    0.1966779809E+00
    0.1100000000E+02    0.1272778854E-01    0.2255020038E+00
    0.1300000000E+02    0.1440299675E-01    0.2509782886E+00
    0.1500000000E+02    0.1596737229E-01    0.2736627083E+00
    0.1700000000E+02    0.1743917272E-01    0.2939942280E+00
    0.1900000000E+02    0.1883279545E-01    0.3123241312E+00
    0.2100000000E+02    0.2015973050E-01    0.3289368927E+00
    0.2300000000E+02    0.2142924711E-01    0.3440653582E+00
    0.2500000000E+02    0.2264889678E-01    0.3579019618E+00
    0.2700000000E+02    0.2382488693E-01    0.3706071402E+00
    0.2900000000E+02    0.2496236238E-01    0.3823157268E+00
    0.3100000000E+02    0.2606561978E-01    0.3931418707E+00
    0.3300000000E+02    0.2713827283E-01    0.4031828628E+00
    0.3500000000E+02    0.2818338086E-01    0.4125221420E+00
    0.3700000000E+02    0.2920354987E-01    0.4212316804E+00
    0.3900000000E+02    0.3020101251E-01    0.4293738909E+00
    0.4100000000E+02    0.3117769205E-01    0.4370031664E+00
    0.4300000000E+02    0.3213525376E-01    0.4441671303E+00
    0.4500000000E+02    0.3307514661E-01    0.4509076604E+00
    0.4700000000E+02    0.3399863721E-01    0.4572617313E+00
    0.4900000000E+02    0.3490683771E-01    0.4632621135E+00
    0.1000000000E+02    0.1184154095E-01    0.2115487997E+00
    0.3000000000E+02    0.2551802814E-01    0.3878326670E+00
    0.5000000000E+02    0.3535551522E-01    0.4661389079E+00
    0.7000000000E+02    0.4371270938E-01    0.5107214396E+00
    0.9000000000E+02    0.5118902251E-01    0.5396499425E+00
    0.1100000000E+03    0.5801716755E-01    0.5600111351E+00
    0.1300000000E+03    0.6431746697E-01    0.5751615843E+00
    0.1500000000E+03    0.7016598030E-01    0.5869002107E+00
    0.1700000000E+03    0.7561757704E-01    0.5962795890E+00
    0.1900000000E+03    0.8071520964E-01    0.6039574818E+00
    0.2100000000E+03    0.8549420195E-01    0.6103665435E+00
    0.2300000000E+03    0.8998449259E-01    0.6158032971E+00
    0.2500000000E+03    0.9421194392E-01    0.6204779324E+00
    0.2700000000E+03    0.9819918159E-01    0.6245436973E+00
    0.2900000000E+03    0.1019661764E+00    0.6281150245E+00
    0.3100000000E+03    0.1055306726E+00    0.6312791341E+00
    0.3300000000E+03    0.1089085179E+00    0.6341037009E+00
    0.3500000000E+03    0.1121139265E+00    0.6366420611E+00
    0.3700000000E+03    0.1151596935E+00    0.6389368351E+00
    0.3900000000E+03    0.1180573732E+00    0.6410225020E+00
    0.4100000000E+03    0.1208174291E+00    0.6429272640E+00
    0.4300000000E+03    0.1234493616E+00    0.6446744193E+00
