pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.9919189286,0.0298654387,0.1719665098,0.0051776966,
0.05,2.7377357143,0.0251364720,0.4746344102,0.0043578474,
0.1,3.3207230357,0.0253038228,0.5757054676,0.0043868606,
0.5,3.8557012500,0.0101894383,0.6684533059,0.0017665175,
1,3.9241530357,0.0081003920,0.6803206212,0.0014043447,
5,3.9841451786,0.0011480561,0.6907213093,0.0001990356,
10,3.9929253571,0.0023330687,0.6922435069,0.0004044783,
50,3.9982873214,0.0003196977,0.6931730973,0.0000554252,
1e2,4.0019898214,0.0030114675,0.6938149905,0.0005220906,
5e2,4.0094416071,0.0085395913,0.6951068880,0.0014804876,
1e3,4.0128260714,0.0215412277,0.6956936441,0.0037345489,
5e3,4.1627991071,0.0871795759,0.7216940951,0.0151141056,
1e4,4.2985937500,0.0876583275,0.7452364736,0.0151971055,
5e4,4.4518982143,0.1407360935,0.7718144861,0.0243990654,
1e5,4.3536267857,0.1332468348,0.7547774137,0.0231006713,
5e5,4.2408066071,0.1418585811,0.7352180608,0.0245936683,
1e6,4.3488698214,0.1344536796,0.7539527106,0.0233098990,
5e6,4.2971225000,0.2798617337,0.7449814066,0.0485189305,
1e7,4.1897530357,0.1944627419,0.7263670305,0.0337135204,
