     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7361131860E-02    0.2377780558E-02    0.1058150045E-02    0.1717029550E-02
    0.3000000000E+01    0.2152151457E-01    0.6941212289E-02    0.3130963877E-02    0.5080808167E-02
    0.5000000000E+01    0.3498372927E-01    0.1126525848E-01    0.5147868777E-02    0.8354226483E-02
    0.7000000000E+01    0.4780319333E-01    0.1536822044E-01    0.7111227728E-02    0.1154110015E-01
    0.9000000000E+01    0.6002948710E-01    0.1926653812E-01    0.9023270687E-02    0.1464502997E-01
    0.1100000000E+02    0.7170710045E-01    0.2297502434E-01    0.1088610385E-01    0.1766941693E-01
    0.1300000000E+02    0.8287606841E-01    0.2650706435E-01    0.1270171814E-01    0.2061747588E-01
    0.1500000000E+02    0.9357251444E-01    0.2987478658E-01    0.1447199708E-01    0.2349224820E-01
    0.1700000000E+02    0.1038291167E+00    0.3308920915E-01    0.1619872388E-01    0.2629661342E-01
    0.1900000000E+02    0.1136755095E+00    0.3616036635E-01    0.1788358814E-01    0.2903329986E-01
    0.2100000000E+02    0.1231386301E+00    0.3909741792E-01    0.1952819191E-01    0.3170489450E-01
    0.2300000000E+02    0.1322430201E+00    0.4190874400E-01    0.2113405529E-01    0.3431385207E-01
    0.2500000000E+02    0.1410110861E+00    0.4460202791E-01    0.2270262168E-01    0.3686250343E-01
    0.2700000000E+02    0.1494633290E+00    0.4718432834E-01    0.2423526255E-01    0.3935306335E-01
    0.2900000000E+02    0.1576185430E+00    0.4966214280E-01    0.2573328188E-01    0.4178763766E-01
    0.3100000000E+02    0.1654939910E+00    0.5204146330E-01    0.2719792032E-01    0.4416822993E-01
    0.3300000000E+02    0.1731055591E+00    0.5432782548E-01    0.2863035897E-01    0.4649674763E-01
    0.3500000000E+02    0.1804678919E+00    0.5652635206E-01    0.3003172295E-01    0.4877500785E-01
    0.3700000000E+02    0.1875945133E+00    0.5864179132E-01    0.3140308470E-01    0.5100474263E-01
    0.3900000000E+02    0.1944979328E+00    0.6067855131E-01    0.3274546703E-01    0.5318760393E-01
    0.4100000000E+02    0.2011897400E+00    0.6264073035E-01    0.3405984598E-01    0.5532516818E-01
    0.4300000000E+02    0.2076806891E+00    0.6453214422E-01    0.3534715349E-01    0.5741894063E-01
    0.4500000000E+02    0.2139807739E+00    0.6635635054E-01    0.3660827986E-01    0.5947035933E-01
    0.4700000000E+02    0.2200992952E+00    0.6811667056E-01    0.3784407609E-01    0.6148079886E-01
    0.4900000000E+02    0.2260449206E+00    0.6981620884E-01    0.3905535599E-01    0.6345157379E-01
    0.1000000000E+02    0.6593427901E-01    0.2114364225E-01    0.9960711451E-02    0.1616696117E-01
    0.3000000000E+02    0.1615902143E+00    0.5086375865E-01    0.2646969854E-01    0.4298456015E-01
    0.5000000000E+02    0.2289554463E+00    0.7064410013E-01    0.3965204698E-01    0.6442248225E-01
    0.7000000000E+02    0.2797928768E+00    0.8462626507E-01    0.5047130835E-01    0.8203700727E-01
    0.9000000000E+02    0.3199353400E+00    0.9492494842E-01    0.5954734002E-01    0.9682958165E-01
    0.1100000000E+03    0.3526465090E+00    0.1027404009E+00    0.6729761896E-01    0.1094748998E+00
    0.1300000000E+03    0.3799220437E+00    0.1088064167E+00    0.7401400956E-01    0.1204448083E+00
    0.1500000000E+03    0.4030670801E+00    0.1135970904E+00    0.7990697688E-01    0.1300796739E+00
    0.1700000000E+03    0.4229806418E+00    0.1174321555E+00    0.8513230532E-01    0.1386315190E+00
    0.1900000000E+03    0.4403077622E+00    0.1205348110E+00    0.8980790978E-01    0.1462911672E+00
    0.2100000000E+03    0.4555265091E+00    0.1230653699E+00    0.9402478236E-01    0.1532059224E+00
    0.2300000000E+03    0.4690006229E+00    0.1251417776E+00    0.9785433458E-01    0.1594914294E+00
    0.2500000000E+03    0.4810128791E+00    0.1268526140E+00    0.1013534505E+00    0.1652398377E+00
    0.2700000000E+03    0.4917870843E+00    0.1282656055E+00    0.1045680444E+00    0.1705255508E+00
    0.2900000000E+03    0.5015030730E+00    0.1294333532E+00    0.1075356156E+00    0.1754093566E+00
    0.3100000000E+03    0.5103072298E+00    0.1303972818E+00    0.1102871179E+00    0.1799414482E+00
    0.3300000000E+03    0.5183200543E+00    0.1311904205E+00    0.1128483475E+00    0.1841636696E+00
    0.3500000000E+03    0.5256417182E+00    0.1318393978E+00    0.1152409910E+00    0.1881112095E+00
    0.3700000000E+03    0.5323562218E+00    0.1323658974E+00    0.1174834252E+00    0.1918138959E+00
    0.3900000000E+03    0.5385345547E+00    0.1327877365E+00    0.1195913355E+00    0.1952971966E+00
