     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1589457738E-02    0.3123886969E-02    0.1272042744E-03    0.1843477430E-01
    0.3000000000E+01    0.4716222339E-02    0.8873340279E-02    0.3615081251E-03    0.5210875265E-01
    0.5000000000E+01    0.7775818612E-02    0.1404913095E-01    0.5726806279E-03    0.8211457826E-01
    0.7000000000E+01    0.1077094818E-01    0.1873978325E-01    0.7643035078E-03    0.1090316133E+00
    0.9000000000E+01    0.1370416498E-01    0.2301586675E-01    0.9392297398E-03    0.1333227464E+00
    0.1100000000E+02    0.1657788523E-01    0.2693435734E-01    0.1099760896E-02    0.1553623028E+00
    0.1300000000E+02    0.1939439674E-01    0.3054178716E-01    0.1247775188E-02    0.1754562930E+00
    0.1500000000E+02    0.2215586732E-01    0.3387655773E-01    0.1384821443E-02    0.1938573450E+00
    0.1700000000E+02    0.2486435264E-01    0.3697066406E-01    0.1512189125E-02    0.2107758822E+00
    0.1900000000E+02    0.2752180346E-01    0.3985099741E-01    0.1630961214E-02    0.2263886029E+00
    0.2100000000E+02    0.3013007224E-01    0.4254034182E-01    0.1742054633E-02    0.2408449929E+00
    0.2300000000E+02    0.3269091938E-01    0.4505814530E-01    0.1846251520E-02    0.2542723838E+00
    0.2500000000E+02    0.3520601885E-01    0.4742112272E-01    0.1944223662E-02    0.2667799218E+00
    0.2700000000E+02    0.3767696353E-01    0.4964373187E-01    0.2036551773E-02    0.2784617125E+00
    0.2900000000E+02    0.4010527008E-01    0.5173855270E-01    0.2123740853E-02    0.2893993335E+00
    0.3100000000E+02    0.4249238349E-01    0.5371659195E-01    0.2206232510E-02    0.2996638592E+00
    0.3300000000E+02    0.4483968131E-01    0.5558752981E-01    0.2284414932E-02    0.3093175046E+00
    0.3500000000E+02    0.4714847757E-01    0.5735992108E-01    0.2358631021E-02    0.3184149692E+00
    0.3700000000E+02    0.4942002646E-01    0.5904136035E-01    0.2429185061E-02    0.3270045432E+00
    0.3900000000E+02    0.5165552571E-01    0.6063861853E-01    0.2496348230E-02    0.3351290234E+00
    0.4100000000E+02    0.5385611977E-01    0.6215775635E-01    0.2560363181E-02    0.3428264762E+00
    0.4300000000E+02    0.5602290278E-01    0.6360421929E-01    0.2621447867E-02    0.3501308766E+00
    0.4500000000E+02    0.5815692132E-01    0.6498291740E-01    0.2679798758E-02    0.3570726459E+00
    0.4700000000E+02    0.6025917704E-01    0.6629829276E-01    0.2735593561E-02    0.3636791071E+00
    0.4900000000E+02    0.6233062901E-01    0.6755437675E-01    0.2788993520E-02    0.3699748714E+00
    0.1000000000E+02    0.1514831628E-01    0.2501668861E-01    0.1021168631E-02    0.1446034414E+00
    0.3000000000E+02    0.4130388830E-01    0.5274153648E-01    0.2165548449E-02    0.2946116543E+00
    0.5000000000E+02    0.6335509223E-01    0.6816134418E-01    0.2814841811E-02    0.3730132739E+00
    0.7000000000E+02    0.8243130230E-01    0.7792672508E-01    0.3235621211E-02    0.4218706837E+00
    0.9000000000E+02    0.9926816250E-01    0.8449044328E-01    0.3525989841E-02    0.4555556815E+00
    0.1100000000E+03    0.1143667689E+00    0.8902746349E-01    0.3733009276E-02    0.4803574853E+00
    0.1300000000E+03    0.1280811715E+00    0.9219167453E-01    0.3882965540E-02    0.4994809665E+00
    0.1500000000E+03    0.1406692736E+00    0.9438313037E-01    0.3992020481E-02    0.5147384847E+00
    0.1700000000E+03    0.1523238583E+00    0.9586287779E-01    0.4070781068E-02    0.5272358594E+00
    0.1900000000E+03    0.1631922627E+00    0.9680936943E-01    0.4126544081E-02    0.5376881200E+00
    0.2100000000E+03    0.1733892792E+00    0.9734896965E-01    0.4164511240E-02    0.5465792749E+00
    0.2300000000E+03    0.1830058673E+00    0.9757367014E-01    0.4188496195E-02    0.5542493306E+00
    0.2500000000E+03    0.1921151853E+00    0.9755195685E-01    0.4201359250E-02    0.5609445693E+00
    0.2700000000E+03    0.2007768631E+00    0.9733577047E-01    0.4205286602E-02    0.5668480395E+00
    0.2900000000E+03    0.2090400877E+00    0.9696512389E-01    0.4201976147E-02    0.5720988118E+00
    0.3100000000E+03    0.2169458730E+00    0.9647125537E-01    0.4192764788E-02    0.5768045642E+00
    0.3300000000E+03    0.2245287543E+00    0.9587883531E-01    0.4178717833E-02    0.5810500558E+00
    0.3500000000E+03    0.2318180743E+00    0.9520754317E-01    0.4160693108E-02    0.5849029797E+00
    0.3700000000E+03    0.2388389686E+00    0.9447321531E-01    0.4139387794E-02    0.5884180986E+00
    0.3900000000E+03    0.2456131337E+00    0.9368869368E-01    0.4115373195E-02    0.5916402253E+00
    0.4100000000E+03    0.2521594283E+00    0.9286446258E-01    0.4089120914E-02    0.5946064103E+00
    0.4300000000E+03    0.2584943520E+00    0.9200913228E-01    0.4061022824E-02    0.5973475719E+00
    0.4500000000E+03    0.2646324281E+00    0.9112981072E-01    0.4031406473E-02    0.5998897294E+00
    0.4700000000E+03    0.2705865124E+00    0.9023239203E-01    0.4000547097E-02    0.6022549486E+00
    0.4900000000E+03    0.2763680456E+00    0.8932178281E-01    0.3968677076E-02    0.6044620739E+00
    0.1000000000E+03    0.1070098951E+00    0.8696347013E-01    0.3637958305E-02    0.4688217425E+00
    0.3000000000E+03    0.2130353667E+00    0.9673191751E-01    0.4198035984E-02    0.5745140596E+00
    0.5000000000E+03    0.2791973453E+00    0.8886283980E-01    0.3952425855E-02    0.6055115034E+00
    0.7000000000E+03    0.3287289027E+00    0.7968989510E-01    0.3609026363E-02    0.6211522893E+00
    0.9000000000E+03    0.3682460611E+00    0.7130842042E-01    0.3274118580E-02    0.6308189766E+00
    0.1100000000E+04    0.4007553095E+00    0.6402222087E-01    0.2970800646E-02    0.6374808454E+00
    0.1300000000E+04    0.4279927342E+00    0.5777037860E-01    0.2702517227E-02    0.6423969024E+00
    0.1500000000E+04    0.4511054245E+00    0.5241594986E-01    0.2467116354E-02    0.6461994332E+00
    0.1700000000E+04    0.4709127455E+00    0.4781909693E-01    0.2260929181E-02    0.6492435908E+00
    0.1900000000E+04    0.4880279621E+00    0.4385610559E-01    0.2080123986E-02    0.6517454775E+00
    0.2100000000E+04    0.5029238448E+00    0.4042269266E-01    0.1921166119E-02    0.6538447436E+00
    0.2300000000E+04    0.5159722170E+00    0.3743259389E-01    0.1780951291E-02    0.6556359768E+00
    0.2500000000E+04    0.5274697975E+00    0.3481493943E-01    0.1656814065E-02    0.6571857073E+00
    0.2700000000E+04    0.5376560740E+00    0.3251158045E-01    0.1546490267E-02    0.6585422041E+00
    0.2900000000E+04    0.5467261650E+00    0.3047472918E-01    0.1448065585E-02    0.6597414070E+00
    0.3100000000E+04    0.5548403345E+00    0.2866498885E-01    0.1359923645E-02    0.6608106719E+00
    0.3300000000E+04    0.5621311748E+00    0.2704975020E-01    0.1280698746E-02    0.6617712183E+00
    0.3500000000E+04    0.5687091111E+00    0.2560190163E-01    0.1209234825E-02    0.6626397797E+00
    0.3700000000E+04    0.5746666718E+00    0.2429879695E-01    0.1144550729E-02    0.6634297433E+00
    0.3900000000E+04    0.5800818339E+00    0.2312142996E-01    0.1085811195E-02    0.6641519575E+00
    0.4100000000E+04    0.5850206653E+00    0.2205377382E-01    0.1032302791E-02    0.6648153136E+00
    0.4300000000E+04    0.5895394296E+00    0.2108225107E-01    0.9834140222E-03    0.6654271742E+00
    0.4500000000E+04    0.5936862718E+00    0.2019530689E-01    0.9386189152E-03    0.6659936920E+00
    0.4700000000E+04    0.5975025790E+00    0.1938306434E-01    0.8974634511E-03    0.6665200523E+00
    0.4900000000E+04    0.6010240840E+00    0.1863704463E-01    0.8595543480E-03    0.6670106580E+00
    0.1000000000E+04    0.3852496389E+00    0.6752885025E-01    0.3118081329E-02    0.6344253806E+00
    0.3000000000E+04    0.5508938758E+00    0.2954365080E-01    0.1402799991E-02    0.6602908340E+00
    0.5000000000E+04    0.6026841311E+00    0.1828654405E-01    0.8417085668E-03    0.6672437511E+00
    0.7000000000E+04    0.6261015560E+00    0.1342422791E-01    0.5922295980E-03    0.6707092762E+00
    0.9000000000E+04    0.6390404596E+00    0.1079910591E-01    0.4569304725E-03    0.6728513046E+00
    0.1100000000E+05    0.6471278857E+00    0.9171524160E-02    0.3736360622E-03    0.6743334991E+00
    0.1300000000E+05    0.6526176363E+00    0.8064804250E-02    0.3177305795E-03    0.6754333921E+00
    0.1500000000E+05    0.6565693788E+00    0.7261562999E-02    0.2778022076E-03    0.6762894137E+00
    0.1700000000E+05    0.6595411765E+00    0.6649891498E-02    0.2479241959E-03    0.6769790636E+00
    0.1900000000E+05    0.6618527764E+00    0.6166735273E-02    0.2247445297E-03    0.6775494389E+00
    0.2100000000E+05    0.6636996904E+00    0.5774000362E-02    0.2062375516E-03    0.6780309749E+00
    0.2300000000E+05    0.6652078032E+00    0.5447361245E-02    0.1911126263E-03    0.6784443031E+00
    0.2500000000E+05    0.6664616443E+00    0.5170569015E-02    0.1785111304E-03    0.6788039558E+00
    0.2700000000E+05    0.6675199835E+00    0.4932357617E-02    0.1678409538E-03    0.6791204959E+00
    0.2900000000E+05    0.6684248954E+00    0.4724667314E-02    0.1586812029E-03    0.6794018052E+00
    0.3100000000E+05    0.6692072641E+00    0.4541576381E-02    0.1507248312E-03    0.6796538971E+00
    0.3300000000E+05    0.6698902536E+00    0.4378632975E-02    0.1437427664E-03    0.6798814481E+00
    0.3500000000E+05    0.6704915671E+00    0.4232422878E-02    0.1375607317E-03    0.6800881555E+00
    0.3700000000E+05    0.6710249595E+00    0.4100281505E-02    0.1320438352E-03    0.6802769857E+00
    0.3900000000E+05    0.6715012756E+00    0.3980096988E-02    0.1270860628E-03    0.6804503489E+00
    0.4100000000E+05    0.6719291783E+00    0.3870172425E-02    0.1226029529E-03    0.6806102263E+00
    0.4300000000E+05    0.6723156685E+00    0.3769127532E-02    0.1185263865E-03    0.6807582628E+00
    0.4500000000E+05    0.6726664646E+00    0.3675827135E-02    0.1148008158E-03    0.6808958373E+00
    0.4700000000E+05    0.6729862820E+00    0.3589328307E-02    0.1113804881E-03    0.6810241148E+00
    0.4900000000E+05    0.6732790432E+00    0.3508840710E-02    0.1082273739E-03    0.6811440876E+00
    0.1000000000E+05    0.6435082042E+00    0.9899544472E-02    0.4107820969E-03    0.6736527558E+00
    0.3000000000E+05    0.6688298000E+00    0.4630353677E-02    0.1545684205E-03    0.6795311846E+00
    0.5000000000E+05    0.6734163268E+00    0.3470638293E-02    0.1067408556E-03    0.6812012303E+00
    0.7000000000E+05    0.6753173168E+00    0.2903499319E-02    0.8545677198E-04    0.6820626876E+00
    0.9000000000E+05    0.6763571092E+00    0.2550733671E-02    0.7297655233E-04    0.6826078822E+00
    0.1100000000E+06    0.6770134457E+00    0.2303793539E-02    0.6458797152E-04    0.6829918255E+00
    0.1300000000E+06    0.6774658753E+00    0.2118290634E-02    0.5847198814E-04    0.6832806915E+00
    0.1500000000E+06    0.6777969491E+00    0.1972227560E-02    0.5376624362E-04    0.6835080414E+00
    0.1700000000E+06    0.6780499246E+00    0.1853283879E-02    0.5000443862E-04    0.6836929262E+00
    0.1900000000E+06    0.6782496617E+00    0.1753944772E-02    0.4691018261E-04    0.6838470594E+00
    0.2100000000E+06    0.6784114666E+00    0.1669328429E-02    0.4430814790E-04    0.6839780880E+00
    0.2300000000E+06    0.6785452810E+00    0.1596105719E-02    0.4208115310E-04    0.6840912416E+00
    0.2500000000E+06    0.6786578445E+00    0.1531916995E-02    0.4014756469E-04    0.6841902331E+00
    0.2700000000E+06    0.6787538887E+00    0.1475036337E-02    0.3844856375E-04    0.6842777801E+00
    0.2900000000E+06    0.6788368340E+00    0.1424167934E-02    0.3694056872E-04    0.6843559235E+00
    0.3100000000E+06    0.6789092148E+00    0.1378317189E-02    0.3559051850E-04    0.6844262292E+00
    0.3300000000E+06    0.6789729491E+00    0.1336706155E-02    0.3437282319E-04    0.6844899216E+00
    0.3500000000E+06    0.6790295159E+00    0.1298716311E-02    0.3326732848E-04    0.6845479734E+00
    0.3700000000E+06    0.6790800735E+00    0.1263848809E-02    0.3225791834E-04    0.6846011684E+00
    0.3900000000E+06    0.6791255427E+00    0.1231696220E-02    0.3133153267E-04    0.6846501463E+00
    0.4100000000E+06    0.6791666645E+00    0.1201922029E-02    0.3047746165E-04    0.6846954349E+00
    0.4300000000E+06    0.6792040420E+00    0.1174245493E-02    0.2968682934E-04    0.6847374740E+00
    0.4500000000E+06    0.6792381713E+00    0.1148430279E-02    0.2895220941E-04    0.6847766335E+00
    0.4700000000E+06    0.6792694641E+00    0.1124275806E-02    0.2826733475E-04    0.6848132269E+00
    0.4900000000E+06    0.6792982650E+00    0.1101610571E-02    0.2762687509E-04    0.6848475221E+00
    0.1000000000E+06    0.6767185558E+00    0.2417584060E-02    0.6841811719E-04    0.6828147605E+00
    0.3000000000E+06    0.6788742130E+00    0.1400668279E-02    0.3624754730E-04    0.6843919727E+00
    0.5000000000E+06    0.6793118237E+00    0.1090789467E-02    0.2732184811E-04    0.6848638811E+00
    0.7000000000E+06    0.6795035601E+00    0.9255420799E-03    0.2272452378E-04    0.6851124620E+00
    0.9000000000E+06    0.6796123087E+00    0.8187617075E-03    0.1981573235E-04    0.6852717666E+00
    0.1100000000E+07    0.6796828429E+00    0.7424469721E-03    0.1776789963E-04    0.6853849276E+00
    0.1300000000E+07    0.6797325409E+00    0.6843835116E-03    0.1622791457E-04    0.6854706161E+00
    0.1500000000E+07    0.6797695877E+00    0.6382757482E-03    0.1501662887E-04    0.6855383980E+00
    0.1700000000E+07    0.6797983553E+00    0.6005041442E-03    0.1403229850E-04    0.6855937455E+00
    0.1900000000E+07    0.6798213972E+00    0.5688197324E-03    0.1321233343E-04    0.6856400449E+00
    0.2100000000E+07    0.6798403071E+00    0.5417414097E-03    0.1251585871E-04    0.6856795182E+00
    0.2300000000E+07    0.6798561328E+00    0.5182485327E-03    0.1191491044E-04    0.6857136920E+00
    0.2500000000E+07    0.6798695924E+00    0.4976117273E-03    0.1138963194E-04    0.6857436542E+00
    0.2700000000E+07    0.6798811951E+00    0.4792939886E-03    0.1092548645E-04    0.6857702038E+00
    0.2900000000E+07    0.6798913121E+00    0.4628899677E-03    0.1051155720E-04    0.6857939427E+00
    0.3100000000E+07    0.6799002210E+00    0.4480871555E-03    0.1013946693E-04    0.6858153339E+00
    0.3300000000E+07    0.6799081332E+00    0.4346402021E-03    0.9802666744E-05    0.6858347403E+00
    0.3500000000E+07    0.6799152131E+00    0.4223534194E-03    0.9495953949E-05    0.6858524507E+00
    0.3700000000E+07    0.6799215904E+00    0.4110685538E-03    0.9215136523E-05    0.6858686986E+00
    0.3900000000E+07    0.6799273687E+00    0.4006560489E-03    0.8956794368E-05    0.6858836747E+00
    0.4100000000E+07    0.6799326320E+00    0.3910086797E-03    0.8718105988E-05    0.6858975365E+00
    0.4300000000E+07    0.6799374490E+00    0.3820368321E-03    0.8496720422E-05    0.6859104158E+00
    0.4500000000E+07    0.6799418765E+00    0.3736649476E-03    0.8290661118E-05    0.6859224232E+00
    0.4700000000E+07    0.6799459620E+00    0.3658288088E-03    0.8098252737E-05    0.6859336528E+00
    0.4900000000E+07    0.6799497455E+00    0.3584734387E-03    0.7918064702E-05    0.6859441852E+00
    0.1000000000E+07    0.6796509440E+00    0.7777604451E-03    0.1871220831E-04    0.6853326383E+00
    0.3000000000E+07    0.6798959031E+00    0.4553050825E-03    0.1032072783E-04    0.6858049071E+00
    0.5000000000E+07    0.6799515347E+00    0.3549609764E-03    0.7832162144E-05    0.6859492120E+00
    0.7000000000E+07    0.6799774908E+00    0.3012693716E-03    0.6531236001E-05    0.6860258126E+00
    0.9000000000E+07    0.6799929143E+00    0.2665332816E-03    0.5702784145E-05    0.6860751183E+00
    0.1100000000E+08    0.6800033013E+00    0.2416943773E-03    0.5117459065E-05    0.6861102448E+00
    0.1300000000E+08    0.6800108560E+00    0.2227906713E-03    0.4676307452E-05    0.6861369001E+00
    0.1500000000E+08    0.6800166449E+00    0.2077771230E-03    0.4328791409E-05    0.6861580196E+00
    0.1700000000E+08    0.6800212509E+00    0.1954769597E-03    0.4046082041E-05    0.6861752871E+00
    0.1900000000E+08    0.6800250216E+00    0.1851586000E-03    0.3810389056E-05    0.6861897472E+00
    0.2100000000E+08    0.6800281780E+00    0.1763400662E-03    0.3610067267E-05    0.6862020863E+00
    0.2300000000E+08    0.6800308679E+00    0.1686891360E-03    0.3437135527E-05    0.6862127770E+00
    0.2500000000E+08    0.6800331941E+00    0.1619683513E-03    0.3285918503E-05    0.6862221562E+00
    0.2700000000E+08    0.6800352307E+00    0.1560028588E-03    0.3152256593E-05    0.6862304719E+00
    0.2900000000E+08    0.6800370322E+00    0.1506606600E-03    0.3033023076E-05    0.6862379111E+00
    0.3100000000E+08    0.6800386401E+00    0.1458399815E-03    0.2925816680E-05    0.6862446175E+00
    0.3300000000E+08    0.6800400863E+00    0.1414609165E-03    0.2828758961E-05    0.6862507041E+00
    0.3500000000E+08    0.6800413959E+00    0.1374597298E-03    0.2740356748E-05    0.6862562608E+00
    0.3700000000E+08    0.6800425889E+00    0.1337848769E-03    0.2659406339E-05    0.6862613603E+00
