     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2636574689E-02    0.6313269898E-02    0.2570173665E-03    0.5107477644E-02
    0.3000000000E+01    0.7752085897E-02    0.1827503250E-01    0.7440248504E-03    0.1486807039E-01
    0.5000000000E+01    0.1267040969E-01    0.2942019093E-01    0.1197831686E-02    0.2406960558E-01
    0.7000000000E+01    0.1740578067E-01    0.3982364636E-01    0.1621482225E-02    0.3276222144E-01
    0.9000000000E+01    0.2197104917E-01    0.4955154278E-01    0.2017664806E-02    0.4099014148E-01
    0.1100000000E+02    0.2637784700E-01    0.5866250534E-01    0.2388762117E-02    0.4879252634E-01
    0.1300000000E+02    0.3063672980E-01    0.6720867450E-01    0.2736893246E-02    0.5620418217E-01
    0.1500000000E+02    0.3475729988E-01    0.7523657414E-01    0.3063948976E-02    0.6325615299E-01
    0.1700000000E+02    0.3874831253E-01    0.8278784413E-01    0.3371621573E-02    0.6997621874E-01
    0.1900000000E+02    0.4261776834E-01    0.8989986120E-01    0.3661430030E-02    0.7638931602E-01
    0.2100000000E+02    0.4637299372E-01    0.9660626769E-01    0.3934741557E-02    0.8251789516E-01
    0.2300000000E+02    0.5002071122E-01    0.1029374236E+00    0.4192789967E-02    0.8838222472E-01
    0.2500000000E+02    0.5356710123E-01    0.1089207948E+00    0.4436691446E-02    0.9400065212E-01
    0.2700000000E+02    0.5701785619E-01    0.1145812871E+00    0.4667458152E-02    0.9938982766E-01
    0.2900000000E+02    0.6037822847E-01    0.1199415363E+00    0.4886009971E-02    0.1045648979E+00
    0.3100000000E+02    0.6365307258E-01    0.1250221580E+00    0.5093184716E-02    0.1095396728E+00
    0.3300000000E+02    0.6684688270E-01    0.1298419673E+00    0.5289747016E-02    0.1143267717E+00
    0.3500000000E+02    0.6996382594E-01    0.1344181689E+00    0.5476396064E-02    0.1189377492E+00
    0.3700000000E+02    0.7300777202E-01    0.1387665244E+00    0.5653772418E-02    0.1233832070E+00
    0.3900000000E+02    0.7598231967E-01    0.1429014995E+00    0.5822463964E-02    0.1276728903E+00
    0.4100000000E+02    0.7889082037E-01    0.1468363926E+00    0.5983011175E-02    0.1318157740E+00
    0.4300000000E+02    0.8173639951E-01    0.1505834499E+00    0.6135911749E-02    0.1358201377E+00
    0.4500000000E+02    0.8452197546E-01    0.1541539659E+00    0.6281624725E-02    0.1396936322E+00
    0.4700000000E+02    0.8725027674E-01    0.1575583732E+00    0.6420574121E-02    0.1434433395E+00
    0.4900000000E+02    0.8992385743E-01    0.1608063226E+00    0.6553152182E-02    0.1470758242E+00
    0.1000000000E+02    0.2419357350E-01    0.5418074093E-01    0.2206210943E-02    0.4494225582E-01
    0.3000000000E+02    0.6202605262E-01    0.1225155848E+00    0.4990970069E-02    0.1070765072E+00
    0.5000000000E+02    0.9124088148E-01    0.1623744453E+00    0.6617166568E-02    0.1488500300E+00
    0.7000000000E+02    0.1152169368E+00    0.1873769266E+00    0.7638322656E-02    0.1794505465E+00
    0.9000000000E+02    0.1357064417E+00    0.2037687088E+00    0.8308331686E-02    0.2031847910E+00
    0.1100000000E+03    0.1537175572E+00    0.2147925967E+00    0.8759073659E-02    0.2223559615E+00
    0.1300000000E+03    0.1698763610E+00    0.2222871509E+00    0.9065366057E-02    0.2383155952E+00
    0.1500000000E+03    0.1845951353E+00    0.2273657063E+00    0.9272550657E-02    0.2519135633E+00
    0.1700000000E+03    0.1981583144E+00    0.2307378243E+00    0.9409553748E-02    0.2637136986E+00
    0.1900000000E+03    0.2107697206E+00    0.2328745981E+00    0.9495602973E-02    0.2741064161E+00
    0.2100000000E+03    0.2225800991E+00    0.2340994113E+00    0.9543915643E-02    0.2833716677E+00
    0.2300000000E+03    0.2337039656E+00    0.2346404876E+00    0.9563834773E-02    0.2917161221E+00
    0.2500000000E+03    0.2442303406E+00    0.2346626913E+00    0.9562121994E-02    0.2992961469E+00
    0.2700000000E+03    0.2542298279E+00    0.2342874998E+00    0.9543769867E-02    0.3062325684E+00
    0.2900000000E+03    0.2637594231E+00    0.2336059543E+00    0.9512528774E-02    0.3126204667E+00
    0.3100000000E+03    0.2728658649E+00    0.2326872910E+00    0.9471258255E-02    0.3185358625E+00
    0.3300000000E+03    0.2815880232E+00    0.2315848350E+00    0.9422167008E-02    0.3240403960E+00
    0.3500000000E+03    0.2899586365E+00    0.2303401105E+00    0.9366980363E-02    0.3291846731E+00
    0.3700000000E+03    0.2980055973E+00    0.2289857613E+00    0.9307059379E-02    0.3340107047E+00
    0.3900000000E+03    0.3057529186E+00    0.2275476632E+00    0.9243486994E-02    0.3385537163E+00
    0.4100000000E+03    0.3132214721E+00    0.2260464725E+00    0.9177131283E-02    0.3428435114E+00
    0.4300000000E+03    0.3204295570E+00    0.2244987790E+00    0.9108692574E-02    0.3469055128E+00
    0.4500000000E+03    0.3273933463E+00    0.2229179742E+00    0.9038738956E-02    0.3507615682E+00
    0.4700000000E+03    0.3341272389E+00    0.2213149128E+00    0.8967733380E-02    0.3544305818E+00
    0.4900000000E+03    0.3406441403E+00    0.2196984216E+00    0.8896054524E-02    0.3579290128E+00
    0.1000000000E+03    0.1449762492E+00    0.2098142906E+00    0.8555523051E-02    0.2132409046E+00
    0.3000000000E+03    0.2683629474E+00    0.2331726117E+00    0.9492996141E-02    0.3156330823E+00
    0.5000000000E+03    0.3438249008E+00    0.2188874431E+00    0.8860061985E-02    0.3596188346E+00
    0.7000000000E+03    0.3983768828E+00    0.2031314639E+00    0.8156024828E-02    0.3871745555E+00
    0.9000000000E+03    0.4398885226E+00    0.1893485690E+00    0.7532625149E-02    0.4070407836E+00
    0.1100000000E+04    0.4723506138E+00    0.1777275425E+00    0.7002154388E-02    0.4224632496E+00
    0.1300000000E+04    0.4982345555E+00    0.1679511122E+00    0.6553178863E-02    0.4349976656E+00
    0.1500000000E+04    0.5192052285E+00    0.1596661981E+00    0.6171418734E-02    0.4455086348E+00
    0.1700000000E+04    0.5364328364E+00    0.1525739325E+00    0.5844224794E-02    0.4545257929E+00
    0.1900000000E+04    0.5507618703E+00    0.1464378992E+00    0.5561293642E-02    0.4623967909E+00
    0.2100000000E+04    0.5628138088E+00    0.1410746148E+00    0.5314452993E-02    0.4693619236E+00
    0.2300000000E+04    0.5730535156E+00    0.1363419648E+00    0.5097264209E-02    0.4755940811E+00
    0.2500000000E+04    0.5818337458E+00    0.1321293219E+00    0.4904646025E-02    0.4812217123E+00
    0.2700000000E+04    0.5894257108E+00    0.1283498710E+00    0.4732566205E-02    0.4863427876E+00
    0.2900000000E+04    0.5960404625E+00    0.1249348423E+00    0.4577801510E-02    0.4910336849E+00
    0.3100000000E+04    0.6018440882E+00    0.1218292270E+00    0.4437754541E-02    0.4953550631E+00
    0.3300000000E+04    0.6069686610E+00    0.1189885947E+00    0.4310314826E-02    0.4993558700E+00
    0.3500000000E+04    0.6115202306E+00    0.1163767204E+00    0.4193753430E-02    0.5030761527E+00
    0.3700000000E+04    0.6155847256E+00    0.1139638028E+00    0.4086642672E-02    0.5065490747E+00
    0.3900000000E+04    0.6192323628E+00    0.1117251152E+00    0.3987794601E-02    0.5098023945E+00
    0.4100000000E+04    0.6225209743E+00    0.1096399762E+00    0.3896213541E-02    0.5128595688E+00
    0.4300000000E+04    0.6254985450E+00    0.1076909567E+00    0.3811059202E-02    0.5157405886E+00
    0.4500000000E+04    0.6282051655E+00    0.1058632640E+00    0.3731617802E-02    0.5184626233E+00
    0.4700000000E+04    0.6306745480E+00    0.1041442590E+00    0.3657279284E-02    0.5210405215E+00
    0.4900000000E+04    0.6329352140E+00    0.1025230758E+00    0.3587519218E-02    0.5234872068E+00
    0.1000000000E+04    0.4570721275E+00    0.1832845688E+00    0.7256316153E-02    0.4151874208E+00
    0.3000000000E+04    0.5990347199E+00    0.1233463517E+00    0.4506080251E-02    0.4932372677E+00
    0.5000000000E+04    0.6339950067E+00    0.1017461803E+00    0.3554212008E-02    0.5246649357E+00
    0.7000000000E+04    0.6485646108E+00    0.8961430624E-01    0.3045193534E-02    0.5434604091E+00
    0.9000000000E+04    0.6563388765E+00    0.8144249278E-01    0.2714926248E-02    0.5564749122E+00
    0.1100000000E+05    0.6611144089E+00    0.7539488858E-01    0.2477294700E-02    0.5662326362E+00
    0.1300000000E+05    0.6643252387E+00    0.7065600203E-01    0.2295100380E-02    0.5739276773E+00
    0.1500000000E+05    0.6666236245E+00    0.6679714488E-01    0.2149299253E-02    0.5802129008E+00
    0.1700000000E+05    0.6683461363E+00    0.6356676791E-01    0.2028975031E-02    0.5854812241E+00
    0.1900000000E+05    0.6696830671E+00    0.6080539866E-01    0.1927346597E-02    0.5899859683E+00
    0.2100000000E+05    0.6707497269E+00    0.5840597213E-01    0.1839941007E-02    0.5938991645E+00
    0.2300000000E+05    0.6716198922E+00    0.5629335745E-01    0.1763667421E-02    0.5973424941E+00
    0.2500000000E+05    0.6723428791E+00    0.5441294508E-01    0.1696309396E-02    0.6004048954E+00
    0.2700000000E+05    0.6729528623E+00    0.5272388691E-01    0.1636228728E-02    0.6031531554E+00
    0.2900000000E+05    0.6734742486E+00    0.5119489143E-01    0.1582183773E-02    0.6056385763E+00
    0.3100000000E+05    0.6739249213E+00    0.4980150043E-01    0.1533213259E-02    0.6079013336E+00
    0.3300000000E+05    0.6743182750E+00    0.4852426417E-01    0.1488559329E-02    0.6099734168E+00
    0.3500000000E+05    0.6746645364E+00    0.4734748301E-01    0.1447615026E-02    0.6118806689E+00
    0.3700000000E+05    0.6749716453E+00    0.4625831756E-01    0.1409887511E-02    0.6136442347E+00
    0.3900000000E+05    0.6752458582E+00    0.4524614569E-01    0.1374971730E-02    0.6152816116E+00
    0.4100000000E+05    0.6754921706E+00    0.4430208898E-01    0.1342531167E-02    0.6168074249E+00
    0.4300000000E+05    0.6757146185E+00    0.4341865796E-01    0.1312283542E-02    0.6182340103E+00
    0.4500000000E+05    0.6759164978E+00    0.4258948225E-01    0.1283990006E-02    0.6195718578E+00
