     Pressure (Pa)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3739890790E-03    0.2659279455E-01
    0.3000000000E+01    0.1120714279E-02    0.7404397721E-01
    0.5000000000E+01    0.1865773544E-02    0.1151313438E+00
    0.7000000000E+01    0.2609172464E-02    0.1510549062E+00
    0.9000000000E+01    0.3350916599E-02    0.1827308065E+00
    0.1100000000E+02    0.4091011486E-02    0.2108705683E+00
    0.1300000000E+02    0.4829462636E-02    0.2360352025E+00
    0.1500000000E+02    0.5566275535E-02    0.2586730068E+00
    0.1700000000E+02    0.6301455642E-02    0.2791465184E+00
    0.1900000000E+02    0.7035008395E-02    0.2977520858E+00
    0.2100000000E+02    0.7766939206E-02    0.3147343147E+00
    0.2300000000E+02    0.8497253462E-02    0.3302968885E+00
    0.2500000000E+02    0.9225956526E-02    0.3446107826E+00
    0.2700000000E+02    0.9953053740E-02    0.3578205765E+00
    0.2900000000E+02    0.1067855042E-01    0.3700493583E+00
    0.3100000000E+02    0.1140245185E-01    0.3814025749E+00
    0.3300000000E+02    0.1212476332E-01    0.3919710833E+00
    0.3500000000E+02    0.1284549005E-01    0.4018335894E+00
    0.3700000000E+02    0.1356463728E-01    0.4110586138E+00
    0.3900000000E+02    0.1428221021E-01    0.4197060877E+00
    0.4100000000E+02    0.1499821400E-01    0.4278286578E+00
    0.4300000000E+02    0.1571265383E-01    0.4354727606E+00
    0.4500000000E+02    0.1642553481E-01    0.4426795118E+00
    0.4700000000E+02    0.1713686206E-01    0.4494854471E+00
    0.4900000000E+02    0.1784664066E-01    0.4559231428E+00
    0.1000000000E+02    0.3721169853E-02    0.1972046204E+00
    0.3000000000E+02    0.1104070021E-01    0.3758294229E+00
    0.5000000000E+02    0.1820095081E-01    0.4590131284E+00
    0.7000000000E+02    0.2520707753E-01    0.5071478965E+00
    0.9000000000E+02    0.3206401579E-01    0.5385476458E+00
    0.1100000000E+03    0.3877649230E-01    0.5606590541E+00
    0.1300000000E+03    0.4534903603E-01    0.5770808930E+00
    0.1500000000E+03    0.5178598850E-01    0.5897651107E+00
    0.1700000000E+03    0.5809151332E-01    0.5998621419E+00
    0.1900000000E+03    0.6426960524E-01    0.6080940176E+00
    0.2100000000E+03    0.7032409866E-01    0.6149368043E+00
    0.2300000000E+03    0.7625867555E-01    0.6207171281E+00
    0.2500000000E+03    0.8207687295E-01    0.6256665519E+00
    0.2700000000E+03    0.8778209010E-01    0.6299538187E+00
    0.2900000000E+03    0.9337759500E-01    0.6337048056E+00
    0.3100000000E+03    0.9886653075E-01    0.6370153257E+00
    0.3300000000E+03    0.1042519214E+00    0.6399596005E+00
    0.3500000000E+03    0.1095366777E+00    0.6425960203E+00
    0.3700000000E+03    0.1147236020E+00    0.6449711529E+00
    0.3900000000E+03    0.1198153936E+00    0.6471225936E+00
    0.4100000000E+03    0.1248146535E+00    0.6490810283E+00
    0.4300000000E+03    0.1297238883E+00    0.6508717524E+00
    0.4500000000E+03    0.1345455152E+00    0.6525158054E+00
    0.4700000000E+03    0.1392818653E+00    0.6540308311E+00
    0.4900000000E+03    0.1439351876E+00    0.6554317367E+00
    0.1000000000E+03    0.3543802419E-01    0.5504854106E+00
    0.3000000000E+03    0.9613519229E-01    0.6354100570E+00
    0.5000000000E+03    0.1462313947E+00    0.6560934330E+00
    0.7000000000E+03    0.1882865484E+00    0.6656071909E+00
    0.9000000000E+03    0.2240972821E+00    0.6711412726E+00
    0.1100000000E+04    0.2549617419E+00    0.6747861802E+00
    0.1300000000E+04    0.2818412999E+00    0.6773780267E+00
    0.1500000000E+04    0.3054631424E+00    0.6793189543E+00
    0.1700000000E+04    0.3263875069E+00    0.6808274687E+00
    0.1900000000E+04    0.3450530087E+00    0.6820330896E+00
    0.2100000000E+04    0.3618079589E+00    0.6830177678E+00
    0.2300000000E+04    0.3769324764E+00    0.6838360529E+00
    0.2500000000E+04    0.3906544057E+00    0.6845257566E+00
    0.2700000000E+04    0.4031609735E+00    0.6851139686E+00
    0.2900000000E+04    0.4146074583E+00    0.6856206374E+00
    0.3100000000E+04    0.4251237301E+00    0.6860607964E+00
    0.3300000000E+04    0.4348192466E+00    0.6864460008E+00
    0.3500000000E+04    0.4437869142E+00    0.6867852852E+00
    0.3700000000E+04    0.4521061048E+00    0.6870858190E+00
    0.3900000000E+04    0.4598450356E+00    0.6873533664E+00
    0.4100000000E+04    0.4670626634E+00    0.6875926157E+00
    0.4300000000E+04    0.4738102058E+00    0.6878074197E+00
    0.4500000000E+04    0.4801323715E+00    0.6880009738E+00
