     Pressure (Pa)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1120742487E-02    0.1355891876E-01
    0.3000000000E+01    0.3351168611E-02    0.3913149572E-01
    0.5000000000E+01    0.5566970504E-02    0.6283226949E-01
    0.7000000000E+01    0.7768291591E-02    0.8485952977E-01
    0.9000000000E+01    0.9955273427E-02    0.1053845132E+00
    0.1100000000E+02    0.1212805572E-01    0.1245558650E+00
    0.1300000000E+02    0.1428677639E-01    0.1425032452E+00
    0.1500000000E+02    0.1643157154E-01    0.1593402666E+00
    0.1700000000E+02    0.1856257556E-01    0.1751669022E+00
    0.1900000000E+02    0.2067992109E-01    0.1900714727E+00
    0.2100000000E+02    0.2278373908E-01    0.2041322962E+00
    0.2300000000E+02    0.2487415881E-01    0.2174190652E+00
    0.2500000000E+02    0.2695130793E-01    0.2299940022E+00
    0.2700000000E+02    0.2901531247E-01    0.2419128344E+00
    0.2900000000E+02    0.3106629684E-01    0.2532256198E+00
    0.3100000000E+02    0.3310438393E-01    0.2639774503E+00
    0.3300000000E+02    0.3512969505E-01    0.2742090522E+00
    0.3500000000E+02    0.3714235002E-01    0.2839573028E+00
    0.3700000000E+02    0.3914246714E-01    0.2932556738E+00
    0.3900000000E+02    0.4113016327E-01    0.3021346162E+00
    0.4100000000E+02    0.4310555380E-01    0.3106218933E+00
    0.4300000000E+02    0.4506875271E-01    0.3187428706E+00
    0.4500000000E+02    0.4701987255E-01    0.3265207696E+00
    0.4700000000E+02    0.4895902452E-01    0.3339768894E+00
    0.4900000000E+02    0.5088631844E-01    0.3411308017E+00
    0.1000000000E+02    0.1104343086E-01    0.1151308816E+00
    0.3000000000E+02    0.3208694493E-01    0.2586690131E+00
    0.5000000000E+02    0.5184555259E-01    0.3446001165E+00
    0.7000000000E+02    0.7043349757E-01    0.4018134667E+00
    0.9000000000E+02    0.8795186819E-01    0.4426474615E+00
    0.1100000000E+03    0.1044904383E+00    0.4732574058E+00
    0.1300000000E+03    0.1201292071E+00    0.4970574844E+00
    0.1500000000E+03    0.1349396945E+00    0.5160938008E+00
    0.1700000000E+03    0.1489860356E+00    0.5316672507E+00
    0.1900000000E+03    0.1623259096E+00    0.5446444877E+00
    0.2100000000E+03    0.1750113327E+00    0.5556251677E+00
    0.2300000000E+03    0.1870893360E+00    0.5650374244E+00
    0.2500000000E+03    0.1986025490E+00    0.5731951093E+00
    0.2700000000E+03    0.2095897029E+00    0.5803335424E+00
    0.2900000000E+03    0.2200860660E+00    0.5866326322E+00
    0.3100000000E+03    0.2301238222E+00    0.5922322813E+00
    0.3300000000E+03    0.2397324016E+00    0.5972429230E+00
    0.3500000000E+03    0.2489387682E+00    0.6017528941E+00
    0.3700000000E+03    0.2577676732E+00    0.6058336991E+00
    0.3900000000E+03    0.2662418774E+00    0.6095438383E+00
    0.4100000000E+03    0.2743823475E+00    0.6129316364E+00
    0.4300000000E+03    0.2822084292E+00    0.6160373630E+00
    0.4500000000E+03    0.2897380013E+00    0.6188948447E+00
    0.4700000000E+03    0.2969876116E+00    0.6215327042E+00
    0.4900000000E+03    0.3039725989E+00    0.6239753244E+00
