     Pressure (Pa)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7475696853E-03    0.2013956187E-01
    0.3000000000E+01    0.2237764506E-02    0.5707127583E-01
    0.5000000000E+01    0.3721402891E-02    0.9012562552E-01
    0.7000000000E+01    0.5198528064E-02    0.1198828820E+00
    0.9000000000E+01    0.6669182866E-02    0.1468130289E+00
    0.1100000000E+02    0.8133409761E-02    0.1713007754E+00
    0.1300000000E+02    0.9591250844E-02    0.1936640578E+00
    0.1500000000E+02    0.1104274784E-01    0.2141679238E+00
    0.1700000000E+02    0.1248794211E-01    0.2330350909E+00
    0.1900000000E+02    0.1392687467E-01    0.2504540727E+00
    0.2100000000E+02    0.1535958615E-01    0.2665855020E+00
    0.2300000000E+02    0.1678611686E-01    0.2815671017E+00
    0.2500000000E+02    0.1820650674E-01    0.2955176283E+00
    0.2700000000E+02    0.1962079540E-01    0.3085400281E+00
    0.2900000000E+02    0.2102902211E-01    0.3207239838E+00
    0.3100000000E+02    0.2243122579E-01    0.3321479838E+00
    0.3300000000E+02    0.2382744504E-01    0.3428810159E+00
    0.3500000000E+02    0.2521771813E-01    0.3529839626E+00
    0.3700000000E+02    0.2660208300E-01    0.3625107575E+00
    0.3900000000E+02    0.2798057727E-01    0.3715093492E+00
    0.4100000000E+02    0.2935323823E-01    0.3800225093E+00
    0.4300000000E+02    0.3072010287E-01    0.3880885123E+00
    0.4500000000E+02    0.3208120787E-01    0.3957417118E+00
    0.4700000000E+02    0.3343658959E-01    0.4030130301E+00
    0.4900000000E+02    0.3478628409E-01    0.4099303760E+00
    0.1000000000E+02    0.7402097162E-02    0.1593409477E+00
    0.3000000000E+02    0.2173087441E-01    0.3265264615E+00
    0.5000000000E+02    0.3545900981E-01    0.4132642960E+00
    0.7000000000E+02    0.4862352929E-01    0.4663734739E+00
    0.9000000000E+02    0.6125847580E-01    0.5022444061E+00
    0.1100000000E+03    0.7339520400E-01    0.5281040235E+00
    0.1300000000E+03    0.8506264059E-01    0.5476343801E+00
    0.1500000000E+03    0.9628751487E-01    0.5629087682E+00
    0.1700000000E+03    0.1070945635E+00    0.5751838480E+00
    0.1900000000E+03    0.1175067130E+00    0.5852656953E+00
    0.2100000000E+03    0.1275452421E+00    0.5936951528E+00
    0.2300000000E+03    0.1372299272E+00    0.6008486407E+00
    0.2500000000E+03    0.1465791730E+00    0.6069962347E+00
    0.2700000000E+03    0.1556101289E+00    0.6123367501E+00
    0.2900000000E+03    0.1643387949E+00    0.6170197956E+00
    0.3100000000E+03    0.1727801154E+00    0.6211601138E+00
    0.3300000000E+03    0.1809480659E+00    0.6248471820E+00
    0.3500000000E+03    0.1888557294E+00    0.6281518061E+00
    0.3700000000E+03    0.1965153672E+00    0.6311307518E+00
    0.3900000000E+03    0.2039384818E+00    0.6338300616E+00
    0.4100000000E+03    0.2111358752E+00    0.6362874747E+00
    0.4300000000E+03    0.2181177012E+00    0.6385342189E+00
    0.4500000000E+03    0.2248935136E+00    0.6405963580E+00
    0.4700000000E+03    0.2314723092E+00    0.6424958175E+00
    0.4900000000E+03    0.2378625687E+00    0.6442511757E+00
    0.1000000000E+03    0.6738725520E-01    0.5161436303E+00
    0.3000000000E+03    0.1685944781E+00    0.6191517000E+00
    0.5000000000E+03    0.2409895153E+00    0.6450798615E+00
    0.7000000000E+03    0.2953515477E+00    0.6569373920E+00
    0.9000000000E+03    0.3376778992E+00    0.6637413184E+00
    0.1100000000E+04    0.3715711775E+00    0.6681539561E+00
    0.1300000000E+04    0.3993261670E+00    0.6712450160E+00
    0.1500000000E+04    0.4224739866E+00    0.6735284208E+00
    0.1700000000E+04    0.4420754083E+00    0.6752820839E+00
    0.1900000000E+04    0.4588886170E+00    0.6766695522E+00
    0.2100000000E+04    0.4734699420E+00    0.6777933918E+00
    0.2300000000E+04    0.4862368567E+00    0.6787212009E+00
    0.2500000000E+04    0.4975087664E+00    0.6794993449E+00
    0.2700000000E+04    0.5075342152E+00    0.6801606848E+00
    0.2900000000E+04    0.5165095100E+00    0.6807291583E+00
    0.3100000000E+04    0.5245917631E+00    0.6812226129E+00
    0.3300000000E+04    0.5319082125E+00    0.6816546247E+00
    0.3500000000E+04    0.5385630025E+00    0.6820357021E+00
    0.3700000000E+04    0.5446421979E+00    0.6823741039E+00
    0.3900000000E+04    0.5502175450E+00    0.6826764094E+00
    0.4100000000E+04    0.5553493321E+00    0.6829479234E+00
    0.4300000000E+04    0.5600885897E+00    0.6831929696E+00
    0.4500000000E+04    0.5644788025E+00    0.6834151065E+00
    0.4700000000E+04    0.5685572552E+00    0.6836172891E+00
    0.4900000000E+04    0.5723560997E+00    0.6838019906E+00
    0.1000000000E+04    0.3555126485E+00    0.6661603857E+00
    0.3000000000E+04    0.5206537038E+00    0.6809843307E+00
    0.5000000000E+04    0.5741595268E+00    0.6838884508E+00
    0.7000000000E+04    0.6006910021E+00    0.6850679949E+00
    0.9000000000E+04    0.6165605120E+00    0.6856864311E+00
    0.1100000000E+05    0.6271291577E+00    0.6860576259E+00
    0.1300000000E+05    0.6346778026E+00    0.6863000200E+00
    0.1500000000E+05    0.6403420032E+00    0.6864676866E+00
    0.1700000000E+05    0.6447509472E+00    0.6865885986E+00
    0.1900000000E+05    0.6482815076E+00    0.6866785741E+00
    0.2100000000E+05    0.6511732543E+00    0.6867471760E+00
    0.2300000000E+05    0.6535857955E+00    0.6868004952E+00
    0.2500000000E+05    0.6556295881E+00    0.6868425770E+00
    0.2700000000E+05    0.6573835175E+00    0.6868762023E+00
    0.2900000000E+05    0.6589054328E+00    0.6869033382E+00
    0.3100000000E+05    0.6602387257E+00    0.6869254109E+00
    0.3300000000E+05    0.6614165847E+00    0.6869434760E+00
    0.3500000000E+05    0.6624648302E+00    0.6869583293E+00
    0.3700000000E+05    0.6634038532E+00    0.6869705804E+00
    0.3900000000E+05    0.6642499727E+00    0.6869807028E+00
    0.4100000000E+05    0.6650164042E+00    0.6869890692E+00
    0.4300000000E+05    0.6657139654E+00    0.6869959758E+00
    0.4500000000E+05    0.6663515963E+00    0.6870016607E+00
    0.4700000000E+05    0.6669367506E+00    0.6870063171E+00
    0.4900000000E+05    0.6674756923E+00    0.6870101028E+00
    0.1000000000E+05    0.6223257580E+00    0.6858932573E+00
    0.3000000000E+05    0.6595933822E+00    0.6869149343E+00
    0.5000000000E+05    0.6677295230E+00    0.6870117107E+00
    0.7000000000E+05    0.6713223738E+00    0.6870201859E+00
    0.9000000000E+05    0.6733559948E+00    0.6870095178E+00
    0.1100000000E+06    0.6746683787E+00    0.6869940609E+00
    0.1300000000E+06    0.6755874564E+00    0.6869778915E+00
    0.1500000000E+06    0.6762681606E+00    0.6869623151E+00
