     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2124300778E-02    0.1029985063E-02    0.6353298099E-04    0.2173022826E-01
    0.3000000000E+01    0.6332432997E-02    0.2896504418E-02    0.1802558729E-03    0.6112887018E-01
    0.5000000000E+01    0.1048746728E-01    0.4542993846E-02    0.2852393269E-03    0.9590638806E-01
    0.7000000000E+01    0.1459041404E-01    0.6006105173E-02    0.3804520127E-03    0.1268312929E+00
    0.9000000000E+01    0.1864225813E-01    0.7314782491E-02    0.4674353347E-03    0.1545106119E+00
    0.1100000000E+02    0.2264395964E-01    0.8492186636E-02    0.5474125448E-03    0.1794301880E+00
    0.1300000000E+02    0.2659645470E-01    0.9557070540E-02    0.6213662685E-03    0.2019834850E+00
    0.1500000000E+02    0.3050065620E-01    0.1052477996E-01    0.6900945759E-03    0.2224925486E+00
    0.1700000000E+02    0.3435745452E-01    0.1140799347E-01    0.7542521891E-03    0.2412235083E+00
    0.1900000000E+02    0.3816771818E-01    0.1221727760E-01    0.8143812049E-03    0.2583982092E+00
    0.2100000000E+02    0.4193229457E-01    0.1296150892E-01    0.8709343035E-03    0.2742030558E+00
    0.2300000000E+02    0.4565201055E-01    0.1364819884E-01    0.9242924905E-03    0.2887958183E+00
    0.2500000000E+02    0.4932767305E-01    0.1428374618E-01    0.9747788091E-03    0.3023109278E+00
    0.2700000000E+02    0.5296006972E-01    0.1487363579E-01    0.1022669045E-02    0.3148636389E+00
    0.2900000000E+02    0.5654996944E-01    0.1542259603E-01    0.1068200163E-02    0.3265533313E+00
    0.3100000000E+02    0.6009812294E-01    0.1593472480E-01    0.1111577006E-02    0.3374661526E+00
    0.3300000000E+02    0.6360526327E-01    0.1641359119E-01    0.1152977670E-02    0.3476771498E+00
    0.3500000000E+02    0.6707210638E-01    0.1686231808E-01    0.1192557837E-02    0.3572520016E+00
    0.3700000000E+02    0.7049935154E-01    0.1728364970E-01    0.1230454297E-02    0.3662484365E+00
    0.3900000000E+02    0.7388768189E-01    0.1768000737E-01    0.1266787829E-02    0.3747174002E+00
    0.4100000000E+02    0.7723776489E-01    0.1805353555E-01    0.1301665571E-02    0.3827040237E+00
    0.4300000000E+02    0.8055025272E-01    0.1840614033E-01    0.1335182989E-02    0.3902484301E+00
    0.4500000000E+02    0.8382578278E-01    0.1873952164E-01    0.1367425501E-02    0.3973864103E+00
    0.4700000000E+02    0.8706497806E-01    0.1905520034E-01    0.1398469853E-02    0.4041499926E+00
    0.4900000000E+02    0.9026844757E-01    0.1935454123E-01    0.1428385262E-02    0.4105679245E+00
    0.1000000000E+02    0.2064931764E-01    0.7918631571E-02    0.5082333928E-03    0.1672888883E+00
    0.3000000000E+02    0.5832921824E-01    0.1568302994E-01    0.1090146166E-02    0.3321019223E+00
    0.5000000000E+02    0.9185697174E-01    0.1949847367E-01    0.1442939426E-02    0.4136554602E+00
    0.7000000000E+02    0.1218901718E+00    0.2176085674E-01    0.1687274002E-02    0.4623491641E+00
    0.9000000000E+02    0.1489539889E+00    0.2325484150E-01    0.1864790970E-02    0.4947280655E+00
    0.1100000000E+03    0.1734729165E+00    0.2431311119E-01    0.1995640749E-02    0.5178232743E+00
    0.1300000000E+03    0.1957938105E+00    0.2510074219E-01    0.2091763479E-02    0.5351316977E+00
    0.1500000000E+03    0.2162028844E+00    0.2570890198E-01    0.2161142501E-02    0.5485890842E+00
    0.1700000000E+03    0.2349384290E+00    0.2619202483E-01    0.2209514368E-02    0.5593539349E+00
    0.1900000000E+03    0.2522004608E+00    0.2658460573E-01    0.2241186845E-02    0.5681621199E+00
    0.2100000000E+03    0.2681581292E+00    0.2690955596E-01    0.2259486886E-02    0.5755035537E+00
    0.2300000000E+03    0.2829554678E+00    0.2718268358E-01    0.2267032653E-02    0.5817170663E+00
    0.2500000000E+03    0.2967159042E+00    0.2741524481E-01    0.2265911827E-02    0.5870444987E+00
    0.2700000000E+03    0.3095458315E+00    0.2761546995E-01    0.2257805201E-02    0.5916631040E+00
    0.2900000000E+03    0.3215374606E+00    0.2778951455E-01    0.2244075885E-02    0.5957057696E+00
    0.3100000000E+03    0.3327711175E+00    0.2794207319E-01    0.2225835628E-02    0.5992740878E+00
    0.3300000000E+03    0.3433171066E+00    0.2807678781E-01    0.2203995221E-02    0.6024470606E+00
    0.3500000000E+03    0.3532372337E+00    0.2819652642E-01    0.2179303461E-02    0.6052870521E+00
    0.3700000000E+03    0.3625860593E+00    0.2830357783E-01    0.2152377661E-02    0.6078439516E+00
    0.3900000000E+03    0.3714119346E+00    0.2839979045E-01    0.2123727816E-02    0.6101581462E+00
    0.4100000000E+03    0.3797578657E+00    0.2848667306E-01    0.2093775880E-02    0.6122626819E+00
    0.4300000000E+03    0.3876622357E+00    0.2856546915E-01    0.2062871296E-02    0.6141848597E+00
    0.4500000000E+03    0.3951594132E+00    0.2863721262E-01    0.2031303550E-02    0.6159474332E+00
    0.4700000000E+03    0.4022802663E+00    0.2870276994E-01    0.1999312402E-02    0.6175695181E+00
    0.4900000000E+03    0.4090525999E+00    0.2876287266E-01    0.1967096251E-02    0.6190672917E+00
    0.1000000000E+03    0.1615082894E+00    0.2382571898E-01    0.1935179794E-02    0.5071668183E+00
    0.3000000000E+03    0.3272444260E+00    0.2786823108E-01    0.2235458494E-02    0.5975438354E+00
    0.5000000000E+03    0.4123160162E+00    0.2879107657E-01    0.1950956208E-02    0.6197739502E+00
    0.7000000000E+03    0.4642591064E+00    0.2917988393E-01    0.1643166600E-02    0.6298543455E+00
    0.9000000000E+03    0.4993083627E+00    0.2938561224E-01    0.1387838446E-02    0.6356122187E+00
    0.1100000000E+04    0.5245599855E+00    0.2950835383E-01    0.1185710265E-02    0.6393384106E+00
    0.1300000000E+04    0.5436188862E+00    0.2958710079E-01    0.1026165585E-02    0.6419476574E+00
    0.1500000000E+04    0.5585134370E+00    0.2964004258E-01    0.8990426763E-03    0.6438771266E+00
    0.1700000000E+04    0.5704731567E+00    0.2967673777E-01    0.7964421095E-03    0.6453621419E+00
    0.1900000000E+04    0.5802869554E+00    0.2970265537E-01    0.7125236440E-03    0.6465406318E+00
    0.2100000000E+04    0.5884843299E+00    0.2972113115E-01    0.6430082055E-03    0.6474987959E+00
    0.2300000000E+04    0.5954338964E+00    0.2973430375E-01    0.5847439347E-03    0.6482932784E+00
    0.2500000000E+04    0.6014001713E+00    0.2974360026E-01    0.5353843280E-03    0.6489628349E+00
    0.2700000000E+04    0.6065778873E+00    0.2975000463E-01    0.4931604065E-03    0.6495348781E+00
    0.2900000000E+04    0.6111135747E+00    0.2975421407E-01    0.4567212777E-03    0.6500293445E+00
    0.3100000000E+04    0.6151196006E+00    0.2975673413E-01    0.4250222923E-03    0.6504610805E+00
    0.3300000000E+04    0.6186835729E+00    0.2975793869E-01    0.3972459277E-03    0.6508413694E+00
    0.3500000000E+04    0.6218748004E+00    0.2975810900E-01    0.3727452090E-03    0.6511789401E+00
    0.3700000000E+04    0.6247488314E+00    0.2975745980E-01    0.3510027615E-03    0.6514806511E+00
    0.3900000000E+04    0.6273507054E+00    0.2975615717E-01    0.3316008201E-03    0.6517519661E+00
    0.4100000000E+04    0.6297173249E+00    0.2975433105E-01    0.3141990011E-03    0.6519972914E+00
    0.4300000000E+04    0.6318792127E+00    0.2975208414E-01    0.2985176414E-03    0.6522202202E+00
    0.4500000000E+04    0.6338618329E+00    0.2974949831E-01    0.2843251745E-03    0.6524237116E+00
    0.4700000000E+04    0.6356865966E+00    0.2974663940E-01    0.2714284678E-03    0.6526102247E+00
    0.4900000000E+04    0.6373716373E+00    0.2974356068E-01    0.2596653545E-03    0.6527818201E+00
    0.1000000000E+04    0.5128826864E+00    0.2945419095E-01    0.1280746220E-02    0.6376554871E+00
    0.3000000000E+04    0.6131768266E+00    0.2975565936E-01    0.4403349321E-03    0.6502522789E+00
    0.5000000000E+04    0.6381666832E+00    0.2974195278E-01    0.2541652253E-03    0.6528625780E+00
    0.7000000000E+04    0.6495089394E+00    0.2970542664E-01    0.1794819064E-03    0.6540023580E+00
    0.9000000000E+04    0.6559872898E+00    0.2966828964E-01    0.1403015195E-03    0.6546464268E+00
    0.1100000000E+05    0.6601794737E+00    0.2963399266E-01    0.1163979111E-03    0.6550632252E+00
    0.1300000000E+05    0.6631150754E+00    0.2960288823E-01    0.1003380773E-03    0.6553566717E+00
    0.1500000000E+05    0.6652860322E+00    0.2957469207E-01    0.8880406341E-04    0.6555755287E+00
    0.1700000000E+05    0.6669570689E+00    0.2954901793E-01    0.8010723962E-04    0.6557457447E+00
    0.1900000000E+05    0.6682833085E+00    0.2952550637E-01    0.7330273568E-04    0.6558824178E+00
    0.2100000000E+05    0.6693616818E+00    0.2950385108E-01    0.6782245850E-04    0.6559949411E+00
    0.2300000000E+05    0.6702558794E+00    0.2948379779E-01    0.6330503329E-04    0.6560894712E+00
    0.2500000000E+05    0.6710094790E+00    0.2946513658E-01    0.5950989555E-04    0.6561702158E+00
    0.2700000000E+05    0.6716533055E+00    0.2944769375E-01    0.5627080103E-04    0.6562401510E+00
    0.2900000000E+05    0.6722097796E+00    0.2943132471E-01    0.5346921153E-04    0.6563014428E+00
    0.3100000000E+05    0.6726956002E+00    0.2941590826E-01    0.5101832788E-04    0.6563557068E+00
    0.3300000000E+05    0.6731234607E+00    0.2940134202E-01    0.4885312277E-04    0.6564041731E+00
    0.3500000000E+05    0.6735031828E+00    0.2938753890E-01    0.4692390353E-04    0.6564477960E+00
    0.3700000000E+05    0.6738424854E+00    0.2937442425E-01    0.4519203004E-04    0.6564873270E+00
    0.3900000000E+05    0.6741475188E+00    0.2936193370E-01    0.4362699167E-04    0.6565233670E+00
    0.4100000000E+05    0.6744232445E+00    0.2935001135E-01    0.4220436577E-04    0.6565564021E+00
    0.4300000000E+05    0.6746737089E+00    0.2933860840E-01    0.4090436270E-04    0.6565868300E+00
    0.4500000000E+05    0.6749022455E+00    0.2932768201E-01    0.3971076970E-04    0.6566149797E+00
    0.4700000000E+05    0.6751116251E+00    0.2931719437E-01    0.3861017177E-04    0.6566411254E+00
    0.4900000000E+05    0.6753041699E+00    0.2930711195E-01    0.3759136818E-04    0.6566654981E+00
    0.1000000000E+05    0.6582860969E+00    0.2965073712E-01    0.1270512627E-03    0.6548748040E+00
    0.3000000000E+05    0.6724606498E+00    0.2942350421E-01    0.5220441746E-04    0.6563293688E+00
    0.5000000000E+05    0.6753947541E+00    0.2930221324E-01    0.3710963330E-04    0.6566770819E+00
    0.7000000000E+05    0.6766697207E+00    0.2921972880E-01    0.3010523130E-04    0.6568505746E+00
    0.9000000000E+05    0.6773848994E+00    0.2915724055E-01    0.2589845884E-04    0.6569607719E+00
    0.1100000000E+06    0.6778435826E+00    0.2910695135E-01    0.2302739361E-04    0.6570398003E+00
    0.1300000000E+06    0.6781632855E+00    0.2906488178E-01    0.2091214602E-04    0.6571007380E+00
    0.1500000000E+06    0.6783991582E+00    0.2902872671E-01    0.1927230131E-04    0.6571500279E+00
    0.1700000000E+06    0.6785805347E+00    0.2899703133E-01    0.1795393578E-04    0.6571912627E+00
    0.1900000000E+06    0.6787244668E+00    0.2896881869E-01    0.1686473611E-04    0.6572266284E+00
    0.2100000000E+06    0.6788415487E+00    0.2894340102E-01    0.1594559052E-04    0.6572575449E+00
    0.2300000000E+06    0.6789387128E+00    0.2892027589E-01    0.1515668699E-04    0.6572849814E+00
    0.2500000000E+06    0.6790206876E+00    0.2889906510E-01    0.1447011358E-04    0.6573096270E+00
    0.2700000000E+06    0.6790908102E+00    0.2887947683E-01    0.1386565109E-04    0.6573319877E+00
    0.2900000000E+06    0.6791515036E+00    0.2886128122E-01    0.1332824966E-04    0.6573524453E+00
    0.3100000000E+06    0.6792045704E+00    0.2884429399E-01    0.1284644754E-04    0.6573712943E+00
    0.3300000000E+06    0.6792513793E+00    0.2882836515E-01    0.1241134283E-04    0.6573887669E+00
    0.3500000000E+06    0.6792929888E+00    0.2881337095E-01    0.1201590353E-04    0.6574050486E+00
    0.3700000000E+06    0.6793302306E+00    0.2879920815E-01    0.1165449184E-04    0.6574202905E+00
    0.3900000000E+06    0.6793637669E+00    0.2878578970E-01    0.1132252831E-04    0.6574346165E+00
    0.4100000000E+06    0.6793941322E+00    0.2877304152E-01    0.1101624977E-04    0.6574481302E+00
    0.4300000000E+06    0.6794217622E+00    0.2876090007E-01    0.1073253162E-04    0.6574609183E+00
    0.4500000000E+06    0.6794470159E+00    0.2874931041E-01    0.1046875511E-04    0.6574730547E+00
    0.4700000000E+06    0.6794701920E+00    0.2873822474E-01    0.1022270694E-04    0.6574846024E+00
    0.4900000000E+06    0.6794915407E+00    0.2872760121E-01    0.9992502019E-05    0.6574956160E+00
    0.1000000000E+06    0.6776367701E+00    0.2913087399E-01    0.2434265093E-04    0.6570031349E+00
    0.3000000000E+06    0.6791788963E+00    0.2885264663E-01    0.1308100569E-04    0.6573620551E+00
    0.5000000000E+06    0.6795015971E+00    0.2872245106E-01    0.9882826418E-05    0.6575009375E+00
    0.7000000000E+06    0.6796442385E+00    0.2863669830E-01    0.8227111100E-05    0.6575881039E+00
    0.9000000000E+06    0.6797255225E+00    0.2857269904E-01    0.7177235016E-05    0.6576518080E+00
    0.1100000000E+07    0.6797784053E+00    0.2852164271E-01    0.6437238233E-05    0.6577020675E+00
    0.1300000000E+07    0.6798157499E+00    0.2847917698E-01    0.5880353990E-05    0.6577435984E+00
    0.1500000000E+07    0.6798436365E+00    0.2844283053E-01    0.5442122242E-05    0.6577789996E+00
    0.1700000000E+07    0.6798653219E+00    0.2841106476E-01    0.5085879710E-05    0.6578098571E+00
    0.1900000000E+07    0.6798827118E+00    0.2838285658E-01    0.4789048718E-05    0.6578372102E+00
    0.2100000000E+07    0.6798969981E+00    0.2835749120E-01    0.4536873434E-05    0.6578617775E+00
    0.2300000000E+07    0.6799089650E+00    0.2833444951E-01    0.4319253037E-05    0.6578840765E+00
    0.2500000000E+07    0.6799191510E+00    0.2831334265E-01    0.4129011836E-05    0.6579044926E+00
    0.2700000000E+07    0.6799279380E+00    0.2829387175E-01    0.3960894697E-05    0.6579233202E+00
    0.2900000000E+07    0.6799356049E+00    0.2827580222E-01    0.3810953965E-05    0.6579407898E+00
    0.3100000000E+07    0.6799423603E+00    0.2825894649E-01    0.3676159554E-05    0.6579570847E+00
    0.3300000000E+07    0.6799483634E+00    0.2824315226E-01    0.3554142221E-05    0.6579723536E+00
    0.3500000000E+07    0.6799537377E+00    0.2822829419E-01    0.3443019410E-05    0.6579867186E+00
    0.3700000000E+07    0.6799585810E+00    0.2821426788E-01    0.3341274044E-05    0.6580002809E+00
    0.3900000000E+07    0.6799629714E+00    0.2820098546E-01    0.3247668238E-05    0.6580131259E+00
    0.4100000000E+07    0.6799669721E+00    0.2818837225E-01    0.3161180652E-05    0.6580253258E+00
    0.4300000000E+07    0.6799706351E+00    0.2817636430E-01    0.3080960190E-05    0.6580369426E+00
    0.4500000000E+07    0.6799740032E+00    0.2816490638E-01    0.3006291233E-05    0.6580480296E+00
    0.4700000000E+07    0.6799771123E+00    0.2815395049E-01    0.2936567171E-05    0.6580586332E+00
    0.4900000000E+07    0.6799799925E+00    0.2814345463E-01    0.2871269982E-05    0.6580687939E+00
    0.1000000000E+07    0.6797544726E+00    0.2854588659E-01    0.6778550717E-05    0.6576782532E+00
    0.3000000000E+07    0.6799390857E+00    0.2826723286E-01    0.3741824679E-05    0.6579490741E+00
    0.5000000000E+07    0.6799813548E+00    0.2813836750E-01    0.2840139811E-05    0.6580737194E+00
    0.7000000000E+07    0.6800011455E+00    0.2805375939E-01    0.2368661856E-05    0.6581557364E+00
