     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.6332571235E-02    0.5269111409E-03    0.1933256687E-03    0.6840187029E-02
    0.3000000000E+01    0.1864345284E-01    0.1546662478E-02    0.5626828406E-03    0.2008030044E-01
    0.5000000000E+01    0.3050384545E-01    0.2523384126E-02    0.9103228940E-03    0.3276434154E-01
    0.7000000000E+01    0.4193830613E-01    0.3459745620E-02    0.1237737625E-02    0.4492675454E-01
    0.9000000000E+01    0.5296963332E-01    0.4358200090E-02    0.1546295699E-02    0.5659919375E-01
    0.1100000000E+02    0.6361902137E-01    0.5221005759E-02    0.1837254672E-02    0.6781080043E-01
    0.1300000000E+02    0.7390619913E-01    0.6050244919E-02    0.2111771650E-02    0.7858844746E-01
    0.1500000000E+02    0.8384955436E-01    0.6847840735E-02    0.2370912760E-02    0.8895695588E-01
    0.1700000000E+02    0.9346624582E-01    0.7615572165E-02    0.2615661594E-02    0.9893928711E-01
    0.1900000000E+02    0.1027723042E+00    0.8355087225E-02    0.2846926734E-02    0.1085567140E+00
    0.2100000000E+02    0.1117827234E+00    0.9067914819E-02    0.3065548490E-02    0.1178289731E+00
    0.2300000000E+02    0.1205115428E+00    0.9755475309E-02    0.3272304938E-02    0.1267744014E+00
    0.2500000000E+02    0.1289719225E+00    0.1041908998E-01    0.3467917334E-02    0.1354100578E+00
    0.2700000000E+02    0.1371762107E+00    0.1105998954E-01    0.3653054989E-02    0.1437518327E+00
    0.2900000000E+02    0.1451360056E+00    0.1167932173E-01    0.3828339660E-02    0.1518145465E+00
    0.3100000000E+02    0.1528622115E+00    0.1227815823E-01    0.3994349511E-02    0.1596120385E+00
    0.3300000000E+02    0.1603650901E+00    0.1285750082E-01    0.4151622694E-02    0.1671572460E+00
    0.3500000000E+02    0.1676543070E+00    0.1341828702E-01    0.4300660590E-02    0.1744622776E+00
    0.3700000000E+02    0.1747389746E+00    0.1396139516E-01    0.4441930745E-02    0.1815384777E+00
    0.3900000000E+02    0.1816276909E+00    0.1448764895E-01    0.4575869544E-02    0.1883964865E+00
    0.4100000000E+02    0.1883285759E+00    0.1499782169E-01    0.4702884632E-02    0.1950462934E+00
    0.4300000000E+02    0.1948493039E+00    0.1549264007E-01    0.4823357122E-02    0.2014972864E+00
    0.4500000000E+02    0.2011971338E+00    0.1597278761E-01    0.4937643612E-02    0.2077582965E+00
    0.4700000000E+02    0.2073789372E+00    0.1643890782E-01    0.5046078019E-02    0.2138376383E+00
    0.4900000000E+02    0.2134012237E+00    0.1689160711E-01    0.5148973258E-02    0.2197431476E+00
    0.1000000000E+02    0.5834080386E-01    0.4793924965E-02    0.1693900516E-02    0.6226087110E-01
    0.3000000000E+02    0.1490276513E+00    0.1198123776E-01    0.3912469405E-02    0.1557456164E+00
    0.5000000000E+02    0.2163544892E+00    0.1711310392E-01    0.5198436114E-02    0.2226330411E+00
    0.7000000000E+02    0.2683863369E+00    0.2096142053E-01    0.5959165775E-02    0.2728941336E+00
    0.9000000000E+02    0.3098437966E+00    0.2395445543E-01    0.6408097298E-02    0.3120649493E+00
    0.1100000000E+03    0.3436766902E+00    0.2634893759E-01    0.6664625758E-02    0.3434664429E+00
    0.1300000000E+03    0.3718252417E+00    0.2830814020E-01    0.6798974321E-02    0.3692121223E+00
    0.1500000000E+03    0.3956193108E+00    0.2994086867E-01    0.6854113975E-02    0.3907114031E+00
    0.1700000000E+03    0.4160017640E+00    0.3132243178E-01    0.6857191852E-02    0.4089404710E+00
    0.1900000000E+03    0.4336602370E+00    0.3250661506E-01    0.6825809787E-02    0.4245969962E+00
    0.2100000000E+03    0.4491083617E+00    0.3353286020E-01    0.6771625611E-02    0.4381929394E+00
    0.2300000000E+03    0.4627377431E+00    0.3443074973E-01    0.6702494947E-02    0.4501125499E+00
    0.2500000000E+03    0.4748523022E+00    0.3522290784E-01    0.6623784884E-02    0.4606498950E+00
    0.2700000000E+03    0.4856916033E+00    0.3592693359E-01    0.6539201461E-02    0.4700338815E+00
    0.2900000000E+03    0.4954470881E+00    0.3655672338E-01    0.6451323093E-02    0.4784453794E+00
    0.3100000000E+03    0.5042736180E+00    0.3712339654E-01    0.6361951497E-02    0.4860292116E+00
    0.3300000000E+03    0.5122978369E+00    0.3763595635E-01    0.6272346720E-02    0.4929027207E+00
    0.3500000000E+03    0.5196243336E+00    0.3810177083E-01    0.6183387063E-02    0.4991620012E+00
    0.3700000000E+03    0.5263402533E+00    0.3852692804E-01    0.6095679437E-02    0.5048865082E+00
    0.3900000000E+03    0.5325187957E+00    0.3891650261E-01    0.6009636467E-02    0.5101425153E+00
    0.4100000000E+03    0.5382219017E+00    0.3927475827E-01    0.5925530965E-02    0.5149857435E+00
    0.4300000000E+03    0.5435023412E+00    0.3960530367E-01    0.5843534788E-02    0.5194633850E+00
    0.4500000000E+03    0.5484053519E+00    0.3991121361E-01    0.5763746797E-02    0.5236156776E+00
    0.4700000000E+03    0.5529699379E+00    0.4019512427E-01    0.5686213122E-02    0.5274771424E+00
    0.4900000000E+03    0.5572299093E+00    0.4045930876E-01    0.5610941940E-02    0.5310775663E+00
    0.1000000000E+03    0.3275742221E+00    0.2521469799E-01    0.6555197849E-02    0.3285839203E+00
    0.3000000000E+03    0.4999679769E+00    0.3684734360E-01    0.6406734666E-02    0.4823328581E+00
    0.5000000000E+03    0.5592550190E+00    0.4058462989E-01    0.5574149692E-02    0.5327880984E+00
    0.7000000000E+03    0.5892416265E+00    0.4241891014E-01    0.4945424263E-02    0.5580665001E+00
    0.9000000000E+03    0.6073289786E+00    0.4350310527E-01    0.4476025728E-02    0.5733160964E+00
    0.1100000000E+04    0.6194205201E+00    0.4421573923E-01    0.4113003144E-02    0.5835463498E+00
    0.1300000000E+04    0.6280707902E+00    0.4471761809E-01    0.3822751163E-02    0.5909003575E+00
    0.1500000000E+04    0.6345644844E+00    0.4508864498E-01    0.3584299380E-02    0.5964503665E+00
    0.1700000000E+04    0.6396179828E+00    0.4537298710E-01    0.3384087132E-02    0.6007931286E+00
    0.1900000000E+04    0.6436621901E+00    0.4559702722E-01    0.3212986222E-02    0.6042875320E+00
    0.2100000000E+04    0.6469717957E+00    0.4577748506E-01    0.3064624579E-02    0.6071625585E+00
    0.2300000000E+04    0.6497301531E+00    0.4592546276E-01    0.2934411971E-02    0.6095712834E+00
    0.2500000000E+04    0.6520643142E+00    0.4604861630E-01    0.2818951416E-02    0.6116199794E+00
    0.2700000000E+04    0.6540650906E+00    0.4615239289E-01    0.2715670133E-02    0.6133847696E+00
    0.2900000000E+04    0.6557991107E+00    0.4624077146E-01    0.2622580203E-02    0.6149216334E+00
    0.3100000000E+04    0.6573163644E+00    0.4631672436E-01    0.2538118648E-02    0.6162726712E+00
    0.3300000000E+04    0.6586550900E+00    0.4638251544E-01    0.2461037702E-02    0.6174701647E+00
    0.3500000000E+04    0.6598450347E+00    0.4643989828E-01    0.2390327728E-02    0.6185392887E+00
    0.3700000000E+04    0.6609096868E+00    0.4649025156E-01    0.2325161934E-02    0.6194999697E+00
    0.3900000000E+04    0.6618678391E+00    0.4653467358E-01    0.2264855971E-02    0.6203681897E+00
    0.4100000000E+04    0.6627347062E+00    0.4657404963E-01    0.2208837917E-02    0.6211569189E+00
