pressure,muc,muc_err,molkg,molkg_err,_
10,0.0002537500,0.0000153071,0.0000439920,0.0000026537,
50,0.0013051786,0.0000920828,0.0002262756,0.0000159642,
1e2,0.0026610714,0.0001353595,0.0004613433,0.0000234669,
5e2,0.0135176786,0.0003853030,0.0023435262,0.0000667990,
1e3,0.0274032143,0.0005697726,0.0047508269,0.0000987801,
5e3,0.1351203571,0.0025395222,0.0234254792,0.0004402706,
1e4,0.2604639286,0.0027586065,0.0451559814,0.0004782527,
5e4,1.0562528571,0.0191445408,0.1831199225,0.0033190413,
1e5,1.7091153571,0.0296943486,0.2963050653,0.0051480351,
5e5,3.1730123214,0.0255997106,0.5500972296,0.0044381579,
1e6,3.5145253571,0.0084624594,0.6093044925,0.0014671155,
5e6,3.8426883929,0.0065919658,0.6661972993,0.0011428327,
1e7,3.8950653571,0.0074456591,0.6752777629,0.0012908353,
5e7,3.9787946429,0.0029541468,0.6897937003,0.0005121531,
1e8,3.9969142857,0.0020115850,0.6929350575,0.0003487435,
5e8,7.9958101786,0.0070480691,1.3862136614,0.0012219062,
1e9,8.0000000000,0.0000000000,1.3869400402,0.0000000000,
5e9,8.1250000000,0.0000000000,1.4086109784,0.0000000000,
1e10,8.6250000000,0.0000000000,1.4952947309,0.0000000000,
5e10,8.6652480357,0.0716886694,1.5022724324,0.0124284857,
1e11,8.6250000000,0.0000000000,1.4952947309,0.0000000000,
5e11,9.0000000000,0.0000000000,1.5603075453,0.0000000000,
1e12,8.6250000000,0.0000000000,1.4952947309,0.0000000000,
