     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.5282468981E-03    0.7093231791E-02    0.5565265168E-03    0.6788803208E-02
    0.3000000000E+01    0.1558442928E-02    0.2048460599E-01    0.1641889047E-02    0.1964639953E-01
    0.5000000000E+01    0.2555438806E-02    0.3290943188E-01    0.2692292906E-02    0.3163123100E-01
    0.7000000000E+01    0.3521301195E-02    0.4446641459E-01    0.3709913970E-02    0.4283496069E-01
    0.9000000000E+01    0.4457921718E-02    0.5524110122E-01    0.4696743839E-02    0.5333666779E-01
    0.1100000000E+02    0.5367035376E-02    0.6530802877E-01    0.5654609221E-02    0.6320494564E-01
    0.1300000000E+02    0.6250236670E-02    0.7473246102E-01    0.6585188915E-02    0.7249959271E-01
    0.1500000000E+02    0.7108993761E-02    0.8357180366E-01    0.7490028707E-02    0.8127298596E-01
    0.1700000000E+02    0.7944660938E-02    0.9187676571E-01    0.8370554500E-02    0.8957120401E-01
    0.1900000000E+02    0.8758489623E-02    0.9969231901E-01    0.9228083902E-02    0.9743495185E-01
    0.2100000000E+02    0.9551638122E-02    0.1070584958E+00    0.1006383648E-01    0.1049003269E+00
    0.2300000000E+02    0.1032518027E-01    0.1140110559E+00    0.1087894289E-01    0.1119994572E+00
    0.2500000000E+02    0.1108011313E-01    0.1205820472E+00    0.1167445293E-01    0.1187610363E+00
    0.2700000000E+02    0.1181736386E-01    0.1268002797E+00    0.1245134282E-01    0.1252107733E+00
    0.2900000000E+02    0.1253779582E-01    0.1326917284E+00    0.1321052161E-01    0.1313717743E+00
    0.3100000000E+02    0.1324221411E-01    0.1382798762E+00    0.1395283701E-01    0.1372648658E+00
    0.3300000000E+02    0.1393137045E-01    0.1435860082E+00    0.1467908054E-01    0.1429088718E+00
    0.3500000000E+02    0.1460596766E-01    0.1486294655E+00    0.1538999220E-01    0.1483208505E+00
    0.3700000000E+02    0.1526666361E-01    0.1534278630E+00    0.1608626471E-01    0.1535162984E+00
    0.3900000000E+02    0.1591407485E-01    0.1579972797E+00    0.1676854726E-01    0.1585093270E+00
    0.4100000000E+02    0.1654877989E-01    0.1623524232E+00    0.1743744900E-01    0.1633128152E+00
    0.4300000000E+02    0.1717132210E-01    0.1665067740E+00    0.1809354207E-01    0.1679385424E+00
    0.4500000000E+02    0.1778221244E-01    0.1704727113E+00    0.1873736450E-01    0.1723973047E+00
    0.4700000000E+02    0.1838193188E-01    0.1742616242E+00    0.1936942272E-01    0.1766990163E+00
    0.4900000000E+02    0.1897093359E-01    0.1778840085E+00    0.1999019393E-01    0.1808527987E+00
    0.1000000000E+02    0.4915814131E-02    0.6035875652E-01    0.5179188883E-02    0.5834605930E-01
    0.3000000000E+02    0.1289195850E-01    0.1355223362E+00    0.1358373651E-01    0.1343505883E+00
    0.5000000000E+02    0.1926154982E-01    0.1796358098E+00    0.2029648856E-01    0.1828768697E+00
    0.7000000000E+02    0.2460315696E-01    0.2079263608E+00    0.2592664935E-01    0.2173205185E+00
    0.9000000000E+02    0.2923761462E-01    0.2270971218E+00    0.3081205961E-01    0.2434763672E+00
    0.1100000000E+03    0.3335886958E-01    0.2405652812E+00    0.3515695575E-01    0.2642850260E+00
    0.1300000000E+03    0.3709200896E-01    0.2502538668E+00    0.3909306660E-01    0.2814096502E+00
    0.1500000000E+03    0.4052188385E-01    0.2573254230E+00    0.4270975184E-01    0.2958680592E+00
    0.1700000000E+03    0.4370842700E-01    0.2625221389E+00    0.4607013083E-01    0.3083216772E+00
    0.1900000000E+03    0.4669539654E-01    0.2663386631E+00    0.4922028971E-01    0.3192211335E+00
    0.2100000000E+03    0.4951563638E-01    0.2691163524E+00    0.5219482067E-01    0.3288853975E+00
    0.2300000000E+03    0.5219438186E-01    0.2710976632E+00    0.5502030298E-01    0.3375474727E+00
    0.2500000000E+03    0.5475141502E-01    0.2724590300E+00    0.5771757264E-01    0.3453821236E+00
    0.2700000000E+03    0.5720251465E-01    0.2733315235E+00    0.6030324950E-01    0.3525234116E+00
    0.2900000000E+03    0.5956045902E-01    0.2738142651E+00    0.6279079315E-01    0.3590761833E+00
    0.3100000000E+03    0.6183573586E-01    0.2739833861E+00    0.6519125072E-01    0.3651238267E+00
    0.3300000000E+03    0.6403705576E-01    0.2738981620E+00    0.6751379753E-01    0.3707336484E+00
    0.3500000000E+03    0.6617173050E-01    0.2736053026E+00    0.6976613559E-01    0.3759606868E+00
    0.3700000000E+03    0.6824595644E-01    0.2731420120E+00    0.7195479201E-01    0.3808504732E+00
    0.3900000000E+03    0.7026503009E-01    0.2725382072E+00    0.7408534610E-01    0.3854410665E+00
    0.4100000000E+03    0.7223351427E-01    0.2718181528E+00    0.7616260432E-01    0.3897645783E+00
    0.4300000000E+03    0.7415536782E-01    0.2710016815E+00    0.7819073695E-01    0.3938483317E+00
    0.4500000000E+03    0.7603404795E-01    0.2701051168E+00    0.8017338590E-01    0.3977157544E+00
    0.4700000000E+03    0.7787259197E-01    0.2691419792E+00    0.8211375070E-01    0.4013870757E+00
    0.4900000000E+03    0.7967368294E-01    0.2681235317E+00    0.8401465779E-01    0.4048798748E+00
    0.1000000000E+03    0.3135338541E-01    0.2344002146E+00    0.3304258679E-01    0.2544250720E+00
    0.3000000000E+03    0.6070784980E-01    0.2739339859E+00    0.6400129561E-01    0.3621586133E+00
    0.5000000000E+03    0.8056093850E-01    0.2675965758E+00    0.8495110998E-01    0.4065642070E+00
    0.7000000000E+03    0.9679972126E-01    0.2557834867E+00    0.1020931563E+00    0.4337643983E+00
    0.9000000000E+03    0.1109235484E+00    0.2435195692E+00    0.1170068837E+00    0.4530416503E+00
    0.1100000000E+04    0.1235567872E+00    0.2318639653E+00    0.1303499853E+00    0.4677981797E+00
    0.1300000000E+04    0.1350285552E+00    0.2210458468E+00    0.1424691106E+00    0.4796491222E+00
    0.1500000000E+04    0.1455398533E+00    0.2110731347E+00    0.1535759425E+00    0.4894845488E+00
    0.1700000000E+04    0.1552269116E+00    0.2018909148E+00    0.1638139359E+00    0.4978454458E+00
    0.1900000000E+04    0.1641895529E+00    0.1934294758E+00    0.1732882002E+00    0.5050843172E+00
    0.2100000000E+04    0.1725054045E+00    0.1856198178E+00    0.1820804717E+00    0.5114431329E+00
    0.2300000000E+04    0.1802376199E+00    0.1783984515E+00    0.1902572481E+00    0.5170948564E+00
    0.2500000000E+04    0.1874393427E+00    0.1717084707E+00    0.1978744913E+00    0.5221672021E+00
    0.2700000000E+04    0.1941564218E+00    0.1654993306E+00    0.2049804855E+00    0.5267570146E+00
    0.2900000000E+04    0.2004291366E+00    0.1597262249E+00    0.2116176548E+00    0.5309393792E+00
    0.3100000000E+04    0.2062933384E+00    0.1543493898E+00    0.2178237642E+00    0.5347736178E+00
    0.3300000000E+04    0.2117812374E+00    0.1493334534E+00    0.2236327477E+00    0.5383073622E+00
    0.3500000000E+04    0.2169219656E+00    0.1446468628E+00    0.2290753012E+00    0.5415793995E+00
    0.3700000000E+04    0.2217419971E+00    0.1402613921E+00    0.2341793233E+00    0.5446217058E+00
    0.3900000000E+04    0.2262654724E+00    0.1361517243E+00    0.2389702572E+00    0.5474609312E+00
    0.4100000000E+04    0.2305144581E+00    0.1322950946E+00    0.2434713634E+00    0.5501195033E+00
    0.4300000000E+04    0.2345091618E+00    0.1286709867E+00    0.2477039457E+00    0.5526164616E+00
    0.4500000000E+04    0.2382681137E+00    0.1252608721E+00    0.2516875418E+00    0.5549680965E+00
    0.4700000000E+04    0.2418083234E+00    0.1220479854E+00    0.2554400886E+00    0.5571884457E+00
    0.4900000000E+04    0.2451454185E+00    0.1190171295E+00    0.2589780672E+00    0.5592896847E+00
    0.1000000000E+04    0.1174017628E+00    0.2375928702E+00    0.1238487160E+00    0.4608600423E+00
    0.3000000000E+04    0.2034102106E+00    0.1569905800E+00    0.2147723891E+00    0.5328968014E+00
