     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2648306962E-02    0.1566834321E-02    0.2790083549E-03    0.1683381300E-01
    0.3000000000E+01    0.7853281564E-02    0.4474834783E-02    0.8273781402E-03    0.4797212859E-01
    0.5000000000E+01    0.1294005238E-01    0.7116971970E-02    0.1363304467E-02    0.7614442274E-01
    0.7000000000E+01    0.1791317760E-01    0.9528496299E-02    0.1887267093E-02    0.1017596672E+00
    0.9000000000E+01    0.2277697844E-01    0.1173845954E-01    0.2399720837E-02    0.1251547443E+00
    0.1100000000E+02    0.2753555431E-01    0.1377103560E-01    0.2901097173E-02    0.1466096734E+00
    0.1300000000E+02    0.3219279679E-01    0.1564651697E-01    0.3391805703E-02    0.1663591337E+00
    0.1500000000E+02    0.3675240262E-01    0.1738207594E-01    0.3872235525E-02    0.1846012932E+00
    0.1700000000E+02    0.4121788572E-01    0.1899235291E-01    0.4342756496E-02    0.2015046510E+00
    0.1900000000E+02    0.4559258833E-01    0.2048991583E-01    0.4803720403E-02    0.2172133968E+00
    0.2100000000E+02    0.4987969135E-01    0.2188562266E-01    0.5255462055E-02    0.2318516476E+00
    0.2300000000E+02    0.5408222393E-01    0.2318890978E-01    0.5698300291E-02    0.2455268280E+00
    0.2500000000E+02    0.5820307245E-01    0.2440802352E-01    0.6132538920E-02    0.2583323901E+00
    0.2700000000E+02    0.6224498878E-01    0.2555020747E-01    0.6558467599E-02    0.2703500167E+00
    0.2900000000E+02    0.6621059806E-01    0.2662185515E-01    0.6976362645E-02    0.2816514212E+00
    0.3100000000E+02    0.7010240593E-01    0.2762863523E-01    0.7386487797E-02    0.2922998263E+00
    0.3300000000E+02    0.7392280519E-01    0.2857559505E-01    0.7789094922E-02    0.3023511868E+00
    0.3500000000E+02    0.7767408217E-01    0.2946724655E-01    0.8184424676E-02    0.3118552070E+00
    0.3700000000E+02    0.8135842256E-01    0.3030763816E-01    0.8572707126E-02    0.3208561918E+00
    0.3900000000E+02    0.8497791690E-01    0.3110041520E-01    0.8954162323E-02    0.3293937617E+00
    0.4100000000E+02    0.8853456570E-01    0.3184887087E-01    0.9329000845E-02    0.3375034582E+00
    0.4300000000E+02    0.9203028429E-01    0.3255598955E-01    0.9697424303E-02    0.3452172560E+00
    0.4500000000E+02    0.9546690730E-01    0.3322448377E-01    0.1005962581E-01    0.3525640012E+00
    0.4700000000E+02    0.9884619288E-01    0.3385682580E-01    0.1041579044E-01    0.3595697856E+00
    0.4900000000E+02    0.1021698267E+00    0.3445527486E-01    0.1076609563E-01    0.3662582686E+00
    0.1000000000E+02    0.2516917156E-01    0.1277557161E-01    0.2651767585E-02    0.1361091118E+00
    0.3000000000E+02    0.6816557505E-01    0.2713302470E-01    0.7182380446E-02    0.2870535940E+00
