     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3160537598E-02    0.6323081773E-02    0.3699718007E-03    0.3414479272E-02
    0.3000000000E+01    0.9273774783E-02    0.1835779253E-01    0.1085602121E-02    0.9992694514E-02
    0.5000000000E+01    0.1512838845E-01    0.2963606427E-01    0.1770977890E-02    0.1625821904E-01
    0.7000000000E+01    0.2074448874E-01    0.4022169868E-01    0.2428451340E-02    0.2223468033E-01
    0.9000000000E+01    0.2614008701E-01    0.5017165755E-01    0.3060129240E-02    0.2794334189E-01
    0.1100000000E+02    0.3133136432E-01    0.5953694723E-01    0.3667904283E-02    0.3340339346E-01
    0.1300000000E+02    0.3633289960E-01    0.6836337005E-01    0.4253481784E-02    0.3863219946E-01
    0.1500000000E+02    0.4115786455E-01    0.7669216532E-01    0.4818402465E-02    0.4364551244E-01
    0.1700000000E+02    0.4581819065E-01    0.8456055851E-01    0.5364061991E-02    0.4845765711E-01
    0.1900000000E+02    0.5032471297E-01    0.9200223333E-01    0.5891727785E-02    0.5308168974E-01
    0.2100000000E+02    0.5468729430E-01    0.9904773909E-01    0.6402553551E-02    0.5752953650E-01
    0.2300000000E+02    0.5891493278E-01    0.1057248435E+00    0.6897591860E-02    0.6181211412E-01
    0.2500000000E+02    0.6301585557E-01    0.1120588391E+00    0.7377805100E-02    0.6593943528E-01
    0.2700000000E+02    0.6699760044E-01    0.1180728102E+00    0.7844075030E-02    0.6992070107E-01
    0.2900000000E+02    0.7086708730E-01    0.1237878663E+00    0.8297211132E-02    0.7376438227E-01
    0.3100000000E+02    0.7463068090E-01    0.1292233468E+00    0.8737957959E-02    0.7747829101E-01
    0.3300000000E+02    0.7829424607E-01    0.1343970006E+00    0.9167001583E-02    0.8106964413E-01
    0.3500000000E+02    0.8186319643E-01    0.1393251447E+00    0.9584975299E-02    0.8454511936E-01
    0.3700000000E+02    0.8534253752E-01    0.1440228041E+00    0.9992464670E-02    0.8791090516E-01
    0.3900000000E+02    0.8873690502E-01    0.1485038360E+00    0.1039001199E-01    0.9117274518E-01
    0.4100000000E+02    0.9205059877E-01    0.1527810396E+00    0.1077812028E-01    0.9433597791E-01
    0.4300000000E+02    0.9528761308E-01    0.1568662541E+00    0.1115725682E-01    0.9740557213E-01
    0.4500000000E+02    0.9845166379E-01    0.1607704464E+00    0.1152785629E-01    0.1003861587E+00
    0.4700000000E+02    0.1015462125E+00    0.1645037883E+00    0.1189032366E-01    0.1032820591E+00
    0.4900000000E+02    0.1045744881E+00    0.1680757271E+00    0.1224503669E-01    0.1060973112E+00
    0.1000000000E+02    0.2876031949E-01    0.5492440943E-01    0.3366893929E-02    0.3070331852E-01
    0.3000000000E+02    0.7276174309E-01    0.1265394089E+00    0.8519089025E-02    0.7563709388E-01
    0.5000000000E+02    0.1060647239E+00    0.1698039400E+00    0.1241959651E-01    0.1074758841E+00
