     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)
    0.1000000000E+01    0.1063888744E-02    0.9456680372E-02
    0.3000000000E+01    0.3181711571E-02    0.2760240822E-01
    0.5000000000E+01    0.5286364687E-02    0.4479203660E-01
    0.7000000000E+01    0.7377970558E-02    0.6109919126E-01
    0.9000000000E+01    0.9456650134E-02    0.7659012760E-01
    0.1100000000E+02    0.1152252288E-01    0.9132463041E-01
    0.1300000000E+02    0.1357570678E-01    0.1053567850E+00
    0.1500000000E+02    0.1561631838E-01    0.1187356405E+00
    0.1700000000E+02    0.1764447282E-01    0.1315057828E+00
    0.1900000000E+02    0.1966028381E-01    0.1437078308E+00
    0.2100000000E+02    0.2166386369E-01    0.1553788682E+00
    0.2300000000E+02    0.2365532346E-01    0.1665528197E+00
    0.2500000000E+02    0.2563477275E-01    0.1772607805E+00
    0.2700000000E+02    0.2760231989E-01    0.1875313053E+00
    0.2900000000E+02    0.2955807191E-01    0.1973906623E+00
    0.3100000000E+02    0.3150213456E-01    0.2068630580E+00
    0.3300000000E+02    0.3343461233E-01    0.2159708350E+00
    0.3500000000E+02    0.3535560845E-01    0.2247346488E+00
    0.3700000000E+02    0.3726522496E-01    0.2331736232E+00
    0.3900000000E+02    0.3916356267E-01    0.2413054904E+00
    0.4100000000E+02    0.4105072122E-01    0.2491467149E+00
    0.4300000000E+02    0.4292679905E-01    0.2567126051E+00
    0.4500000000E+02    0.4479189348E-01    0.2640174128E+00
    0.4700000000E+02    0.4664610069E-01    0.2710744228E+00
    0.4900000000E+02    0.4848951572E-01    0.2778960338E+00
    0.1000000000E+02    0.1049117995E-01    0.8404842753E-01
    0.3000000000E+02    0.3053155785E-01    0.2021737924E+00
    0.5000000000E+02    0.4940720557E-01    0.2812222148E+00
    0.7000000000E+02    0.6721679569E-01    0.3378321360E+00
    0.9000000000E+02    0.8404816113E-01    0.3803701139E+00
    0.1100000000E+03    0.9997974385E-01    0.4135030560E+00
    0.1300000000E+03    0.1150818173E+00    0.4400396142E+00
    0.1500000000E+03    0.1294175228E+00    0.4617713456E+00
    0.1700000000E+03    0.1430437519E+00    0.4798948912E+00
    0.1900000000E+03    0.1560119009E+00    0.4952399871E+00
    0.2100000000E+03    0.1683685188E+00    0.5084000745E+00
    0.2300000000E+03    0.1801558657E+00    0.5198108253E+00
    0.2500000000E+03    0.1914123952E+00    0.5297993040E+00
    0.2700000000E+03    0.2021731742E+00    0.5386158256E+00
    0.2900000000E+03    0.2124702471E+00    0.5464552208E+00
    0.3100000000E+03    0.2223329550E+00    0.5534714016E+00
    0.3300000000E+03    0.2317882145E+00    0.5597875681E+00
    0.3500000000E+03    0.2408607635E+00    0.5655035048E+00
    0.3700000000E+03    0.2495733769E+00    0.5707008911E+00
    0.3900000000E+03    0.2579470577E+00    0.5754472296E+00
    0.4100000000E+03    0.2660012059E+00    0.5797987940E+00
    0.4300000000E+03    0.2737537688E+00    0.5838028704E+00
    0.4500000000E+03    0.2812213742E+00    0.5874994832E+00
    0.4700000000E+03    0.2884194496E+00    0.5909227370E+00
    0.4900000000E+03    0.2953623287E+00    0.5941018725E+00
    0.1000000000E+03    0.9212185476E-01    0.3979058619E+00
    0.3000000000E+03    0.2174541606E+00    0.5500578902E+00
    0.5000000000E+03    0.2987422735E+00    0.5956079133E+00
    0.7000000000E+03    0.3557333888E+00    0.6175237388E+00
    0.9000000000E+03    0.3979046913E+00    0.6304106593E+00
    0.1100000000E+04    0.4303716313E+00    0.6388952561E+00
    0.1300000000E+04    0.4561382811E+00    0.6449042634E+00
    0.1500000000E+04    0.4770847719E+00    0.6493832132E+00
    0.1700000000E+04    0.4944479716E+00    0.6528504998E+00
    0.1900000000E+04    0.5090749133E+00    0.6556141002E+00
    0.2100000000E+04    0.5215651625E+00    0.6578684993E+00
    0.2300000000E+04    0.5323550399E+00    0.6597425588E+00
    0.2500000000E+04    0.5417696395E+00    0.6613250421E+00
    0.2700000000E+04    0.5500561473E+00    0.6626790853E+00
    0.2900000000E+04    0.5574058605E+00    0.6638508237E+00
    0.3100000000E+04    0.5639691375E+00    0.6648747527E+00
    0.3300000000E+04    0.5698657939E+00    0.6657771814E+00
    0.3500000000E+04    0.5751924823E+00    0.6665785247E+00
    0.3700000000E+04    0.5800280322E+00    0.6672948665E+00
    0.3900000000E+04    0.5844373769E+00    0.6679390502E+00
    0.4100000000E+04    0.5884744864E+00    0.6685214562E+00
    0.4300000000E+04    0.5921845876E+00    0.6690505645E+00
    0.4500000000E+04    0.5956058658E+00    0.6695333714E+00
    0.4700000000E+04    0.5987707837E+00    0.6699756996E+00
    0.4900000000E+04    0.6017071148E+00    0.6703824351E+00
    0.1000000000E+04    0.4151290699E+00    0.6350490933E+00
    0.3000000000E+04    0.5607776976E+00    0.6643794594E+00
    0.5000000000E+04    0.6030971619E+00    0.6705737717E+00
    0.7000000000E+04    0.6232547136E+00    0.6732640144E+00
    0.9000000000E+04    0.6350465951E+00    0.6747679627E+00
    0.1100000000E+05    0.6427856613E+00    0.6757285379E+00
    0.1300000000E+05    0.6482549066E+00    0.6763951651E+00
    0.1500000000E+05    0.6523252050E+00    0.6768848690E+00
    0.1700000000E+05    0.6554724368E+00    0.6772598331E+00
    0.1900000000E+05    0.6579786234E+00    0.6775561556E+00
    0.2100000000E+05    0.6600215186E+00    0.6777962296E+00
    0.2300000000E+05    0.6617187180E+00    0.6779946832E+00
    0.2500000000E+05    0.6631511234E+00    0.6781614769E+00
    0.2700000000E+05    0.6643762191E+00    0.6783036275E+00
    0.2900000000E+05    0.6654359732E+00    0.6784262212E+00
    0.3100000000E+05    0.6663617420E+00    0.6785330342E+00
    0.3300000000E+05    0.6671774241E+00    0.6786269297E+00
    0.3500000000E+05    0.6679015537E+00    0.6787101174E+00
    0.3700000000E+05    0.6685487255E+00    0.6787843304E+00
    0.3900000000E+05    0.6691305885E+00    0.6788509469E+00
    0.4100000000E+05    0.6696565536E+00    0.6789110765E+00
    0.4300000000E+05    0.6701343065E+00    0.6789656229E+00
    0.4500000000E+05    0.6705701856E+00    0.6790153292E+00
    0.4700000000E+05    0.6709694650E+00    0.6790608125E+00
    0.4900000000E+05    0.6713365686E+00    0.6791025890E+00
    0.1000000000E+05    0.6392798675E+00    0.6752959391E+00
    0.3000000000E+05    0.6659139658E+00    0.6784814035E+00
    0.5000000000E+05    0.6715092458E+00    0.6791222260E+00
    0.7000000000E+05    0.6739360682E+00    0.6793972889E+00
    0.9000000000E+05    0.6752918724E+00    0.6795502293E+00
    0.1100000000E+06    0.6761574840E+00    0.6796476116E+00
    0.1300000000E+06    0.6767580427E+00    0.6797150614E+00
    0.1500000000E+06    0.6771991217E+00    0.6797645443E+00
