# pressure,temperature,molkg
1.000000000000000021e-02,4.000000000000000000e+02,1.043299999999999989e-05
5.000000000000000278e-02,4.000000000000000000e+02,5.108150000000000212e-05
1.000000000000000056e-01,4.000000000000000000e+02,1.033393999999999952e-04
5.000000000000000000e-01,4.000000000000000000e+02,5.108458999999999873e-04
1.000000000000000000e+00,4.000000000000000000e+02,1.054229199999999912e-03
5.000000000000000000e+00,4.000000000000000000e+02,5.202944600000000350e-03
1.000000000000000000e+01,4.000000000000000000e+02,1.046084050000000050e-02
5.000000000000000000e+01,4.000000000000000000e+02,5.074237780000000198e-02
1.000000000000000000e+02,4.000000000000000000e+02,9.607330560000000574e-02
5.000000000000000000e+02,4.000000000000000000e+02,3.379199534999999810e-01
1.000000000000000000e+03,4.000000000000000000e+02,4.616618771000000065e-01
5.000000000000000000e+03,4.000000000000000000e+02,6.343329709999999677e-01
1.000000000000000000e+04,4.000000000000000000e+02,6.625606992000000472e-01
5.000000000000000000e+04,4.000000000000000000e+02,6.873168049000000224e-01
1.000000000000000000e+05,4.000000000000000000e+02,6.905432051000000016e-01
5.000000000000000000e+05,4.000000000000000000e+02,6.924091658000000038e-01
1.000000000000000000e+06,4.000000000000000000e+02,6.921652749000000160e-01
5.000000000000000000e+06,4.000000000000000000e+02,6.926411067000000088e-01
1.000000000000000000e+07,4.000000000000000000e+02,6.928414080999999447e-01
5.000000000000000000e+07,4.000000000000000000e+02,6.933944505000000369e-01
1.000000000000000000e+08,4.000000000000000000e+02,6.934578224999999874e-01
