# pressure,temperature,molkg
1.000000000000000021e-02,3.000000000000000000e+02,1.065810789999999987e-02
5.000000000000000278e-02,3.000000000000000000e+02,5.249515419999999793e-02
1.000000000000000056e-01,3.000000000000000000e+02,1.022853729000000045e-01
5.000000000000000000e-01,3.000000000000000000e+02,3.568206026999999891e-01
1.000000000000000000e+00,3.000000000000000000e+02,4.845345925999999803e-01
5.000000000000000000e+00,3.000000000000000000e+02,6.441674594999999837e-01
1.000000000000000000e+01,3.000000000000000000e+02,6.694467016999999798e-01
5.000000000000000000e+01,3.000000000000000000e+02,6.880896214999999705e-01
1.000000000000000000e+02,3.000000000000000000e+02,6.908962866000000203e-01
5.000000000000000000e+02,3.000000000000000000e+02,6.929925783999999478e-01
1.000000000000000000e+03,3.000000000000000000e+02,6.930951129000000321e-01
5.000000000000000000e+03,3.000000000000000000e+02,6.934470798999999852e-01
1.000000000000000000e+04,3.000000000000000000e+02,6.934597419000000373e-01
5.000000000000000000e+04,3.000000000000000000e+02,6.934680387999999640e-01
1.000000000000000000e+05,3.000000000000000000e+02,6.934584107000000275e-01
5.000000000000000000e+05,3.000000000000000000e+02,6.934259971999999772e-01
1.000000000000000000e+06,3.000000000000000000e+02,6.934531787000000058e-01
5.000000000000000000e+06,3.000000000000000000e+02,6.934476062000000107e-01
1.000000000000000000e+07,3.000000000000000000e+02,6.934480085999999988e-01
5.000000000000000000e+07,3.000000000000000000e+02,6.934661503000000282e-01
1.000000000000000000e+08,3.000000000000000000e+02,6.934700201000000286e-01
