# pressure,temperature,molkg
1.000000000000000021e-02,6.500000000000000000e+02,0.000000000000000000e+00
5.000000000000000278e-02,6.500000000000000000e+02,3.099999999999999966e-08
1.000000000000000056e-01,6.500000000000000000e+02,1.858000000000000094e-07
5.000000000000000000e-01,6.500000000000000000e+02,7.430000000000000225e-07
1.000000000000000000e+00,6.500000000000000000e+02,6.501000000000000310e-07
5.000000000000000000e+00,6.500000000000000000e+02,6.222699999999999731e-06
1.000000000000000000e+01,6.500000000000000000e+02,1.126889999999999980e-05
5.000000000000000000e+01,6.500000000000000000e+02,6.012139999999999666e-05
1.000000000000000000e+02,6.500000000000000000e+02,1.216049000000000052e-04
5.000000000000000000e+02,6.500000000000000000e+02,6.085509000000000014e-04
1.000000000000000000e+03,6.500000000000000000e+02,1.200631900000000054e-03
5.000000000000000000e+03,6.500000000000000000e+02,6.063559399999999752e-03
1.000000000000000000e+04,6.500000000000000000e+02,1.214838740000000021e-02
5.000000000000000000e+04,6.500000000000000000e+02,5.769299070000000196e-02
1.000000000000000000e+05,6.500000000000000000e+02,1.077160791000000006e-01
5.000000000000000000e+05,6.500000000000000000e+02,3.414594678000000272e-01
1.000000000000000000e+06,6.500000000000000000e+02,4.524508924999999793e-01
5.000000000000000000e+06,6.500000000000000000e+02,6.136148112000000543e-01
1.000000000000000000e+07,6.500000000000000000e+02,6.408430136999999638e-01
5.000000000000000000e+07,6.500000000000000000e+02,6.820070226000000124e-01
1.000000000000000000e+08,6.500000000000000000e+02,6.913263618999999638e-01
