# pressure,temperature,molkg
1.000000000000000021e-02,4.500000000000000000e+02,5.975000000000000391e-06
5.000000000000000278e-02,4.500000000000000000e+02,2.841989999999999873e-05
1.000000000000000056e-01,4.500000000000000000e+02,5.965700000000000159e-05
5.000000000000000000e-01,4.500000000000000000e+02,3.107302999999999953e-04
1.000000000000000000e+00,4.500000000000000000e+02,6.015232999999999604e-04
5.000000000000000000e+00,4.500000000000000000e+02,3.098077299999999965e-03
1.000000000000000000e+01,4.500000000000000000e+02,6.234635999999999997e-03
5.000000000000000000e+01,4.500000000000000000e+02,3.068214760000000096e-02
1.000000000000000000e+02,4.500000000000000000e+02,5.862518149999999817e-02
5.000000000000000000e+02,4.500000000000000000e+02,2.379994991000000115e-01
1.000000000000000000e+03,4.500000000000000000e+02,3.679162469000000213e-01
5.000000000000000000e+03,4.500000000000000000e+02,6.007643782999999571e-01
1.000000000000000000e+04,4.500000000000000000e+02,6.445744087000000455e-01
5.000000000000000000e+04,4.500000000000000000e+02,6.833473701000000178e-01
1.000000000000000000e+05,4.500000000000000000e+02,6.882055919999999771e-01
5.000000000000000000e+05,4.500000000000000000e+02,6.928667630999999494e-01
1.000000000000000000e+06,4.500000000000000000e+02,6.929900707999999687e-01
5.000000000000000000e+06,4.500000000000000000e+02,6.930897570999999813e-01
1.000000000000000000e+07,4.500000000000000000e+02,6.931782673999999922e-01
5.000000000000000000e+07,4.500000000000000000e+02,6.964387529000000132e-01
1.000000000000000000e+08,4.500000000000000000e+02,7.122339256999999924e-01
