# pressure,temperature,molkg
1.000000000000000021e-02,4.000000000000000000e+02,7.386689999999999576e-05
5.000000000000000278e-02,4.000000000000000000e+02,3.838232999999999814e-04
1.000000000000000056e-01,4.000000000000000000e+02,7.963450999999999863e-04
5.000000000000000000e-01,4.000000000000000000e+02,3.979713000000000174e-03
1.000000000000000000e+00,4.000000000000000000e+02,7.990879799999999616e-03
5.000000000000000000e+00,4.000000000000000000e+02,3.918749550000000248e-02
1.000000000000000000e+01,4.000000000000000000e+02,7.666227479999999928e-02
5.000000000000000000e+01,4.000000000000000000e+02,2.885948550999999918e-01
1.000000000000000000e+02,4.000000000000000000e+02,4.217891154999999781e-01
5.000000000000000000e+02,4.000000000000000000e+02,6.243398513000000261e-01
1.000000000000000000e+03,4.000000000000000000e+02,6.576430370000000414e-01
5.000000000000000000e+03,4.000000000000000000e+02,6.860656487999999831e-01
1.000000000000000000e+04,4.000000000000000000e+02,6.895535862999999654e-01
5.000000000000000000e+04,4.000000000000000000e+02,6.930425143999999760e-01
1.000000000000000000e+05,4.000000000000000000e+02,6.932157581000000235e-01
5.000000000000000000e+05,4.000000000000000000e+02,6.953003476000000349e-01
1.000000000000000000e+06,4.000000000000000000e+02,6.945579630999999532e-01
5.000000000000000000e+06,4.000000000000000000e+02,6.947566237000000200e-01
1.000000000000000000e+07,4.000000000000000000e+02,6.962015799999999865e-01
5.000000000000000000e+07,4.000000000000000000e+02,7.146152212999999920e-01
1.000000000000000000e+08,4.000000000000000000e+02,7.498966231000000482e-01
