# pressure,temperature,molkg
1.000000000000000021e-02,5.000000000000000000e+02,2.167000000000000015e-07
5.000000000000000278e-02,5.000000000000000000e+02,8.359000000000000139e-07
1.000000000000000056e-01,5.000000000000000000e+02,1.547900000000000037e-06
5.000000000000000000e-01,5.000000000000000000e+02,8.885100000000000701e-06
1.000000000000000000e+00,5.000000000000000000e+02,1.578880000000000035e-05
5.000000000000000000e+00,5.000000000000000000e+02,8.770540000000000226e-05
1.000000000000000000e+01,5.000000000000000000e+02,1.712933000000000088e-04
5.000000000000000000e+01,5.000000000000000000e+02,8.670852000000000377e-04
1.000000000000000000e+02,5.000000000000000000e+02,1.711787399999999907e-03
5.000000000000000000e+02,5.000000000000000000e+02,8.530578999999999940e-03
1.000000000000000000e+03,5.000000000000000000e+02,1.661256969999999958e-02
5.000000000000000000e+03,5.000000000000000000e+02,7.974459429999999904e-02
1.000000000000000000e+04,5.000000000000000000e+02,1.476797965999999962e-01
5.000000000000000000e+04,5.000000000000000000e+02,4.170623433999999796e-01
1.000000000000000000e+05,5.000000000000000000e+02,5.245355841000000074e-01
5.000000000000000000e+05,5.000000000000000000e+02,6.528915600000000374e-01
1.000000000000000000e+06,5.000000000000000000e+02,6.712361638999999602e-01
5.000000000000000000e+06,5.000000000000000000e+02,6.806302369000000185e-01
1.000000000000000000e+07,5.000000000000000000e+02,6.826651379999999492e-01
5.000000000000000000e+07,5.000000000000000000e+02,6.911361219999999639e-01
1.000000000000000000e+08,5.000000000000000000e+02,6.931583610999999534e-01
