# pressure,temperature,molkg
1.000000000000000000e+00,5.000000000000000000e+02,1.764630000000000078e-05
5.000000000000000000e+00,5.000000000000000000e+02,9.392799999999999923e-05
1.000000000000000000e+01,5.000000000000000000e+02,1.896207000000000122e-04
5.000000000000000000e+01,5.000000000000000000e+02,9.347604000000000026e-04
1.000000000000000000e+02,5.000000000000000000e+02,1.891563300000000071e-03
5.000000000000000000e+02,5.000000000000000000e+02,9.249311200000000580e-03
1.000000000000000000e+03,5.000000000000000000e+02,1.838624310000000137e-02
5.000000000000000000e+03,5.000000000000000000e+02,8.624042699999999451e-02
1.000000000000000000e+04,5.000000000000000000e+02,1.582981229000000045e-01
5.000000000000000000e+04,5.000000000000000000e+02,4.336468028000000086e-01
1.000000000000000000e+05,5.000000000000000000e+02,5.433729541999999801e-01
5.000000000000000000e+05,5.000000000000000000e+02,6.563961841000000019e-01
1.000000000000000000e+06,5.000000000000000000e+02,6.743327862000000339e-01
5.000000000000000000e+06,5.000000000000000000e+02,6.824794800000000272e-01
1.000000000000000000e+07,5.000000000000000000e+02,6.840839963000000523e-01
5.000000000000000000e+07,5.000000000000000000e+02,6.918321616000000507e-01
1.000000000000000000e+08,5.000000000000000000e+02,6.931592897999999670e-01
