# pressure,temperature,molkg
1.000000000000000021e-02,4.000000000000000000e+02,1.093144000000000049e-04
5.000000000000000278e-02,4.000000000000000000e+02,6.067862999999999946e-04
1.000000000000000056e-01,4.000000000000000000e+02,1.204749400000000104e-03
5.000000000000000000e-01,4.000000000000000000e+02,6.198662300000000284e-03
1.000000000000000000e+00,4.000000000000000000e+02,1.234723369999999980e-02
5.000000000000000000e+00,4.000000000000000000e+02,5.891247630000000235e-02
1.000000000000000000e+01,4.000000000000000000e+02,1.137710940000000032e-01
5.000000000000000000e+01,4.000000000000000000e+02,3.770833324000000264e-01
1.000000000000000000e+02,4.000000000000000000e+02,4.959148071000000213e-01
5.000000000000000000e+02,4.000000000000000000e+02,6.484793570000000340e-01
1.000000000000000000e+03,4.000000000000000000e+02,6.697140591000000365e-01
5.000000000000000000e+03,4.000000000000000000e+02,6.883474747000000171e-01
1.000000000000000000e+04,4.000000000000000000e+02,6.908902188000000111e-01
5.000000000000000000e+04,4.000000000000000000e+02,6.931048958000000093e-01
1.000000000000000000e+05,4.000000000000000000e+02,6.932548896000000349e-01
5.000000000000000000e+05,4.000000000000000000e+02,6.936472884000000061e-01
1.000000000000000000e+06,4.000000000000000000e+02,6.938056100999999698e-01
5.000000000000000000e+06,4.000000000000000000e+02,6.939116737999999618e-01
1.000000000000000000e+07,4.000000000000000000e+02,6.944620228000000228e-01
5.000000000000000000e+07,4.000000000000000000e+02,6.962623515000000429e-01
1.000000000000000000e+08,4.000000000000000000e+02,7.336727372000000358e-01
