# pressure,temperature,molkg
1.000000000000000056e-01,5.000000000000000000e+02,5.000000000000000000e+02,6.779900000000000088e-06
5.000000000000000000e-01,5.000000000000000000e+02,5.000000000000000000e+02,3.832659999999999995e-05
1.000000000000000000e+00,5.000000000000000000e+02,5.000000000000000000e+02,7.290719999999999883e-05
5.000000000000000000e+00,5.000000000000000000e+02,5.000000000000000000e+02,3.970735000000000193e-04
1.000000000000000000e+01,5.000000000000000000e+02,5.000000000000000000e+02,8.126601999999999481e-04
5.000000000000000000e+01,5.000000000000000000e+02,5.000000000000000000e+02,4.008659200000000422e-03
1.000000000000000000e+02,5.000000000000000000e+02,5.000000000000000000e+02,8.134712900000000413e-03
5.000000000000000000e+02,5.000000000000000000e+02,5.000000000000000000e+02,3.915415319999999977e-02
1.000000000000000000e+03,5.000000000000000000e+02,5.000000000000000000e+02,7.570333579999999341e-02
5.000000000000000000e+03,5.000000000000000000e+02,5.000000000000000000e+02,2.805793322999999839e-01
1.000000000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+02,4.105696993999999878e-01
5.000000000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+02,6.158466701000000487e-01
1.000000000000000000e+05,5.000000000000000000e+02,5.000000000000000000e+02,6.531026039999999755e-01
5.000000000000000000e+05,5.000000000000000000e+02,5.000000000000000000e+02,6.845536365000000067e-01
1.000000000000000000e+06,5.000000000000000000e+02,5.000000000000000000e+02,6.885897558000000362e-01
5.000000000000000000e+06,5.000000000000000000e+02,5.000000000000000000e+02,6.908986394999999670e-01
1.000000000000000000e+07,5.000000000000000000e+02,5.000000000000000000e+02,6.913628309999999555e-01
5.000000000000000000e+07,5.000000000000000000e+02,5.000000000000000000e+02,6.936237290000000222e-01
1.000000000000000000e+08,5.000000000000000000e+02,5.000000000000000000e+02,6.977332509000000460e-01
