# pressure,temperature,molkg
1.000000000000000056e-01,6.000000000000000000e+02,8.668000000000000061e-07
5.000000000000000000e-01,6.000000000000000000e+02,4.148399999999999957e-06
1.000000000000000000e+00,6.000000000000000000e+02,8.018200000000000582e-06
5.000000000000000000e+00,6.000000000000000000e+02,4.077230000000000264e-05
1.000000000000000000e+01,6.000000000000000000e+02,8.470240000000000408e-05
5.000000000000000000e+01,6.000000000000000000e+02,4.380624999999999753e-04
1.000000000000000000e+02,6.000000000000000000e+02,8.950097000000000174e-04
5.000000000000000000e+02,6.000000000000000000e+02,4.618912799999999597e-03
1.000000000000000000e+03,6.000000000000000000e+02,9.267731499999999276e-03
5.000000000000000000e+03,6.000000000000000000e+02,4.414911869999999655e-02
1.000000000000000000e+04,6.000000000000000000e+02,8.342236919999999889e-02
5.000000000000000000e+04,6.000000000000000000e+02,2.801545200000000180e-01
1.000000000000000000e+05,6.000000000000000000e+02,3.939056457999999816e-01
5.000000000000000000e+05,6.000000000000000000e+02,5.927642108999999770e-01
1.000000000000000000e+06,6.000000000000000000e+02,6.355722081000000356e-01
5.000000000000000000e+06,6.000000000000000000e+02,6.762792388999999682e-01
1.000000000000000000e+07,6.000000000000000000e+02,6.828872031999999592e-01
5.000000000000000000e+07,6.000000000000000000e+02,7.073796974999999598e-01
1.000000000000000000e+08,6.000000000000000000e+02,7.859697880999999553e-01
