     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.7374589087E-02    0.3889630896E-03
    0.3000000000E+01    0.2163471675E-01    0.1145676052E-02
    0.5000000000E+01    0.3527827450E-01    0.1875740791E-02
    0.7000000000E+01    0.4834467653E-01    0.2580968203E-02
    0.9000000000E+01    0.6087004192E-01    0.3263011778E-02
    0.1100000000E+02    0.7288753205E-01    0.3923384082E-02
    0.1300000000E+02    0.8442764750E-01    0.4563471223E-02
    0.1500000000E+02    0.9551848971E-01    0.5184545587E-02
    0.1700000000E+02    0.1061859925E+00    0.5787777080E-02
    0.1900000000E+02    0.1164541274E+00    0.6374243073E-02
    0.2100000000E+02    0.1263450854E+00    0.6944937219E-02
    0.2300000000E+02    0.1358794401E+00    0.7500777290E-02
    0.2500000000E+02    0.1450762918E+00    0.8042612160E-02
    0.2700000000E+02    0.1539533977E+00    0.8571228038E-02
    0.2900000000E+02    0.1625272878E+00    0.9087354040E-02
    0.3100000000E+02    0.1708133691E+00    0.9591667187E-02
    0.3300000000E+02    0.1788260195E+00    0.1008479689E-01
    0.3500000000E+02    0.1865786725E+00    0.1056732897E-01
    0.3700000000E+02    0.1940838934E+00    0.1103980933E-01
    0.3900000000E+02    0.2013534486E+00    0.1150274719E-01
    0.4100000000E+02    0.2083983679E+00    0.1195661809E-01
    0.4300000000E+02    0.2152290014E+00    0.1240186655E-01
    0.4500000000E+02    0.2218550712E+00    0.1283890854E-01
    0.4700000000E+02    0.2282857184E+00    0.1326813365E-01
    0.4900000000E+02    0.2345295457E+00    0.1368990713E-01
    0.1000000000E+02    0.6694030597E-01    0.3595817401E-02
    0.3000000000E+02    0.1667053829E+00    0.9340946816E-02
    0.5000000000E+02    0.2375839527E+00    0.1389810745E-01
    0.7000000000E+02    0.2906021678E+00    0.1774380458E-01
    0.9000000000E+02    0.3317987553E+00    0.2112898966E-01
    0.1100000000E+03    0.3647601768E+00    0.2419703481E-01
    0.1300000000E+03    0.3917517267E+00    0.2703513652E-01
    0.1500000000E+03    0.4142752212E+00    0.2969904613E-01
    0.1700000000E+03    0.4333660520E+00    0.3222591433E-01
    0.1900000000E+03    0.4497614775E+00    0.3464138216E-01
    0.2100000000E+03    0.4640009000E+00    0.3696369639E-01
    0.2300000000E+03    0.4764881870E+00    0.3920619944E-01
    0.2500000000E+03    0.4875318096E+00    0.4137889007E-01
