     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1588554203E-02    0.1305158884E-02    0.6834011468E-02
    0.3000000000E+01    0.4656255387E-02    0.3888608867E-02    0.2002753619E-01
    0.5000000000E+01    0.7586195583E-02    0.6436979564E-02    0.3262505055E-01
    0.7000000000E+01    0.1038734693E-01    0.8951137781E-02    0.4466703207E-01
    0.9000000000E+01    0.1306789384E-01    0.1143192117E-01    0.5619035249E-01
    0.1100000000E+02    0.1563531899E-01    0.1388013944E-01    0.6722867121E-01
    0.1300000000E+02    0.1809647814E-01    0.1629657555E-01    0.7781277829E-01
    0.1500000000E+02    0.2045766561E-01    0.1868198675E-01    0.8797089440E-01
    0.1700000000E+02    0.2272467166E-01    0.2103710568E-01    0.9772893393E-01
    0.1900000000E+02    0.2490283282E-01    0.2336264134E-01    0.1071107363E+00
    0.2100000000E+02    0.2699707645E-01    0.2565928005E-01    0.1161382700E+00
    0.2300000000E+02    0.2901195989E-01    0.2792768634E-01    0.1248318133E+00
    0.2500000000E+02    0.3095170539E-01    0.3016850381E-01    0.1332101135E+00
    0.2700000000E+02    0.3282023089E-01    0.3238235598E-01    0.1412905298E+00
    0.2900000000E+02    0.3462117766E-01    0.3456984703E-01    0.1490891595E+00
    0.3100000000E+02    0.3635793477E-01    0.3673156256E-01    0.1566209505E+00
    0.3300000000E+02    0.3803366109E-01    0.3886807033E-01    0.1638998033E+00
    0.3500000000E+02    0.3965130496E-01    0.4097992087E-01    0.1709386604E+00
    0.3700000000E+02    0.4121362186E-01    0.4306764822E-01    0.1777495884E+00
    0.3900000000E+02    0.4272319031E-01    0.4513177047E-01    0.1843438510E+00
    0.4100000000E+02    0.4418242623E-01    0.4717279038E-01    0.1907319744E+00
    0.4300000000E+02    0.4559359582E-01    0.4919119598E-01    0.1969238076E+00
    0.4500000000E+02    0.4695882734E-01    0.5118746105E-01    0.2029285755E+00
    0.4700000000E+02    0.4828012169E-01    0.5316204566E-01    0.2087549285E+00
    0.4900000000E+02    0.4955936205E-01    0.5511539670E-01    0.2144109858E+00
    0.1000000000E+02    0.1436530427E-01    0.1266005140E-01    0.6176814914E-01
    0.3000000000E+02    0.3549737734E-01    0.3565389084E-01    0.1528875176E+00
    0.5000000000E+02    0.5018377047E-01    0.5608424577E-01    0.2171775558E+00
    0.7000000000E+02    0.6084503059E-01    0.7444589666E-01    0.2651965358E+00
    0.9000000000E+02    0.6880767297E-01    0.9110982290E-01    0.3025749961E+00
    0.1100000000E+03    0.7486763278E-01    0.1063598202E+00    0.3325959110E+00
    0.1300000000E+03    0.7953521567E-01    0.1204168445E+00    0.3573059807E+00
    0.1500000000E+03    0.8315444922E-01    0.1334556248E+00    0.3780494845E+00
    0.1700000000E+03    0.8596652377E-01    0.1456162633E+00    0.3957470545E+00
    0.1900000000E+03    0.8814590287E-01    0.1570125036E+00    0.4110511875E+00
    0.2100000000E+03    0.8982204084E-01    0.1677377315E+00    0.4244377794E+00
    0.2300000000E+03    0.9109304636E-01    0.1778694040E+00    0.4362624569E+00
    0.2500000000E+03    0.9203460758E-01    0.1874723648E+00    0.4467965735E+00
    0.2700000000E+03    0.9270600903E-01    0.1966013628E+00    0.4562509626E+00
    0.2900000000E+03    0.9315429883E-01    0.2053029865E+00    0.4647920545E+00
    0.3100000000E+03    0.9341724248E-01    0.2136171679E+00    0.4725530815E+00
    0.3300000000E+03    0.9352545934E-01    0.2215783640E+00    0.4796420381E+00
    0.3500000000E+03    0.9350399547E-01    0.2292164928E+00    0.4861474442E+00
    0.3700000000E+03    0.9337349994E-01    0.2365576828E+00    0.4921425896E+00
    0.3900000000E+03    0.9315111676E-01    0.2436248773E+00    0.4976887093E+00
    0.4100000000E+03    0.9285116988E-01    0.2504383257E+00    0.5028373909E+00
    0.4300000000E+03    0.9248569509E-01    0.2570159854E+00    0.5076324243E+00
    0.4500000000E+03    0.9206485733E-01    0.2633738529E+00    0.5121112388E+00
    0.4700000000E+03    0.9159728121E-01    0.2695262392E+00    0.5163060311E+00
    0.4900000000E+03    0.9109031494E-01    0.2754859986E+00    0.5202446607E+00
    0.1000000000E+03    0.7203867562E-01    0.9889650449E-01    0.3183562365E+00
    0.3000000000E+03    0.9330687843E-01    0.2095062376E+00    0.4687628112E+00
    0.5000000000E+03    0.9082406095E-01    0.2783973099E+00    0.5221256136E+00
    0.7000000000E+03    0.8455321068E-01    0.3288078610E+00    0.5507999895E+00
    0.9000000000E+03    0.7794235728E-01    0.3683216571E+00    0.5691413829E+00
    0.1100000000E+04    0.7182158327E-01    0.4004446433E+00    0.5820715519E+00
    0.1300000000E+04    0.6637124480E-01    0.4271568960E+00    0.5917727656E+00
    0.1500000000E+04    0.6158082904E-01    0.4497237736E+00    0.5993740162E+00
    0.1700000000E+04    0.5738402990E-01    0.4690199274E+00    0.6055233405E+00
    0.1900000000E+04    0.5370343444E-01    0.4856818168E+00    0.6106217175E+00
    0.2100000000E+04    0.5046569482E-01    0.5001890615E+00    0.6149317932E+00
    0.2300000000E+04    0.4760613925E-01    0.5129122212E+00    0.6186334723E+00
    0.2500000000E+04    0.4506946301E-01    0.5241429962E+00    0.6218545114E+00
    0.2700000000E+04    0.4280901055E-01    0.5341144047E+00    0.6246883743E+00
    0.2900000000E+04    0.4078563696E-01    0.5430148382E+00    0.6272051642E+00
    0.3100000000E+04    0.3896653740E-01    0.5509981662E+00    0.6294585916E+00
    0.3300000000E+04    0.3732418697E-01    0.5581911814E+00    0.6314905670E+00
    0.3500000000E+04    0.3583543132E-01    0.5646991915E+00    0.6333343191E+00
    0.3700000000E+04    0.3448072718E-01    0.5706102845E+00    0.6350165646E+00
    0.3900000000E+04    0.3324351635E-01    0.5759986265E+00    0.6365590522E+00
    0.4100000000E+04    0.3210971321E-01    0.5809270380E+00    0.6379796840E+00
    0.4300000000E+04    0.3106728601E-01    0.5854490277E+00    0.6392933423E+00
    0.4500000000E+04    0.3010591495E-01    0.5896104110E+00    0.6405125109E+00
    0.4700000000E+04    0.2921671238E-01    0.5934506083E+00    0.6416477469E+00
    0.4900000000E+04    0.2839199347E-01    0.5970036939E+00    0.6427080447E+00
    0.1000000000E+04    0.7480221500E-01    0.3851606972E+00    0.5761109076E+00
    0.3000000000E+04    0.3985238556E-01    0.5471126542E+00    0.6283619444E+00
    0.5000000000E+04    0.2800169563E-01    0.5986819695E+00    0.6432125462E+00
    0.7000000000E+04    0.2235293296E-01    0.6226279689E+00    0.6507705144E+00
    0.9000000000E+04    0.1904591583E-01    0.6361362474E+00    0.6554966562E+00
    0.1100000000E+05    0.1685343382E-01    0.6447150383E+00    0.6587915289E+00
    0.1300000000E+05    0.1527709739E-01    0.6506114872E+00    0.6612494371E+00
    0.1500000000E+05    0.1407829893E-01    0.6548987462E+00    0.6631698519E+00
    0.1700000000E+05    0.1312868933E-01    0.6581494426E+00    0.6647217080E+00
    0.1900000000E+05    0.1235300546E-01    0.6606953388E+00    0.6660082739E+00
    0.2100000000E+05    0.1170409056E-01    0.6627412397E+00    0.6670965994E+00
    0.2300000000E+05    0.1115081153E-01    0.6644201103E+00    0.6680323124E+00
    0.2500000000E+05    0.1067172717E-01    0.6658218849E+00    0.6688476558E+00
    0.2700000000E+05    0.1025154865E-01    0.6670094938E+00    0.6695661300E+00
    0.2900000000E+05    0.9879052636E-02    0.6680282483E+00    0.6702053117E+00
    0.3100000000E+05    0.9545794781E-02    0.6689115794E+00    0.6707786387E+00
    0.3300000000E+05    0.9245286103E-02    0.6696846774E+00    0.6712965799E+00
    0.3500000000E+05    0.8972448213E-02    0.6703668750E+00    0.6717674260E+00
    0.3700000000E+05    0.8723242700E-02    0.6709732508E+00    0.6721978373E+00
    0.3900000000E+05    0.8494412683E-02    0.6715157346E+00    0.6725932330E+00
    0.4100000000E+05    0.8283298603E-02    0.6720038866E+00    0.6729580725E+00
    0.4300000000E+05    0.8087704366E-02    0.6724454560E+00    0.6732960626E+00
    0.4500000000E+05    0.7905798367E-02    0.6728467894E+00    0.6736103128E+00
    0.4700000000E+05    0.7736039164E-02    0.6732131336E+00    0.6739034534E+00
    0.4900000000E+05    0.7577118863E-02    0.6735488634E+00    0.6741777260E+00
    0.1000000000E+05    0.1785051719E-01    0.6408607635E+00    0.6572757698E+00
    0.3000000000E+05    0.9707962898E-02    0.6684851069E+00    0.6704994939E+00
    0.5000000000E+05    0.7501367488E-02    0.6737064203E+00    0.6743083987E+00
    0.7000000000E+05    0.6353040428E-02    0.6758960571E+00    0.6762812459E+00
    0.9000000000E+05    0.5617583094E-02    0.6770993733E+00    0.6775325929E+00
    0.1100000000E+06    0.5094063484E-02    0.6778603789E+00    0.6784151371E+00
    0.1300000000E+06    0.4696541453E-02    0.6783852384E+00    0.6790798638E+00
    0.1500000000E+06    0.4381196715E-02    0.6787692255E+00    0.6796034889E+00
    0.1700000000E+06    0.4122999513E-02    0.6790624314E+00    0.6800296175E+00
    0.1900000000E+06    0.3906463150E-02    0.6792937081E+00    0.6803850890E+00
    0.2100000000E+06    0.3721417365E-02    0.6794808473E+00    0.6806874388E+00
    0.2300000000E+06    0.3560867448E-02    0.6796354167E+00    0.6809486681E+00
    0.2500000000E+06    0.3419821747E-02    0.6797652637E+00    0.6811773019E+00
    0.2700000000E+06    0.3294608776E-02    0.6798759001E+00    0.6813795837E+00
    0.2900000000E+06    0.3182459156E-02    0.6799713108E+00    0.6815602040E+00
    0.3100000000E+06    0.3081238899E-02    0.6800544486E+00    0.6817227639E+00
    0.3300000000E+06    0.2989273232E-02    0.6801275484E+00    0.6818700793E+00
    0.3500000000E+06    0.2905226720E-02    0.6801923326E+00    0.6820043885E+00
    0.3700000000E+06    0.2828019583E-02    0.6802501506E+00    0.6821274958E+00
    0.3900000000E+06    0.2756767943E-02    0.6803020741E+00    0.6822408738E+00
    0.4100000000E+06    0.2690740322E-02    0.6803489654E+00    0.6823457379E+00
    0.4300000000E+06    0.2629325395E-02    0.6803915263E+00    0.6824431014E+00
    0.4500000000E+06    0.2572007720E-02    0.6804303335E+00    0.6825338165E+00
    0.4700000000E+06    0.2518349208E-02    0.6804658656E+00    0.6826186059E+00
    0.4900000000E+06    0.2467974793E-02    0.6804985228E+00    0.6826980871E+00
    0.1000000000E+06    0.5336140363E-02    0.6775183652E+00    0.6780079939E+00
    0.3000000000E+06    0.3130596674E-02    0.6800142601E+00    0.6816435499E+00
    0.5000000000E+06    0.2443916335E-02    0.6805138810E+00    0.6827360060E+00
    0.7000000000E+06    0.2075913734E-02    0.6807297192E+00    0.6833126995E+00
    0.9000000000E+06    0.1837563628E-02    0.6808506241E+00    0.6836828385E+00
    0.1100000000E+07    0.1666983014E-02    0.6809281767E+00    0.6839460788E+00
    0.1300000000E+07    0.1537078282E-02    0.6809822732E+00    0.6841456097E+00
    0.1500000000E+07    0.1433852907E-02    0.6810222291E+00    0.6843035785E+00
    0.1700000000E+07    0.1349247231E-02    0.6810529926E+00    0.6844326653E+00
    0.1900000000E+07    0.1278247697E-02    0.6810774383E+00    0.6845407215E+00
    0.2100000000E+07    0.1217549601E-02    0.6810973518E+00    0.6846329025E+00
    0.2300000000E+07    0.1164874028E-02    0.6811139011E+00    0.6847127520E+00
    0.2500000000E+07    0.1118591472E-02    0.6811278833E+00    0.6847827965E+00
    0.2700000000E+07    0.1077501619E-02    0.6811398610E+00    0.6848448926E+00
