     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7846091079E-02    0.3711203712E-03    0.1012368743E-01
    0.3000000000E+01    0.2247243622E-01    0.1095482557E-02    0.2897843979E-01
    0.5000000000E+01    0.3583623321E-01    0.1797243746E-02    0.4619095412E-01
    0.7000000000E+01    0.4809848617E-01    0.2477777788E-02    0.6197843566E-01
    0.9000000000E+01    0.5939317670E-01    0.3138344162E-02    0.7652093404E-01
    0.1100000000E+02    0.6983279205E-01    0.3780099854E-02    0.8996899427E-01
    0.1300000000E+02    0.7951253925E-01    0.4404109765E-02    0.1024494889E+00
    0.1500000000E+02    0.8851359717E-01    0.5011355866E-02    0.1140701170E+00
    0.1700000000E+02    0.9690565415E-01    0.5602745276E-02    0.1249229125E+00
    0.1900000000E+02    0.1047489087E+00    0.6179117398E-02    0.1350870081E+00
    0.2100000000E+02    0.1120956621E+00    0.6741250250E-02    0.1446308325E+00
    0.2300000000E+02    0.1189915970E+00    0.7289866092E-02    0.1536138718E+00
    0.2500000000E+02    0.1254768127E+00    0.7825636435E-02    0.1620880941E+00
    0.2700000000E+02    0.1315866697E+00    0.8349186515E-02    0.1700991086E+00
    0.2900000000E+02    0.1373524835E+00    0.8861099304E-02    0.1776871167E+00
    0.3100000000E+02    0.1428020985E+00    0.9361919092E-02    0.1848876963E+00
    0.3300000000E+02    0.1479603654E+00    0.9852154723E-02    0.1917324532E+00
    0.3500000000E+02    0.1528495413E+00    0.1033228249E-01    0.1982495652E+00
    0.3700000000E+02    0.1574896257E+00    0.1080274878E-01    0.2044642382E+00
    0.3900000000E+02    0.1618986457E+00    0.1126397240E-01    0.2103990922E+00
    0.4100000000E+02    0.1660928978E+00    0.1171634676E-01    0.2160744868E+00
    0.4300000000E+02    0.1700871547E+00    0.1216024182E-01    0.2215088004E+00
    0.4500000000E+02    0.1738948428E+00    0.1259600581E-01    0.2267186671E+00
    0.4700000000E+02    0.1775281947E+00    0.1302396691E-01    0.2317191815E+00
    0.4900000000E+02    0.1809983819E+00    0.1344443463E-01    0.2365240746E+00
    0.1000000000E+02    0.6471355544E-01    0.3461504742E-02    0.8337334284E-01
    0.3000000000E+02    0.1401151975E+00    0.9112863225E-02    0.1813337735E+00
    0.5000000000E+02    0.1826755180E+00    0.1365195045E-01    0.2388571192E+00
    0.7000000000E+02    0.2097271934E+00    0.1747188023E-01    0.2777703487E+00
    0.9000000000E+02    0.2281639077E+00    0.2079299560E-01    0.3064090354E+00
    0.1100000000E+03    0.2413165209E+00    0.2374970542E-01    0.3286912144E+00
    0.1300000000E+03    0.2510022567E+00    0.2642937719E-01    0.3467212685E+00
    0.1500000000E+03    0.2582990989E+00    0.2889168411E-01    0.3617402753E+00
    0.1700000000E+03    0.2638871035E+00    0.3117903447E-01    0.3745327716E+00
    0.1900000000E+03    0.2682160957E+00    0.3332256367E-01    0.3856219999E+00
    0.2100000000E+03    0.2715950388E+00    0.3534575996E-01    0.3953721373E+00
    0.2300000000E+03    0.2742427730E+00    0.3726675479E-01    0.4040456084E+00
    0.2500000000E+03    0.2763183264E+00    0.3909982317E-01    0.4118370453E+00
    0.2700000000E+03    0.2779397957E+00    0.4085639756E-01    0.4188943496E+00
    0.2900000000E+03    0.2791965283E+00    0.4254577172E-01    0.4253322675E+00
    0.3100000000E+03    0.2801572205E+00    0.4417560097E-01    0.4312414312E+00
    0.3300000000E+03    0.2808754429E+00    0.4575226518E-01    0.4366945522E+00
    0.3500000000E+03    0.2813934950E+00    0.4728113709E-01    0.4417507710E+00
    0.3700000000E+03    0.2817451491E+00    0.4876678398E-01    0.4464587781E+00
    0.3900000000E+03    0.2819576381E+00    0.5021312146E-01    0.4508590968E+00
    0.4100000000E+03    0.2820531184E+00    0.5162353229E-01    0.4549857827E+00
    0.4300000000E+03    0.2820497620E+00    0.5300095951E-01    0.4588677074E+00
    0.4500000000E+03    0.2819625821E+00    0.5434797997E-01    0.4625295430E+00
    0.4700000000E+03    0.2818040648E+00    0.5566686319E-01    0.4659925251E+00
    0.4900000000E+03    0.2815846580E+00    0.5695961890E-01    0.4692750530E+00
    0.1000000000E+03    0.2352638984E+00    0.2231062467E-01    0.3181857853E+00
    0.3000000000E+03    0.2797102284E+00    0.4336770435E-01    0.4283480373E+00
    0.5000000000E+03    0.2814549240E+00    0.5759676559E-01    0.4708537397E+00
    0.7000000000E+03    0.2771982846E+00    0.6931475463E-01    0.4959508347E+00
    0.9000000000E+03    0.2717032237E+00    0.7965421574E-01    0.5132604992E+00
    0.1100000000E+04    0.2660818815E+00    0.8909339681E-01    0.5262273407E+00
    0.1300000000E+04    0.2606479713E+00    0.9788415002E-01    0.5364566771E+00
    0.1500000000E+04    0.2554860125E+00    0.1061775035E+00    0.5448189807E+00
    0.1700000000E+04    0.2506056608E+00    0.1140721408E+00    0.5518356746E+00
    0.1900000000E+04    0.2459914639E+00    0.1216365937E+00    0.5578420338E+00
    0.2100000000E+04    0.2416205862E+00    0.1289206687E+00    0.5630654143E+00
    0.2300000000E+04    0.2374693979E+00    0.1359618609E+00    0.5676665185E+00
    0.2500000000E+04    0.2335158652E+00    0.1427892010E+00    0.5717627800E+00
    0.2700000000E+04    0.2297402810E+00    0.1494256873E+00    0.5754423918E+00
    0.2900000000E+04    0.2261253355E+00    0.1558898900E+00    0.5787731193E+00
    0.3100000000E+04    0.2226559361E+00    0.1621970480E+00    0.5818080529E+00
    0.3300000000E+04    0.2193189497E+00    0.1683598407E+00    0.5845894866E+00
    0.3500000000E+04    0.2161029383E+00    0.1743889463E+00    0.5871516073E+00
    0.3700000000E+04    0.2129979162E+00    0.1802934534E+00    0.5895224028E+00
    0.3900000000E+04    0.2099951371E+00    0.1860811709E+00    0.5917250472E+00
    0.4100000000E+04    0.2070869119E+00    0.1917588654E+00    0.5937789220E+00
    0.4300000000E+04    0.2042664543E+00    0.1973324450E+00    0.5957003846E+00
    0.4500000000E+04    0.2015277517E+00    0.2028071051E+00    0.5975033532E+00
    0.4700000000E+04    0.1988654554E+00    0.2081874435E+00    0.5991997579E+00
    0.4900000000E+04    0.1962747897E+00    0.2134775535E+00    0.6007998946E+00
    0.1000000000E+04    0.2688801546E+00    0.8446736011E-01    0.5201619748E+00
    0.3000000000E+04    0.2243733061E+00    0.1590622545E+00    0.5803247000E+00
    0.5000000000E+04    0.1950049632E+00    0.2160899330E+00    0.6015667028E+00
    0.7000000000E+04    0.1725305584E+00    0.2643218536E+00    0.6135079343E+00
    0.9000000000E+04    0.1542055592E+00    0.3061644430E+00    0.6214573755E+00
    0.1100000000E+05    0.1388175425E+00    0.3427879688E+00    0.6272503065E+00
    0.1300000000E+05    0.1256912126E+00    0.3749587749E+00    0.6317181687E+00
    0.1500000000E+05    0.1143867132E+00    0.4032700488E+00    0.6353012656E+00
    0.1700000000E+05    0.1045865473E+00    0.4282195384E+00    0.6382581251E+00
    0.1900000000E+05    0.9604641206E-01    0.4502386683E+00    0.6407521644E+00
    0.2100000000E+05    0.8857102755E-01    0.4697049662E+00    0.6428925689E+00
    0.2300000000E+05    0.8200079016E-01    0.4869488047E+00    0.6447555100E+00
    0.2500000000E+05    0.7620353990E-01    0.5022583467E+00    0.6463959993E+00
    0.2700000000E+05    0.7106896515E-01    0.5158839713E+00    0.6478549084E+00
    0.2900000000E+05    0.6650450535E-01    0.5280425033E+00    0.6491633305E+00
    0.3100000000E+05    0.6243219338E-01    0.5389212483E+00    0.6503453980E+00
    0.3300000000E+05    0.5878614390E-01    0.5486817660E+00    0.6514201664E+00
    0.3500000000E+05    0.5551051785E-01    0.5574633147E+00    0.6524029084E+00
    0.3700000000E+05    0.5255785575E-01    0.5653859375E+00    0.6533060267E+00
    0.3900000000E+05    0.4988770495E-01    0.5725531818E+00    0.6541397110E+00
    0.4100000000E+05    0.4746548516E-01    0.5790544683E+00    0.6549124199E+00
    0.4300000000E+05    0.4526154886E-01    0.5849671358E+00    0.6556312405E+00
    0.4500000000E+05    0.4325040173E-01    0.5903581955E+00    0.6563021612E+00
    0.4700000000E+05    0.4141005491E-01    0.5952858276E+00    0.6569302808E+00
    0.4900000000E+05    0.3972148581E-01    0.5998006565E+00    0.6575199709E+00
    0.1000000000E+05    0.1461942388E+00    0.3250751216E+00    0.6245583085E+00
    0.3000000000E+05    0.6441120602E-01    0.5336311903E+00    0.6497688660E+00
    0.5000000000E+05    0.3892887220E-01    0.6019172938E+00    0.6578016043E+00
    0.7000000000E+05    0.2801763411E-01    0.6307349386E+00    0.6621091422E+00
    0.9000000000E+05    0.2223829591E-01    0.6454993221E+00    0.6648986543E+00
    0.1100000000E+06    0.1871771944E-01    0.6541279259E+00    0.6668952234E+00
    0.1300000000E+06    0.1635824767E-01    0.6596553880E+00    0.6684160954E+00
    0.1500000000E+06    0.1466556855E-01    0.6634406122E+00    0.6696250146E+00
    0.1700000000E+06    0.1338853595E-01    0.6661666335E+00    0.6706162142E+00
    0.1900000000E+06    0.1238736003E-01    0.6682083287E+00    0.6714482934E+00
    0.2100000000E+06    0.1157850432E-01    0.6697860951E+00    0.6721598736E+00
    0.2300000000E+06    0.1090913659E-01    0.6710368506E+00    0.6727775880E+00
    0.2500000000E+06    0.1034426389E-01    0.6720495755E+00    0.6733204823E+00
    0.2700000000E+06    0.9859804465E-02    0.6728843064E+00    0.6738025877E+00
