     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1558313849E-02    0.3734106357E-03    0.2333859270E-01
    0.3000000000E+01    0.4411205631E-02    0.1115544733E-02    0.6533719078E-01
    0.5000000000E+01    0.6970067157E-02    0.1851513742E-02    0.1020819885E+00
    0.7000000000E+01    0.9289159832E-02    0.2581417051E-02    0.1345082536E+00
    0.9000000000E+01    0.1141012684E-01    0.3305351837E-02    0.1633412555E+00
    0.1100000000E+02    0.1336542307E-01    0.4023413136E-02    0.1891521085E+00
    0.1300000000E+02    0.1518069099E-01    0.4735693892E-02    0.2123966906E+00
    0.1500000000E+02    0.1687644049E-01    0.5442285024E-02    0.2334433366E+00
    0.1700000000E+02    0.1846925863E-01    0.6143275476E-02    0.2525929084E+00
    0.1900000000E+02    0.1997269529E-01    0.6838752274E-02    0.2700935839E+00
    0.2100000000E+02    0.2139792114E-01    0.7528800577E-02    0.2861519185E+00
    0.2300000000E+02    0.2275422316E-01    0.8213503728E-02    0.3009412304E+00
    0.2500000000E+02    0.2404938232E-01    0.8892943301E-02    0.3146080358E+00
    0.2700000000E+02    0.2528996477E-01    0.9567199152E-02    0.3272770448E+00
    0.2900000000E+02    0.2648154860E-01    0.1023634946E-01    0.3390550788E+00
    0.3100000000E+02    0.2762890212E-01    0.1090047078E-01    0.3500341717E+00
    0.3300000000E+02    0.2873612526E-01    0.1155963807E-01    0.3602940482E+00
    0.3500000000E+02    0.2980676268E-01    0.1221392475E-01    0.3699041181E+00
    0.3700000000E+02    0.3084389478E-01    0.1286340273E-01    0.3789250961E+00
    0.3900000000E+02    0.3185021172E-01    0.1350814246E-01    0.3874103243E+00
    0.4100000000E+02    0.3282807367E-01    0.1414821294E-01    0.3954068609E+00
    0.4300000000E+02    0.3377956051E-01    0.1478368182E-01    0.4029563807E+00
    0.4500000000E+02    0.3470651277E-01    0.1541461534E-01    0.4100959259E+00
    0.4700000000E+02    0.3561056572E-01    0.1604107847E-01    0.4168585331E+00
    0.4900000000E+02    0.3649317786E-01    0.1666313484E-01    0.4232737626E+00
    0.1000000000E+02    0.1240674391E-01    0.3665110815E-02    0.1765936263E+00
    0.3000000000E+02    0.2706048368E-01    0.1056903402E-01    0.3446392471E+00
    0.5000000000E+02    0.3692685701E-01    0.1697253005E-01    0.4263595088E+00
    0.7000000000E+02    0.4472978021E-01    0.2294366384E-01    0.4750290756E+00
    0.9000000000E+02    0.5130118343E-01    0.2853824341E-01    0.5074857365E+00
    0.1100000000E+03    0.5700134591E-01    0.3380249243E-01    0.5307577233E+00
    0.1300000000E+03    0.6202641238E-01    0.3877504902E-01    0.5483085604E+00
    0.1500000000E+03    0.6650105302E-01    0.4348848151E-01    0.5620467821E+00
    0.1700000000E+03    0.7051310257E-01    0.4797045249E-01    0.5731124628E+00
    0.1900000000E+03    0.7412877250E-01    0.5224462305E-01    0.5822296207E+00
    0.2100000000E+03    0.7740025506E-01    0.5633136283E-01    0.5898807027E+00
    0.2300000000E+03    0.8036995444E-01    0.6024831279E-01    0.5963999085E+00
    0.2500000000E+03    0.8307305949E-01    0.6401083553E-01    0.6020262726E+00
    0.2700000000E+03    0.8553922532E-01    0.6763237851E-01    0.6069354158E+00
    0.2900000000E+03    0.8779373751E-01    0.7112476929E-01    0.6112593513E+00
    0.3100000000E+03    0.8985835552E-01    0.7449845730E-01    0.6150992865E+00
    0.3300000000E+03    0.9175194554E-01    0.7776271318E-01    0.6185341534E+00
    0.3500000000E+03    0.9349096868E-01    0.8092579412E-01    0.6216264460E+00
