     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.3000000000E+04    0.1958974517E+00    0.9830367171E-01    0.6568685814E+00
    0.5000000000E+04    0.1834200205E+00    0.1325244510E+00    0.6650164310E+00
    0.7000000000E+04    0.1722959433E+00    0.1621816768E+00    0.6693151862E+00
    0.9000000000E+04    0.1623011100E+00    0.1889562490E+00    0.6720947326E+00
    0.1100000000E+05    0.1532000298E+00    0.2135849708E+00    0.6740913870E+00
    0.1300000000E+05    0.1448330484E+00    0.2364669621E+00    0.6756204260E+00
    0.1500000000E+05    0.1370912410E+00    0.2578487802E+00    0.6768423371E+00
    0.1700000000E+05    0.1298966943E+00    0.2778982688E+00    0.6778486639E+00
    0.1900000000E+05    0.1231907762E+00    0.2967389900E+00    0.6786960529E+00
    0.2100000000E+05    0.1169272580E+00    0.3144679779E+00    0.6794217803E+00
    0.2300000000E+05    0.1110681952E+00    0.3311655358E+00    0.6800515906E+00
    0.2500000000E+05    0.1055813910E+00    0.3469009008E+00    0.6806039719E+00
    0.2700000000E+05    0.1004387974E+00    0.3617356260E+00    0.6810926367E+00
    0.2900000000E+05    0.9561548281E-01    0.3757256454E+00    0.6815280335E+00
    0.3100000000E+05    0.9108895199E-01    0.3889225550E+00    0.6819183087E+00
    0.3300000000E+05    0.8683868746E-01    0.4013744199E+00    0.6822699386E+00
    0.3500000000E+05    0.8284583347E-01    0.4131262892E+00    0.6825881596E+00
    0.3700000000E+05    0.7909297159E-01    0.4242205328E+00    0.6828772673E+00
    0.3900000000E+05    0.7556395609E-01    0.4346970704E+00    0.6831408303E+00
    0.4100000000E+05    0.7224378861E-01    0.4445935344E+00    0.6833818455E+00
    0.4300000000E+05    0.6911851882E-01    0.4539453946E+00    0.6836028546E+00
    0.4500000000E+05    0.6617516234E-01    0.4627860629E+00    0.6838060306E+00
    0.4700000000E+05    0.6340163050E-01    0.4711469845E+00    0.6839932456E+00
    0.4900000000E+05    0.6078666822E-01    0.4790577259E+00    0.6841661226E+00
    0.1000000000E+05    0.1576503175E+00    0.2015089990E+00    0.6731659313E+00
    0.3000000000E+05    0.9331644388E-01    0.3824201592E+00    0.6817283732E+00
    0.5000000000E+05    0.5953534749E-01    0.4828530255E+00    0.6842476340E+00
    0.7000000000E+05    0.4065557867E-01    0.5409888078E+00    0.6853892157E+00
    0.9000000000E+05    0.2943760335E-01    0.5765096815E+00    0.6859946788E+00
    0.1100000000E+06    0.2235346106E-01    0.5994891921E+00    0.6863492654E+00
    0.1300000000E+06    0.1763296817E-01    0.6151372717E+00    0.6865722555E+00
    0.1500000000E+06    0.1434166183E-01    0.6262668579E+00    0.6867201857E+00
    0.1700000000E+06    0.1195840710E-01    0.6344759523E+00    0.6868224280E+00
    0.1900000000E+06    0.1017724917E-01    0.6407179013E+00    0.6868953816E+00
    0.2100000000E+06    0.8810160656E-02    0.6455870901E+00    0.6869487523E+00
    0.2300000000E+06    0.7736876185E-02    0.6494687525E+00    0.6869885675E+00
    0.2500000000E+06    0.6877749518E-02    0.6526211690E+00    0.6870187237E+00
    0.2700000000E+06    0.6178410967E-02    0.6552227043E+00    0.6870418275E+00
    0.2900000000E+06    0.5600747441E-02    0.6573997715E+00    0.6870596737E+00
    0.3100000000E+06    0.5117410438E-02    0.6592440337E+00    0.6870735301E+00
    0.3300000000E+06    0.4708365963E-02    0.6608233142E+00    0.6870843117E+00
    0.3500000000E+06    0.4358665884E-02    0.6621887080E+00    0.6870926920E+00
    0.3700000000E+06    0.4056971844E-02    0.6633793323E+00    0.6870991748E+00
    0.3900000000E+06    0.3794555416E-02    0.6644255712E+00    0.6871041430E+00
    0.4100000000E+06    0.3564606958E-02    0.6653513353E+00    0.6871078915E+00
    0.4300000000E+06    0.3361749010E-02    0.6661756656E+00    0.6871106500E+00
    0.4500000000E+06    0.3181687920E-02    0.6669138898E+00    0.6871125996E+00
    0.4700000000E+06    0.3020960593E-02    0.6675784685E+00    0.6871138843E+00
    0.4900000000E+06    0.2876747816E-02    0.6681796238E+00    0.6871146197E+00
    0.1000000000E+06    0.2551641328E-01    0.5891649475E+00    0.6861937274E+00
    0.3000000000E+06    0.5348681012E-02    0.6583588031E+00    0.6870670367E+00
    0.5000000000E+06    0.2810094392E-02    0.6684591188E+00    0.6871148112E+00
    0.7000000000E+06    0.1952783288E-02    0.6721663181E+00    0.6871051742E+00
    0.9000000000E+06    0.1536402544E-02    0.6740633083E+00    0.6870866132E+00
    0.1100000000E+07    0.1291848743E-02    0.6752155930E+00    0.6870674195E+00
    0.1300000000E+07    0.1130540120E-02    0.6759923699E+00    0.6870494403E+00
    0.1500000000E+07    0.1015563922E-02    0.6765537741E+00    0.6870330259E+00
    0.1700000000E+07    0.9289799580E-03    0.6769801629E+00    0.6870181240E+00
    0.1900000000E+07    0.8610660870E-03    0.6773162235E+00    0.6870045794E+00
    0.2100000000E+07    0.8061077637E-03    0.6775887798E+00    0.6869922239E+00
    0.2300000000E+07    0.7605277658E-03    0.6778149135E+00    0.6869809032E+00
    0.2500000000E+07    0.7219715209E-03    0.6780060265E+00    0.6869704835E+00
    0.2700000000E+07    0.6888244743E-03    0.6781700270E+00    0.6869608511E+00
    0.2900000000E+07    0.6599412494E-03    0.6783125778E+00    0.6869519100E+00
    0.3100000000E+07    0.6344857124E-03    0.6784378438E+00    0.6869435789E+00
    0.3300000000E+07    0.6118323864E-03    0.6785489596E+00    0.6869357892E+00
    0.3500000000E+07    0.5915034162E-03    0.6786483318E+00    0.6869284823E+00
    0.3700000000E+07    0.5731269696E-03    0.6787378399E+00    0.6869216079E+00
    0.3900000000E+07    0.5564090164E-03    0.6788189746E+00    0.6869151232E+00
    0.4100000000E+07    0.5411137154E-03    0.6788929341E+00    0.6869089906E+00
    0.4300000000E+07    0.5270494857E-03    0.6789606934E+00    0.6869031778E+00
    0.4500000000E+07    0.5140589241E-03    0.6790230541E+00    0.6868976563E+00
    0.4700000000E+07    0.5020113805E-03    0.6790806821E+00    0.6868924013E+00
    0.4900000000E+07    0.4907974043E-03    0.6791341353E+00    0.6868873908E+00
    0.1000000000E+07    0.1400077425E-02    0.6747019031E+00    0.6870769207E+00
    0.3000000000E+07    0.6468281802E-03    0.6783771555E+00    0.6869476728E+00
    0.5000000000E+07    0.4854735394E-03    0.6791594465E+00    0.6868849710E+00
    0.7000000000E+07    0.4063313395E-03    0.6795300942E+00    0.6868456708E+00
    0.9000000000E+07    0.3570031887E-03    0.6797550552E+00    0.6868177037E+00
    0.1100000000E+08    0.3224329225E-03    0.6799096251E+00    0.6867963102E+00
    0.1300000000E+08    0.2964465634E-03    0.6800240815E+00    0.6867791630E+00
    0.1500000000E+08    0.2759776255E-03    0.6801131885E+00    0.6867649623E+00
    0.1700000000E+08    0.2593057666E-03    0.6801850948E+00    0.6867529139E+00
    0.1900000000E+08    0.2453803971E-03    0.6802447065E+00    0.6867424990E+00
    0.2100000000E+08    0.2335184202E-03    0.6802951743E+00    0.6867333620E+00
    0.2300000000E+08    0.2232536918E-03    0.6803386248E+00    0.6867252487E+00
    0.2500000000E+08    0.2142556515E-03    0.6803765517E+00    0.6867179721E+00
    0.2700000000E+08    0.2062824268E-03    0.6804100388E+00    0.6867113904E+00
    0.2900000000E+08    0.1991523697E-03    0.6804398938E+00    0.6867053943E+00
    0.3100000000E+08    0.1927260275E-03    0.6804667328E+00    0.6866998975E+00
    0.3300000000E+08    0.1868943064E-03    0.6804910347E+00    0.6866948308E+00
    0.3500000000E+08    0.1815704591E-03    0.6805131782E+00    0.6866901380E+00
    0.3700000000E+08    0.1766845166E-03    0.6805334674E+00    0.6866857731E+00
    0.3900000000E+08    0.1721793285E-03    0.6805521494E+00    0.6866816976E+00
    0.4100000000E+08    0.1680076900E-03    0.6805694275E+00    0.6866778792E+00
    0.4300000000E+08    0.1641302187E-03    0.6805854707E+00    0.6866742906E+00
    0.4500000000E+08    0.1605137613E-03    0.6806004209E+00    0.6866709085E+00
    0.4700000000E+08    0.1571301801E-03    0.6806143979E+00    0.6866677128E+00
    0.4900000000E+08    0.1539554167E-03    0.6806275040E+00    0.6866646860E+00
    0.1000000000E+08    0.3383665710E-03    0.6798387077E+00    0.6868063644E+00
    0.3000000000E+08    0.1958586557E-03    0.6804536577E+00    0.6867025882E+00
    0.5000000000E+08    0.1524397554E-03    0.6806337584E+00    0.6866632312E+00
    0.7000000000E+08    0.1293006572E-03    0.6807291125E+00    0.6866401781E+00
    0.9000000000E+08    0.1143555961E-03    0.6807907047E+00    0.6866243540E+00
    0.1100000000E+09    0.1036783436E-03    0.6808348098E+00    0.6866125308E+00
    0.1300000000E+09    0.9555691248E-04    0.6808684641E+00    0.6866032140E+00
    0.1500000000E+09    0.8910920171E-04    0.6808952767E+00    0.6865955986E+00
    0.1700000000E+09    0.8382820908E-04    0.6809173169E+00    0.6865892050E+00
    0.1900000000E+09    0.7939899203E-04    0.6809358688E+00    0.6865837262E+00
    0.2100000000E+09    0.7561418371E-04    0.6809517775E+00    0.6865789549E+00
    0.2300000000E+09    0.7233091262E-04    0.6809656255E+00    0.6865747451E+00
    0.2500000000E+09    0.6944709684E-04    0.6809778290E+00    0.6865709904E+00
    0.2700000000E+09    0.6688758936E-04    0.6809886948E+00    0.6865676112E+00
    0.2900000000E+09    0.6459567439E-04    0.6809984548E+00    0.6865645461E+00
