pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000001786,0.0000004957,0.0000000310,0.0000000859,
0.05,0.0000025000,0.0000009274,0.0000004334,0.0000001608,
0.1,0.0000017857,0.0000007838,0.0000003096,0.0000001359,
0.5,0.0000132143,0.0000049819,0.0000022909,0.0000008637,
1,0.0000226786,0.0000069488,0.0000039317,0.0000012047,
10,0.0002375000,0.0000212204,0.0000411748,0.0000036789,
1e2,0.0024269643,0.0000422187,0.0004207567,0.0000073194,
1e3,0.0249198214,0.0004080254,0.0043202873,0.0000707383,
1e4,0.2431792857,0.0021133954,0.0421593860,0.0003663941,
1e5,1.5859891071,0.0041106990,0.2749589745,0.0007126616,
1e6,3.5323721429,0.0092077232,0.6123985452,0.0015963200,
1e7,4.5537460714,0.0253728114,0.7894715949,0.0043988210,
1e8,7.2761628571,0.0500100088,1.2614502007,0.0086701105,
5,0.0001160714,0.0000190705,0.0000201230,0.0000033062,
50,0.0011823214,0.0000292366,0.0002049761,0.0000050687,
5e2,0.0124383929,0.0002342204,0.0021564131,0.0000406062,
5e3,0.1243644643,0.0011276888,0.0215607569,0.0001955046,
5e4,0.9805196429,0.0026974943,0.1699902441,0.0004676579,
5e5,3.0688158929,0.0075448304,0.5320329547,0.0013080284,
5e6,4.2837885714,0.0223588734,0.7426697367,0.0038763021,
5e7,6.1757341071,0.0418943103,1.0706716139,0.0072631120,
