pressure,muc,muc_err,molkg,molkg_err,_
C6-300-0.01,0.3104450000,0.0061146049,0.0538210751,0.0010600738,
C6-300-0.05,1.4219550000,0.0240752186,0.2465207906,0.0041738606,
C6-300-0.1,2.3139707143,0.0276999352,0.4011673295,0.0048022687,
C6-300-0.5,4.6308892857,0.0701082792,0.8028457215,0.0121544975,
C6-300-1,5.8377442857,0.0928860271,1.0120751618,0.0161034188,
C6-300-10,7.2112923214,0.0181412423,1.2502037578,0.0031451019,
C6-300-1e2,7.8084514286,0.0454303860,1.3537317423,0.0078761527,
C6-300-1e3,7.9867017857,0.0128905076,1.3846345620,0.0022347951,
C6-300-1e4,7.9999323214,0.0001878758,1.3869283070,0.0000325716,
C6-300-1e5,7.9988357143,0.0024302932,1.3867381909,0.0004213339,
C6-300-1e6,7.9997494643,0.0004261180,1.3868966055,0.0000738750,
C6-300-1e7,7.9992046429,0.0018688221,1.3868021512,0.0003239930,
C6-300-1e8,8.0000000000,0.0000000000,1.3869400402,0.0000000000,
C6-300-5,6.9899230357,0.0244861487,1.2118255171,0.0042451025,
C6-300-50,7.7340403571,0.0438418735,1.3408312805,0.0076007562,
C6-300-5e2,7.9689978571,0.0109529300,1.3815652761,0.0018988822,
C6-300-5e3,7.9940353571,0.0063519899,1.3859059650,0.0011012286,
C6-300-5e4,7.9986378571,0.0027367094,1.3867038889,0.0004744565,
C6-300-5e5,7.9999217857,0.0001404577,1.3869264804,0.0000243508,
C6-300-5e6,7.9990908929,0.0024725720,1.3867824306,0.0004286636,
C6-300-5e7,8.0000000000,0.0000000000,1.3869400402,0.0000000000,
