pressure,muc,muc_err,molkg,molkg_err,_
C6-400-0.01,0.0002221429,0.0000199737,0.0000385124,0.0000034628,
C6-400-0.05,0.0011496429,0.0000292912,0.0001993107,0.0000050781,
C6-400-0.1,0.0023410714,0.0000708499,0.0004058657,0.0000122831,
C6-400-0.5,0.0124698214,0.0001606363,0.0021618618,0.0000278491,
C6-400-1,0.0254317857,0.0003013005,0.0044090452,0.0000522357,
C6-400-10,0.2512767857,0.0048130593,0.0435632294,0.0008344281,
C6-400-1e2,1.7644082143,0.0082451247,0.3058910500,0.0014294367,
C6-400-1e3,4.0366962500,0.0665288355,0.6998319574,0.0115339382,
C6-400-1e4,6.6480407143,0.1069475898,1.1525542320,0.0185412368,
C6-400-1e5,7.6356239286,0.0392415435,1.3237690698,0.0068032085,
C6-400-1e6,7.8854798214,0.0198813950,1.3670859626,0.0034467879,
C6-400-1e7,7.9203750000,0.0355329989,1.3731356527,0.0061602674,
C6-400-1e8,7.9977328571,0.0038806591,1.3865469913,0.0006727802,
C6-400-5,0.1263432143,0.0017454176,0.0219038078,0.0003025987,
C6-400-50,1.0706321429,0.0041167410,0.1856128234,0.0007137091,
C6-400-5e2,3.4111032143,0.0117492962,0.5913744537,0.0020369462,
C6-400-5e3,5.9609714286,0.0230246168,1.0334387441,0.0039917204,
C6-400-5e4,7.4169737500,0.0218499957,1.2858622339,0.0037880792,
C6-400-5e5,7.8824546429,0.0561177341,1.3665614950,0.0097289916,
C6-400-5e6,7.8815725000,0.0271068326,1.3664085600,0.0046994439,
C6-400-5e7,7.9891133929,0.0083387386,1.3850526563,0.0014456663,
