pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0004501786,0.0000318127,0.0000780463,0.0000055153,
0.05,0.0024475000,0.0001531577,0.0004243170,0.0000265526,
0.1,0.0049382143,0.0003173456,0.0008561259,0.0000550174,
0.5,0.0243589286,0.0006898533,0.0042230467,0.0001195981,
1,0.0478205357,0.0012811170,0.0082905270,0.0002221041,
5,0.2383387500,0.0092635153,0.0413201944,0.0016059925,
10,0.4688501786,0.0079576624,0.0812833857,0.0013796001,
50,1.8583857143,0.0875033620,0.3221836947,0.0151702395,
1e2,2.6271276786,0.0223587373,0.4554585710,0.0038762785,
5e2,3.6644351786,0.0170321501,0.6352939843,0.0029528214,
1e3,3.8389541071,0.0122165941,0.6655498955,0.0021179604,
5e3,3.9681775000,0.0034640770,0.6879530327,0.0006005584,
1e4,3.9828523214,0.0051915396,0.6904971699,0.0009000443,
5e4,3.9969182143,0.0011915675,0.6929357386,0.0002065791,
1e5,3.9978385714,0.0006744700,0.6930952986,0.0001169312,
5e5,3.9977642857,0.0009864770,0.6930824199,0.0001710231,
1e6,3.9970973214,0.0011607981,0.6929667900,0.0002012447,
5e6,3.9987526786,0.0008400993,0.6932537751,0.0001456459,
1e7,3.9989223214,0.0008651468,0.6932831857,0.0001499883,
5e7,4.0000735714,0.0007686851,0.6934827750,0.0001332650,

