     Pressure (Pa)     22mC5-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1063336263E-02    0.5121234262E-03    0.1685523200E-01
    0.3000000000E+01    0.3176785701E-02    0.1473145472E-02    0.4814505271E-01
    0.5000000000E+01    0.5272809138E-02    0.2359785980E-02    0.7657749500E-01
    0.7000000000E+01    0.7351648247E-02    0.3182055214E-02    0.1025284753E+00
    0.9000000000E+01    0.9413540158E-02    0.3948219853E-02    0.1263106691E+00
    0.1100000000E+02    0.1145871756E-01    0.4665163098E-02    0.1481862771E+00
    0.1300000000E+02    0.1348740882E-01    0.5338659701E-02    0.1683768186E+00
    0.1500000000E+02    0.1549983805E-01    0.5973588384E-02    0.1870707298E+00
    0.1700000000E+02    0.1749622523E-01    0.6574097599E-02    0.2044293199E+00
    0.1900000000E+02    0.1947678632E-01    0.7143736100E-02    0.2205914855E+00
    0.2100000000E+02    0.2144173330E-01    0.7685556703E-02    0.2356774746E+00
    0.2300000000E+02    0.2339127431E-01    0.8202199406E-02    0.2497919159E+00
    0.2500000000E+02    0.2532561370E-01    0.8695958491E-02    0.2630262773E+00
    0.2700000000E+02    0.2724495216E-01    0.9168837061E-02    0.2754608726E+00
    0.2900000000E+02    0.2914948673E-01    0.9622591663E-02    0.2871665135E+00
    0.3100000000E+02    0.3103941098E-01    0.1005876903E-01    0.2982058746E+00
    0.3300000000E+02    0.3291491498E-01    0.1047873651E-01    0.3086346313E+00
    0.3500000000E+02    0.3477618547E-01    0.1088370737E-01    0.3185024105E+00
    0.3700000000E+02    0.3662340588E-01    0.1127476202E-01    0.3278535911E+00
    0.3900000000E+02    0.3845675641E-01    0.1165286580E-01    0.3367279805E+00
    0.4100000000E+02    0.4027641412E-01    0.1201888406E-01    0.3451613893E+00
    0.4300000000E+02    0.4208255298E-01    0.1237359492E-01    0.3531861204E+00
    0.4500000000E+02    0.4387534393E-01    0.1271770016E-01    0.3608313894E+00
    0.4700000000E+02    0.4565495497E-01    0.1305183450E-01    0.3681236846E+00
    0.4900000000E+02    0.4742155122E-01    0.1337657363E-01    0.3750870788E+00
    0.1000000000E+02    0.1043820380E-01    0.4312459999E-02    0.1374720961E+00
    0.3000000000E+02    0.3009626319E-01    0.9842788158E-02    0.2927658472E+00
    0.5000000000E+02    0.4830001962E-01    0.1353558544E-01    0.3784523673E+00
    0.7000000000E+02    0.6522427245E-01    0.1632765664E-01    0.4328976504E+00
    0.9000000000E+02    0.8101619724E-01    0.1856663528E-01    0.4706207689E+00
