     Pressure (Pa)     22mC5-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3179272056E-02    0.7787246740E-03    0.3437492941E-02
    0.3000000000E+01    0.9435258298E-02    0.2297775770E-02    0.1019161788E-01
    0.5000000000E+01    0.1555840956E-01    0.3767346934E-02    0.1678938605E-01
    0.7000000000E+01    0.2155322806E-01    0.5189409798E-02    0.2323630888E-01
    0.9000000000E+01    0.2742401161E-01    0.6565839041E-02    0.2953764012E-01
    0.1100000000E+02    0.3317486512E-01    0.7898418098E-02    0.3569839078E-01
    0.1300000000E+02    0.3880971119E-01    0.9188844495E-02    0.4172334300E-01
    0.1500000000E+02    0.4433230017E-01    0.1043873480E-01    0.4761706300E-01
    0.1700000000E+02    0.4974621944E-01    0.1164962927E-01    0.5338391315E-01
    0.1900000000E+02    0.5505490218E-01    0.1282299613E-01    0.5902806323E-01
    0.2100000000E+02    0.6026163552E-01    0.1396023567E-01    0.6455350099E-01
    0.2300000000E+02    0.6536956826E-01    0.1506268394E-01    0.6996404197E-01
    0.2500000000E+02    0.7038171804E-01    0.1613161633E-01    0.7526333872E-01
    0.2700000000E+02    0.7530097807E-01    0.1716825086E-01    0.8045488945E-01
    0.2900000000E+02    0.8013012354E-01    0.1817375126E-01    0.8554204609E-01
    0.3100000000E+02    0.8487181750E-01    0.1914922985E-01    0.9052802189E-01
    0.3300000000E+02    0.8952861653E-01    0.2009575029E-01    0.9541589852E-01
    0.3500000000E+02    0.9410297600E-01    0.2101433012E-01    0.1002086328E+00
    0.3700000000E+02    0.9859725501E-01    0.2190594313E-01    0.1049090628E+00
    0.3900000000E+02    0.1030137211E+00    0.2277152163E-01    0.1095199141E+00
    0.4100000000E+02    0.1073545546E+00    0.2361195856E-01    0.1140438051E+00
    0.4300000000E+02    0.1116218529E+00    0.2442810947E-01    0.1184832519E+00
    0.4500000000E+02    0.1158176343E+00    0.2522079439E-01    0.1228406742E+00
    0.4700000000E+02    0.1199438416E+00    0.2599079961E-01    0.1271183989E+00
    0.4900000000E+02    0.1240023459E+00    0.2673887931E-01    0.1313186650E+00
    0.1000000000E+02    0.3031418031E-01    0.7237501794E-02    0.3263528393E-01
    0.3000000000E+02    0.8251173974E-01    0.1866517569E-01    0.8804748599E-01
    0.5000000000E+02    0.1260067752E+00    0.2710492438E-01    0.1333904277E+00
    0.7000000000E+02    0.1629462020E+00    0.3343596891E-01    0.1712428012E+00
    0.9000000000E+02    0.1948094917E+00    0.3824026824E-01    0.2033667169E+00
    0.1100000000E+03    0.2226503002E+00    0.4191555080E-01    0.2310078567E+00
    0.1300000000E+03    0.2472403746E+00    0.4474102497E-01    0.2550722060E+00
    0.1500000000E+03    0.2691588210E+00    0.4691721210E-01    0.2762347909E+00
    0.1700000000E+03    0.2888494408E+00    0.4859096574E-01    0.2950091125E+00
    0.1900000000E+03    0.3066586893E+00    0.4987167327E-01    0.3117929178E+00
    0.2100000000E+03    0.3228614814E+00    0.5084202951E-01    0.3268992163E+00
    0.2300000000E+03    0.3376791519E+00    0.5156536936E-01    0.3405778122E+00
    0.2500000000E+03    0.3512922201E+00    0.5209076202E-01    0.3530305741E+00
    0.2700000000E+03    0.3638496362E+00    0.5245661539E-01    0.3644224719E+00
    0.2900000000E+03    0.3754755914E+00    0.5269326846E-01    0.3748896901E+00
    0.3100000000E+03    0.3862746150E+00    0.5282488335E-01    0.3845456852E+00
    0.3300000000E+03    0.3963354414E+00    0.5287084488E-01    0.3934857695E+00
    0.3500000000E+03    0.4057339834E+00    0.5284680824E-01    0.4017906256E+00
    0.3700000000E+03    0.4145356453E+00    0.5276549206E-01    0.4095290314E+00
    0.3900000000E+03    0.4227971423E+00    0.5263728482E-01    0.4167599950E+00
    0.4100000000E+03    0.4305679466E+00    0.5247071276E-01    0.4235344452E+00
    0.4300000000E+03    0.4378914473E+00    0.5227280408E-01    0.4298965803E+00
    0.4500000000E+03    0.4448058884E+00    0.5204937464E-01    0.4358849549E+00
    0.4700000000E+03    0.4513451353E+00    0.5180525369E-01    0.4415333610E+00
    0.4900000000E+03    0.4575393039E+00    0.5154446348E-01    0.4468715491E+00
    0.1000000000E+03    0.2091791077E+00    0.4019936714E-01    0.2176845655E+00
    0.3000000000E+03    0.3809725921E+00    0.5277089588E-01    0.3798127539E+00
    0.5000000000E+03    0.4605154998E+00    0.5140888968E-01    0.4494326513E+00
    0.7000000000E+03    0.5071468982E+00    0.4839429308E-01    0.4893859713E+00
    0.9000000000E+03    0.5378124336E+00    0.4544559095E-01    0.5157807347E+00
    0.1100000000E+04    0.5594704793E+00    0.4284016821E-01    0.5347385173E+00
    0.1300000000E+04    0.5755477909E+00    0.4058150933E-01    0.5491308263E+00
    0.1500000000E+04    0.5879334870E+00    0.3862099029E-01    0.5604969452E+00
    0.1700000000E+04    0.5977544790E+00    0.3690717971E-01    0.5697422330E+00
    0.1900000000E+04    0.6057239763E+00    0.3539628679E-01    0.5774369118E+00
    0.2100000000E+04    0.6123148222E+00    0.3405307719E-01    0.5839595363E+00
    0.2300000000E+04    0.6178525236E+00    0.3284960321E-01    0.5895721409E+00
    0.2500000000E+04    0.6225682615E+00    0.3176368041E-01    0.5944623751E+00
    0.2700000000E+04    0.6266306064E+00    0.3077758146E-01    0.5987684624E+00
    0.2900000000E+04    0.6301652784E+00    0.2987701363E-01    0.6025946686E+00
    0.3100000000E+04    0.6332678898E+00    0.2905034205E-01    0.6060212585E+00
    0.3300000000E+04    0.6360124096E+00    0.2828800450E-01    0.6091111161E+00
    0.3500000000E+04    0.6384569333E+00    0.2758206974E-01    0.6119142706E+00
    0.3700000000E+04    0.6406477063E+00    0.2692590225E-01    0.6144710653E+00
    0.3900000000E+04    0.6426219860E+00    0.2631390547E-01    0.6168144261E+00
    0.4100000000E+04    0.6444101152E+00    0.2574132362E-01    0.6189715150E+00
    0.4300000000E+04    0.6460370491E+00    0.2520408707E-01    0.6209649561E+00
    0.4500000000E+04    0.6475234956E+00    0.2469869088E-01    0.6228137592E+00
    0.4700000000E+04    0.6488867783E+00    0.2422209821E-01    0.6245340237E+00
    0.4900000000E+04    0.6501414985E+00    0.2377166321E-01    0.6261394836E+00
    0.1000000000E+04    0.5495031032E+00    0.4409739987E-01    0.5259655694E+00
    0.3000000000E+04    0.6317655393E+00    0.2945508126E-01    0.6043536390E+00
    0.5000000000E+04    0.6507320947E+00    0.2355551932E-01    0.6269029135E+00
    0.7000000000E+04    0.6590535799E+00    0.2017023695E-01    0.6382910712E+00
    0.9000000000E+04    0.6637119798E+00    0.1790355121E-01    0.6453446783E+00
    0.1100000000E+05    0.6666854792E+00    0.1624942100E-01    0.6502163990E+00
    0.1300000000E+05    0.6687467326E+00    0.1497379397E-01    0.6538189483E+00
    0.1500000000E+05    0.6702590995E+00    0.1395141359E-01    0.6566110085E+00
    0.1700000000E+05    0.6714157721E+00    0.1310833862E-01    0.6588504231E+00
    0.1900000000E+05    0.6723288811E+00    0.1239771632E-01    0.6606942047E+00
    0.2100000000E+05    0.6730679473E+00    0.1178822039E-01    0.6622438931E+00
    0.2300000000E+05    0.6736783529E+00    0.1125800289E-01    0.6635683122E+00
    0.2500000000E+05    0.6741909752E+00    0.1079129826E-01    0.6647159057E+00
    0.2700000000E+05    0.6746275498E+00    0.1037640564E-01    0.6657218462E+00
    0.2900000000E+05    0.6750038189E+00    0.1000443357E-01    0.6666123421E+00
    0.3100000000E+05    0.6753314626E+00    0.9668488204E-02    0.6674073577E+00
    0.3300000000E+05    0.6756193293E+00    0.9363131071E-02    0.6681223918E+00
    0.3500000000E+05    0.6758742445E+00    0.9084006528E-02    0.6687696766E+00
    0.3700000000E+05    0.6761015573E+00    0.8827579520E-02    0.6693590067E+00
    0.3900000000E+05    0.6763055189E+00    0.8590947006E-02    0.6698983258E+00
    0.4100000000E+05    0.6764895505E+00    0.8371699785E-02    0.6703941508E+00
    0.4300000000E+05    0.6766564365E+00    0.8167819534E-02    0.6708518823E+00
    0.4500000000E+05    0.6768084657E+00    0.7977600916E-02    0.6712760379E+00
    0.4700000000E+05    0.6769475371E+00    0.7799591856E-02    0.6716704279E+00
    0.4900000000E+05    0.6770752394E+00    0.7632547178E-02    0.6720382910E+00
    0.1000000000E+05    0.6653467208E+00    0.1701817327E-01    0.6479806945E+00
    0.3000000000E+05    0.6751731106E+00    0.9832326546E-02    0.6670207279E+00
    0.5000000000E+05    0.6771352540E+00    0.7552794819E-02    0.6722131569E+00
    0.7000000000E+05    0.6779750925E+00    0.6336016194E-02    0.6748197510E+00
    0.9000000000E+05    0.6784413992E+00    0.5552573750E-02    0.6764368368E+00
    0.1100000000E+06    0.6787380757E+00    0.4995161986E-02    0.6775579303E+00
    0.1300000000E+06    0.6789434649E+00    0.4572977818E-02    0.6783906147E+00
    0.1500000000E+06    0.6790941006E+00    0.4239177542E-02    0.6790388711E+00
    0.1700000000E+06    0.6792093149E+00    0.3966843939E-02    0.6795610967E+00
    0.1900000000E+06    0.6793002960E+00    0.3739273237E-02    0.6799928643E+00
    0.2100000000E+06    0.6793739681E+00    0.3545482628E-02    0.6803572038E+00
    0.2300000000E+06    0.6794348465E+00    0.3377917399E-02    0.6806697483E+00
    0.2500000000E+06    0.6794860009E+00    0.3231188993E-02    0.6809415215E+00
    0.2700000000E+06    0.6795295917E+00    0.3101337686E-02    0.6811805423E+00
    0.2900000000E+06    0.6795671831E+00    0.2985380284E-02    0.6813927981E+00
    0.3100000000E+06    0.6795999355E+00    0.2881021219E-02    0.6815828593E+00
    0.3300000000E+06    0.6796287282E+00    0.2786461607E-02    0.6817542811E+00
    0.3500000000E+06    0.6796542395E+00    0.2700269293E-02    0.6819098754E+00
    0.3700000000E+06    0.6796770011E+00    0.2621288148E-02    0.6820518982E+00
    0.3900000000E+06    0.6796974355E+00    0.2548573334E-02    0.6821821828E+00
    0.4100000000E+06    0.6797158830E+00    0.2481344188E-02    0.6823022362E+00
    0.4300000000E+06    0.6797326205E+00    0.2418949339E-02    0.6824133097E+00
    0.4500000000E+06    0.6797478757E+00    0.2360840454E-02    0.6825164519E+00
    0.4700000000E+06    0.6797618376E+00    0.2306552228E-02    0.6826125490E+00
    0.4900000000E+06    0.6797746644E+00    0.2255686912E-02    0.6827023553E+00
    0.1000000000E+06    0.6786045745E+00    0.5252779452E-02    0.6770428551E+00
    0.3000000000E+06    0.6795841037E+00    0.2931873275E-02    0.6814903607E+00
    0.5000000000E+06    0.6797806946E+00    0.2231428991E-02    0.6827451053E+00
    0.7000000000E+06    0.6798652552E+00    0.1863411304E-02    0.6833873382E+00
    0.9000000000E+06    0.6799123923E+00    0.1628440098E-02    0.6837910902E+00
    0.1100000000E+07    0.6799424831E+00    0.1462153916E-02    0.6840737940E+00
    0.1300000000E+07    0.6799633769E+00    0.1336682759E-02    0.6842854210E+00
    0.1500000000E+07    0.6799787419E+00    0.1237758802E-02    0.6844512352E+00
    0.1700000000E+07    0.6799905228E+00    0.1157229135E-02    0.6845855344E+00
    0.1900000000E+07    0.6799998473E+00    0.1090056027E-02    0.6846970853E+00
    0.2100000000E+07    0.6800074141E+00    0.1032938457E-02    0.6847915955E+00
    0.2300000000E+07    0.6800136798E+00    0.9836121226E-03    0.6848729588E+00
    0.2500000000E+07    0.6800189549E+00    0.9404657565E-03    0.6849439331E+00
    0.2700000000E+07    0.6800234585E+00    0.9023177078E-03    0.6850065324E+00
    0.2900000000E+07    0.6800273493E+00    0.8682792821E-03    0.6850622661E+00
    0.3100000000E+07    0.6800307451E+00    0.8376676668E-03    0.6851122901E+00
    0.3300000000E+07    0.6800337354E+00    0.8099485040E-03    0.6851575061E+00
    0.3500000000E+07    0.6800363893E+00    0.7846968819E-03    0.6851986296E+00
    0.3700000000E+07    0.6800387608E+00    0.7615701526E-03    0.6852362358E+00
    0.3900000000E+07    0.6800408932E+00    0.7402885614E-03    0.6852707934E+00
    0.4100000000E+07    0.6800428212E+00    0.7206211687E-03    0.6853026886E+00
    0.4300000000E+07    0.6800445730E+00    0.7023754373E-03    0.6853322427E+00
    0.4500000000E+07    0.6800461719E+00    0.6853894084E-03    0.6853597254E+00
    0.4700000000E+07    0.6800476374E+00    0.6695257400E-03    0.6853853651E+00
    0.4900000000E+07    0.6800489856E+00    0.6546671050E-03    0.6854093567E+00
    0.1000000000E+07    0.6799289310E+00    0.1538915926E-02    0.6839436053E+00
    0.3000000000E+07    0.6800291029E+00    0.8525814725E-03    0.6850879304E+00
    0.5000000000E+07    0.6800496200E+00    0.6475825823E-03    0.6854207876E+00
    0.7000000000E+07    0.6800585708E+00    0.5402303912E-03    0.6855933518E+00
    0.9000000000E+07    0.6800636198E+00    0.4718103525E-03    0.6857026864E+00
    0.1100000000E+08    0.6800668770E+00    0.4234460275E-03    0.6857796598E+00
    0.1300000000E+08    0.6800691605E+00    0.3869826190E-03    0.6858375179E+00
    0.1500000000E+08    0.6800708548E+00    0.3582519425E-03    0.6858829983E+00
    0.1700000000E+08    0.6800721649E+00    0.3348749822E-03    0.6859199326E+00
    0.1900000000E+08    0.6800732101E+00    0.3153830522E-03    0.6859506793E+00
    0.2100000000E+08    0.6800740647E+00    0.2988144779E-03    0.6859767786E+00
    0.2300000000E+08    0.6800747775E+00    0.2845100014E-03    0.6859992847E+00
    0.2500000000E+08    0.6800753818E+00    0.2720007338E-03    0.6860189455E+00
    0.2700000000E+08    0.6800759013E+00    0.2609429560E-03    0.6860363089E+00
    0.2900000000E+08    0.6800763530E+00    0.2510782610E-03    0.6860517858E+00
    0.3100000000E+08    0.6800767497E+00    0.2422081719E-03    0.6860656917E+00
    0.3300000000E+08    0.6800771013E+00    0.2341774095E-03    0.6860782730E+00
    0.3500000000E+08    0.6800774151E+00    0.2268625310E-03    0.6860897256E+00
    0.3700000000E+08    0.6800776972E+00    0.2201640159E-03    0.6861002070E+00
    0.3900000000E+08    0.6800779523E+00    0.2140006284E-03    0.6861098458E+00
    0.4100000000E+08    0.6800781842E+00    0.2083053208E-03    0.6861187481E+00
    0.4300000000E+08    0.6800783961E+00    0.2030222045E-03    0.6861270023E+00
    0.4500000000E+08    0.6800785906E+00    0.1981042750E-03    0.6861346825E+00
    0.4700000000E+08    0.6800787697E+00    0.1935116784E-03    0.6861418517E+00
    0.4900000000E+08    0.6800789354E+00    0.1892103733E-03    0.6861485635E+00
    0.1000000000E+08    0.6800654060E+00    0.4457665964E-03    0.6857441684E+00
    0.3000000000E+08    0.6800765576E+00    0.2465294545E-03    0.6860589183E+00
    0.5000000000E+08    0.6800790136E+00    0.1871596449E-03    0.6861517626E+00
    0.7000000000E+08    0.6800801427E+00    0.1560936388E-03    0.6862001523E+00
    0.9000000000E+08    0.6800808083E+00    0.1363024986E-03    0.6862309058E+00
