     Pressure (Pa)     22mC5-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7377019612E-02    0.1288434175E-03    0.6845987607E-02
    0.3000000000E+01    0.2165576905E-01    0.3747815703E-03    0.2013034823E-01
    0.5000000000E+01    0.3533432276E-01    0.6059959455E-03    0.3289773343E-01
    0.7000000000E+01    0.4844998667E-01    0.8235304012E-03    0.4517782370E-01
    0.9000000000E+01    0.6103703195E-01    0.1028340030E-02    0.5699806869E-01
    0.1100000000E+02    0.7312699727E-01    0.1221300034E-02    0.6838389290E-01
    0.1300000000E+02    0.8474895576E-01    0.1403213577E-02    0.7935887918E-01
    0.1500000000E+02    0.9592975129E-01    0.1574818742E-02    0.8994493247E-01
    0.1700000000E+02    0.1066942081E+00    0.1736794726E-02    0.1001624265E+00
    0.1900000000E+02    0.1170653172E+00    0.1889767340E-02    0.1100303353E+00
    0.2100000000E+02    0.1270644027E+00    0.2034313933E-02    0.1195663514E+00
    0.2300000000E+02    0.1367112700E+00    0.2170967785E-02    0.1287869922E+00
    0.2500000000E+02    0.1460243389E+00    0.2300222039E-02    0.1377076961E+00
    0.2700000000E+02    0.1550207626E+00    0.2422533243E-02    0.1463429090E+00
    0.2900000000E+02    0.1637165348E+00    0.2538324516E-02    0.1547061631E+00
    0.3100000000E+02    0.1721265862E+00    0.2647988413E-02    0.1628101477E+00
    0.3300000000E+02    0.1802648716E+00    0.2751889500E-02    0.1706667742E+00
    0.3500000000E+02    0.1881444479E+00    0.2850366685E-02    0.1782872345E+00
    0.3700000000E+02    0.1957775457E+00    0.2943735323E-02    0.1856820547E+00
    0.3900000000E+02    0.2031756338E+00    0.3032289123E-02    0.1928611440E+00
    0.4100000000E+02    0.2103494773E+00    0.3116301881E-02    0.1998338390E+00
    0.4300000000E+02    0.2173091910E+00    0.3196029052E-02    0.2066089447E+00
    0.4500000000E+02    0.2240642880E+00    0.3271709179E-02    0.2131947717E+00
    0.4700000000E+02    0.2306237235E+00    0.3343565195E-02    0.2195991705E+00
    0.4900000000E+02    0.2369959357E+00    0.3411805613E-02    0.2258295628E+00
    0.1000000000E+02    0.6714227766E-01    0.1126249435E-02    0.6274376831E-01
    0.3000000000E+02    0.1679563815E+00    0.2593898973E-02    0.1587898021E+00
    0.5000000000E+02    0.2401143376E+00    0.3444631458E-02    0.2288817159E+00
    0.7000000000E+02    0.2943640114E+00    0.3952592982E-02    0.2823091456E+00
    0.9000000000E+02    0.3366632757E+00    0.4258693413E-02    0.3243981266E+00
    0.1100000000E+03    0.3705838196E+00    0.4440586109E-02    0.3584217656E+00
    0.1300000000E+03    0.3983988752E+00    0.4543444608E-02    0.3865027421E+00
    0.1500000000E+03    0.4216252138E+00    0.4594710697E-02    0.4100781192E+00
    0.1700000000E+03    0.4413142818E+00    0.4611654174E-02    0.4301556047E+00
    0.1900000000E+03    0.4582183103E+00    0.4605465597E-02    0.4474628428E+00
    0.2100000000E+03    0.4728899026E+00    0.4583574933E-02    0.4625384473E+00
    0.2300000000E+03    0.4857442671E+00    0.4551016578E-02    0.4757896837E+00
    0.2500000000E+03    0.4970994973E+00    0.4511259884E-02    0.4875302368E+00
    0.2700000000E+03    0.5072034445E+00    0.4466729137E-02    0.4980056507E+00
    0.2900000000E+03    0.5162521209E+00    0.4419137366E-02    0.5074108935E+00
    0.3100000000E+03    0.5244025973E+00    0.4369705419E-02    0.5159027537E+00
    0.3300000000E+03    0.5317822272E+00    0.4319308586E-02    0.5236087581E+00
    0.3500000000E+03    0.5384953640E+00    0.4268576458E-02    0.5306337010E+00
    0.3700000000E+03    0.5446283339E+00    0.4217962003E-02    0.5370644984E+00
    0.3900000000E+03    0.5502531698E+00    0.4167790027E-02    0.5429738489E+00
    0.4100000000E+03    0.5554304537E+00    0.4118291596E-02    0.5484230298E+00
    0.4300000000E+03    0.5602115063E+00    0.4069628763E-02    0.5534640575E+00
    0.4500000000E+03    0.5646400922E+00    0.4021912519E-02    0.5581413759E+00
    0.4700000000E+03    0.5687537613E+00    0.3975215928E-02    0.5624931871E+00
    0.4900000000E+03    0.5725849146E+00    0.3929583831E-02    0.5665525118E+00
    0.1000000000E+03    0.3545064080E+00    0.4361802573E-02    0.3422653096E+00
    0.3000000000E+03    0.5204310668E+00    0.4394589961E-02    0.5117624263E+00
    0.5000000000E+03    0.5744034786E+00    0.3907175077E-02    0.5684816066E+00
    0.7000000000E+03    0.6011322123E+00    0.3514486784E-02    0.5970204180E+00
    0.9000000000E+03    0.6170795097E+00    0.3210278525E-02    0.6142467806E+00
    0.1100000000E+04    0.6276706696E+00    0.2969080398E-02    0.6257937409E+00
    0.1300000000E+04    0.6352148219E+00    0.2772741011E-02    0.6340823272E+00
    0.1500000000E+04    0.6408609351E+00    0.2609248749E-02    0.6403267381E+00
    0.1700000000E+04    0.6452449803E+00    0.2470526730E-02    0.6452035567E+00
    0.1900000000E+04    0.6487474306E+00    0.2350979077E-02    0.6491199070E+00
    0.2100000000E+04    0.6516098307E+00    0.2246610897E-02    0.6523355813E+00
    0.2300000000E+04    0.6539928915E+00    0.2154492022E-02    0.6550242275E+00
    0.2500000000E+04    0.6560076873E+00    0.2072421557E-02    0.6573063615E+00
    0.2700000000E+04    0.6577334424E+00    0.1998711740E-02    0.6592682691E+00
    0.2900000000E+04    0.6592281812E+00    0.1932044622E-02    0.6609733685E+00
    0.3100000000E+04    0.6605353740E+00    0.1871374516E-02    0.6624693252E+00
    0.3300000000E+04    0.6616882300E+00    0.1815860006E-02    0.6637926638E+00
    0.3500000000E+04    0.6627125561E+00    0.1764815525E-02    0.6649718479E+00
    0.3700000000E+04    0.6636287100E+00    0.1717676225E-02    0.6660293910E+00
    0.3900000000E+04    0.6644529663E+00    0.1673972024E-02    0.6669833364E+00
    0.4100000000E+04    0.6651984913E+00    0.1633308155E-02    0.6678483161E+00
    0.4300000000E+04    0.6658760508E+00    0.1595350365E-02    0.6686363218E+00
    0.4500000000E+04    0.6664945338E+00    0.1559813514E-02    0.6693572756E+00
    0.4700000000E+04    0.6670613438E+00    0.1526452690E-02    0.6700194590E+00
    0.4900000000E+04    0.6675826972E+00    0.1495056210E-02    0.6706298389E+00
    0.1000000000E+04    0.6228606546E+00    0.3083111776E-02    0.6205377619E+00
