pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0541964286,0.0009926761,0.0093958996,0.0001720978,
0.05,0.2749982143,0.0045793395,0.0476757543,0.0007939087,
0.1,0.5241050000,0.0078811626,0.0908627762,0.0013663375,
0.5,1.8954726786,0.0393895847,0.3286133691,0.0068288740,
1,2.6415373214,0.0043860931,0.4579567349,0.0007604060,
5,3.6629342857,0.0188248563,0.6350337782,0.0032636184,
10,3.8323912500,0.0061184432,0.6644121093,0.0010607392,
50,4.0146869643,0.0147086628,0.6960162625,0.0025500042,
1e2,4.0602676786,0.0059488902,0.7039184772,0.0010313443,
5e2,4.4282926786,0.0520180758,0.7677220532,0.0090182440,
1e3,4.8456467857,0.1030727625,0.8400776935,0.0178694677,
5e3,6.3699892857,0.0742593024,1.1043491495,0.0128741500,
1e4,6.6579183929,0.0877596278,1.1542667005,0.0152146677,
5e4,6.9324582143,0.0321174783,1.2018629843,0.0055681271,
1e5,6.9561914286,0.0084460228,1.2059775525,0.0014642659,
5e5,6.9491203571,0.0144597569,1.2047516585,0.0025068520,
1e6,6.9446266071,0.0265967583,1.2039725883,0.0046110136,
5e6,6.9572476786,0.0306779019,1.2061606719,0.0053185513,
1e7,6.9683100000,0.0220138097,1.2080785190,0.0038164793,
5e7,6.9974346429,0.0047472331,1.2131277856,0.0008230160,
1e8,7.0000000000,0.0000000000,1.2135725352,0.0000000000,
