     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7359138531E-02    0.2380416418E-02    0.1845990343E-03    0.1719690971E-02
    0.3000000000E+01    0.2150453340E-01    0.6964453840E-02    0.5394386243E-03    0.5104160319E-02
    0.5000000000E+01    0.3493900598E-01    0.1132850015E-01    0.8764596717E-03    0.8417489229E-02
    0.7000000000E+01    0.4771995140E-01    0.1548963182E-01    0.1197100413E-02    0.1166206977E-01
    0.9000000000E+01    0.5989861979E-01    0.1946311098E-01    0.1502645118E-02    0.1484018606E-01
    0.1100000000E+02    0.7152091492E-01    0.2326262366E-01    0.1794244099E-02    0.1795402034E-01
    0.1300000000E+02    0.8262807220E-01    0.2690048157E-01    0.2072930695E-02    0.2100565864E-01
    0.1500000000E+02    0.9325723681E-01    0.3038779357E-01    0.2339635761E-02    0.2399709605E-01
    0.1700000000E+02    0.1034419585E+00    0.3373461213E-01    0.2595200058E-02    0.2693024170E-01
    0.1900000000E+02    0.1132126166E+00    0.3695005881E-01    0.2840384909E-02    0.2980692332E-01
    0.2100000000E+02    0.1225967868E+00    0.4004243218E-01    0.3075881382E-02    0.3262889160E-01
    0.2300000000E+02    0.1316195580E+00    0.4301930102E-01    0.3302318232E-02    0.3539782426E-01
    0.2500000000E+02    0.1403038078E+00    0.4588758508E-01    0.3520268803E-02    0.3811532977E-01
    0.2700000000E+02    0.1486704419E+00    0.4865362518E-01    0.3730257027E-02    0.4078295100E-01
    0.2900000000E+02    0.1567386035E+00    0.5132324443E-01    0.3932762674E-02    0.4340216847E-01
    0.3100000000E+02    0.1645258569E+00    0.5390180175E-01    0.4128225939E-02    0.4597440358E-01
    0.3300000000E+02    0.1720483478E+00    0.5639423874E-01    0.4317051480E-02    0.4850102148E-01
    0.3500000000E+02    0.1793209458E+00    0.5880512098E-01    0.4499611966E-02    0.5098333387E-01
    0.3700000000E+02    0.1863573689E+00    0.6113867446E-01    0.4676251214E-02    0.5342260164E-01
    0.3900000000E+02    0.1931702946E+00    0.6339881774E-01    0.4847286962E-02    0.5582003728E-01
    0.4100000000E+02    0.1997714578E+00    0.6558919050E-01    0.5013013333E-02    0.5817680723E-01
    0.4300000000E+02    0.2061717384E+00    0.6771317893E-01    0.5173703017E-02    0.6049403406E-01
    0.4500000000E+02    0.2123812389E+00    0.6977393829E-01    0.5329609225E-02    0.6277279850E-01
    0.4700000000E+02    0.2184093540E+00    0.7177441308E-01    0.5480967426E-02    0.6501414141E-01
    0.4900000000E+02    0.2242648324E+00    0.7371735515E-01    0.5627996906E-02    0.6721906565E-01
    0.1000000000E+02    0.6577663460E-01    0.2138381359E-01    0.1650120679E-02    0.1640500588E-01
    0.3000000000E+02    0.1606663031E+00    0.5262358771E-01    0.4031348524E-02    0.4469407222E-01
    0.5000000000E+02    0.2271304041E+00    0.7466806269E-01    0.5699952823E-02    0.6830817417E-01
    0.7000000000E+02    0.2770947639E+00    0.9120764104E-01    0.6954834307E-02    0.8839590414E-01
    0.9000000000E+02    0.3164280417E+00    0.1041234071E+00    0.7943096501E-02    0.1057524587E+00
    0.1100000000E+03    0.3483979092E+00    0.1144971909E+00    0.8746654978E-02    0.1209465747E+00
    0.1300000000E+03    0.3749958080E+00    0.1230052957E+00    0.9415437284E-02    0.1343962792E+00
    0.1500000000E+03    0.3975209023E+00    0.1300968683E+00    0.9982018336E-02    0.1464160541E+00
    0.1700000000E+03    0.4168663079E+00    0.1360841413E+00    0.1046879441E-01    0.1572472755E+00
    0.1900000000E+03    0.4336716833E+00    0.1411920682E+00    0.1089180783E-01    0.1670784736E+00
    0.2100000000E+03    0.4484103232E+00    0.1455874547E+00    0.1126293000E-01    0.1760591817E+00
    0.2300000000E+03    0.4614417548E+00    0.1493969593E+00    0.1159117989E-01    0.1843096280E+00
    0.2500000000E+03    0.4730450342E+00    0.1527186933E+00    0.1188355866E-01    0.1919276604E+00
    0.2700000000E+03    0.4834406788E+00    0.1556299588E+00    0.1214559949E-01    0.1989937852E+00
    0.2900000000E+03    0.4928056080E+00    0.1581925650E+00    0.1238174219E-01    0.2055748968E+00
    0.3100000000E+03    0.5012836167E+00    0.1604565715E+00    0.1259559577E-01    0.2117270769E+00
    0.3300000000E+03    0.5089929006E+00    0.1624629839E+00    0.1279012707E-01    0.2174977275E+00
    0.3500000000E+03    0.5160315769E+00    0.1642457302E+00    0.1296779930E-01    0.2229272134E+00
    0.3700000000E+03    0.5224818118E+00    0.1658331362E+00    0.1313067545E-01    0.2280501431E+00
    0.3900000000E+03    0.5284129540E+00    0.1672490426E+00    0.1328049692E-01    0.2328963773E+00
    0.4100000000E+03    0.5338839491E+00    0.1685136622E+00    0.1341874406E-01    0.2374918311E+00
    0.4300000000E+03    0.5389452225E+00    0.1696442465E+00    0.1354668342E-01    0.2418591171E+00
    0.4500000000E+03    0.5436401646E+00    0.1706556089E+00    0.1366540496E-01    0.2460180659E+00
    0.4700000000E+03    0.5480063136E+00    0.1715605405E+00    0.1377585175E-01    0.2499861499E+00
    0.4900000000E+03    0.5520763071E+00    0.1723701423E+00    0.1387884388E-01    0.2537788313E+00
    0.1000000000E+03    0.3331879427E+00    0.1095789727E+00    0.8364317011E-02    0.1135908183E+00
    0.3000000000E+03    0.4971475629E+00    0.1593591442E+00    0.1249125647E-01    0.2087014585E+00
    0.5000000000E+03    0.5540092976E+00    0.1727422689E+00    0.1392777190E-01    0.2556137501E+00
    0.7000000000E+03    0.5824418835E+00    0.1769812737E+00    0.1464870463E-01    0.2857504676E+00
    0.9000000000E+03    0.5993414268E+00    0.1777852437E+00    0.1507879986E-01    0.3076642558E+00
    0.1100000000E+04    0.6104872135E+00    0.1770633475E+00    0.1536352830E-01    0.3247713725E+00
    0.1300000000E+04    0.6183687256E+00    0.1756084719E+00    0.1556563169E-01    0.3387490282E+00
    0.1500000000E+04    0.6242272086E+00    0.1737946615E+00    0.1571643192E-01    0.3505357486E+00
    0.1700000000E+04    0.6287482395E+00    0.1718134397E+00    0.1583325069E-01    0.3607065885E+00
    0.1900000000E+04    0.6323403627E+00    0.1697682682E+00    0.1592642322E-01    0.3696381793E+00
    0.2100000000E+04    0.6352617507E+00    0.1677168895E+00    0.1600248889E-01    0.3775900998E+00
    0.2300000000E+04    0.6376833581E+00    0.1656919836E+00    0.1606578339E-01    0.3847486005E+00
