     Pressure (Pa)     22mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3181683689E-02    0.2338184894E-01
    0.3000000000E+01    0.9456404142E-02    0.6567335012E-01
    0.5000000000E+01    0.1561564842E-01    0.1028955084E+00
    0.7000000000E+01    0.2166257599E-01    0.1359083756E+00
    0.9000000000E+01    0.2760023210E-01    0.1653878599E+00
    0.1100000000E+02    0.3343155289E-01    0.1918725049E+00
    0.1300000000E+02    0.3915937022E-01    0.2157966988E+00
    0.1500000000E+02    0.4478641629E-01    0.2375146926E+00
    0.1700000000E+02    0.5031532796E-01    0.2573182656E+00
    0.1900000000E+02    0.5574865086E-01    0.2754499153E+00
    0.2100000000E+02    0.6108884336E-01    0.2921128403E+00
    0.2300000000E+02    0.6633828020E-01    0.3074785913E+00
    0.2500000000E+02    0.7149925610E-01    0.3216930021E+00
    0.2700000000E+02    0.7657398903E-01    0.3348808340E+00
    0.2900000000E+02    0.8156462342E-01    0.3471494498E+00
    0.3100000000E+02    0.8647323319E-01    0.3585917443E+00
    0.3300000000E+02    0.9130182463E-01    0.3692885020E+00
    0.3500000000E+02    0.9605233911E-01    0.3793103084E+00
    0.3700000000E+02    0.1007266557E+00    0.3887191102E+00
    0.3900000000E+02    0.1053265937E+00    0.3975694979E+00
    0.4100000000E+02    0.1098539148E+00    0.4059097662E+00
    0.4300000000E+02    0.1143103256E+00    0.4137827961E+00
    0.4500000000E+02    0.1186974796E+00    0.4212267929E+00
    0.4700000000E+02    0.1230169794E+00    0.4282759066E+00
    0.4900000000E+02    0.1272703784E+00    0.4349607562E+00
    0.1000000000E+02    0.3052900503E-01    0.1789752651E+00
    0.3000000000E+02    0.8402905443E-01    0.3529685787E+00
    0.5000000000E+02    0.1293727626E+00    0.4381752956E+00
    0.7000000000E+02    0.1682936375E+00    0.4887476442E+00
    0.9000000000E+02    0.2020664158E+00    0.5222387838E+00
    0.1100000000E+03    0.2316494145E+00    0.5460536972E+00
    0.1300000000E+03    0.2577769750E+00    0.5638571078E+00
    0.1500000000E+03    0.2810212870E+00    0.5776703353E+00
    0.1700000000E+03    0.3018348045E+00    0.5886996986E+00
    0.1900000000E+03    0.3205800095E+00    0.5977096990E+00
    0.2100000000E+03    0.3375507179E+00    0.6052083436E+00
    0.2300000000E+03    0.3529876044E+00    0.6115464016E+00
    0.2500000000E+03    0.3670896975E+00    0.6169738767E+00
    0.2700000000E+03    0.3800230147E+00    0.6216737709E+00
    0.2900000000E+03    0.3919271342E+00    0.6257831233E+00
    0.3100000000E+03    0.4029202569E+00    0.6294065891E+00
    0.3300000000E+03    0.4131031484E+00    0.6326254735E+00
    0.3500000000E+03    0.4225622397E+00    0.6355038997E+00
    0.3700000000E+03    0.4313720886E+00    0.6380931209E+00
    0.3900000000E+03    0.4395973511E+00    0.6404345951E+00
    0.4100000000E+03    0.4472943725E+00    0.6425622183E+00
    0.4300000000E+03    0.4545124811E+00    0.6445039737E+00
    0.4500000000E+03    0.4612950477E+00    0.6462831673E+00
    0.4700000000E+03    0.4676803587E+00    0.6479193658E+00
    0.4900000000E+03    0.4737023400E+00    0.6494291175E+00
    0.1000000000E+03    0.2173313323E+00    0.5350732049E+00
    0.3000000000E+03    0.3975309035E+00    0.6276500465E+00
    0.5000000000E+03    0.4765866422E+00    0.6501410624E+00
    0.7000000000E+03    0.5210061779E+00    0.6602675982E+00
    0.9000000000E+03    0.5494671295E+00    0.6660212453E+00
    0.1100000000E+04    0.5692628279E+00    0.6697285091E+00
    0.1300000000E+04    0.5838293759E+00    0.6723146718E+00
    0.1500000000E+04    0.5949979805E+00    0.6742205229E+00
