     Pressure (Pa)     22mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.6328613317E-02    0.5556204159E-03    0.3440672628E-02
    0.3000000000E+01    0.1860907511E-01    0.1633813004E-02    0.1021956149E-01
    0.5000000000E+01    0.3041162047E-01    0.2670084108E-02    0.1686519935E-01
    0.7000000000E+01    0.4176361451E-01    0.3666833389E-02    0.2338147784E-01
    0.9000000000E+01    0.5269037231E-01    0.4626280763E-02    0.2977213847E-01
    0.1100000000E+02    0.6321534728E-01    0.5550482924E-02    0.3604077976E-01
    0.1300000000E+02    0.7336029931E-01    0.6441348076E-02    0.4219086403E-01
    0.1500000000E+02    0.8314544481E-01    0.7300649093E-02    0.4822572378E-01
    0.1700000000E+02    0.9258959127E-01    0.8130035314E-02    0.5414856772E-01
    0.1900000000E+02    0.1017102578E+00    0.8931043114E-02    0.5996248650E-01
    0.2100000000E+02    0.1105237837E+00    0.9705105416E-02    0.6567045803E-01
    0.2300000000E+02    0.1190454261E+00    0.1045356025E-01    0.7127535264E-01
    0.2500000000E+02    0.1272894479E+00    0.1117765849E-01    0.7677993787E-01
    0.2700000000E+02    0.1352691979E+00    0.1187857083E-01    0.8218688305E-01
    0.2900000000E+02    0.1429971824E+00    0.1255739411E-01    0.8749876357E-01
    0.3100000000E+02    0.1504851310E+00    0.1321515705E-01    0.9271806505E-01
    0.3300000000E+02    0.1577440555E+00    0.1385282545E-01    0.9784718716E-01
    0.3500000000E+02    0.1647843047E+00    0.1447130693E-01    0.1028884474E+00
    0.3700000000E+02    0.1716156129E+00    0.1507145528E-01    0.1078440843E+00
    0.3900000000E+02    0.1782471452E+00    0.1565407433E-01    0.1127162613E+00
    0.4100000000E+02    0.1846875383E+00    0.1621992160E-01    0.1175070693E+00
    0.4300000000E+02    0.1909449382E+00    0.1676971159E-01    0.1222185300E+00
    0.4500000000E+02    0.1970270344E+00    0.1730411875E-01    0.1268525987E+00
    0.4700000000E+02    0.2029410918E+00    0.1782378028E-01    0.1314111669E+00
    0.4900000000E+02    0.2086939790E+00    0.1832929867E-01    0.1358960650E+00
    0.1000000000E+02    0.5800168480E-01    0.5092664914E-02    0.3292149202E-01
    0.3000000000E+02    0.1467704568E+00    0.1288884635E-01    0.9011983474E-01
    0.5000000000E+02    0.2115120286E+00    0.1857693355E-01    0.1381114436E+00
    0.7000000000E+02    0.2608185187E+00    0.2291052712E-01    0.1789538072E+00
    0.9000000000E+02    0.2996216696E+00    0.2632223648E-01    0.2141337835E+00
    0.1100000000E+03    0.3309544471E+00    0.2907814479E-01    0.2447526265E+00
    0.1300000000E+03    0.3567846167E+00    0.3135090635E-01    0.2716433910E+00
    0.1500000000E+03    0.3784446302E+00    0.3325744675E-01    0.2954478986E+00
    0.1700000000E+03    0.3968688721E+00    0.3487977049E-01    0.3166686353E+00
    0.1900000000E+03    0.4127319808E+00    0.3627709329E-01    0.3357046180E+00
    0.2100000000E+03    0.4265332402E+00    0.3749324472E-01    0.3528767233E+00
    0.2300000000E+03    0.4386500770E+00    0.3856136124E-01    0.3684459230E+00
    0.2500000000E+03    0.4493730983E+00    0.3950696009E-01    0.3826266409E+00
    0.2700000000E+03    0.4589296983E+00    0.4035001044E-01    0.3955966879E+00
    0.2900000000E+03    0.4675003589E+00    0.4110636373E-01    0.4075047567E+00
    0.3100000000E+03    0.4752301545E+00    0.4178876315E-01    0.4184761478E+00
    0.3300000000E+03    0.4822370282E+00    0.4240757005E-01    0.4286171959E+00
    0.3500000000E+03    0.4886178518E+00    0.4297129562E-01    0.4380187271E+00
    0.3700000000E+03    0.4944529295E+00    0.4348699637E-01    0.4467587868E+00
    0.3900000000E+03    0.4998093950E+00    0.4396057216E-01    0.4549048118E+00
    0.4100000000E+03    0.5047438049E+00    0.4439699395E-01    0.4625153730E+00
    0.4300000000E+03    0.5093041428E+00    0.4480047971E-01    0.4696415865E+00
    0.4500000000E+03    0.5135313847E+00    0.4517463184E-01    0.4763282628E+00
    0.4700000000E+03    0.5174607327E+00    0.4552254552E-01    0.4826148502E+00
    0.4900000000E+03    0.5211225979E+00    0.4584689500E-01    0.4885362135E+00
    0.1000000000E+03    0.3160802153E+00    0.2776973860E-01    0.2299560479E+00
    0.3000000000E+03    0.4714624374E+00    0.4145611128E-01    0.4131004911E+00
    0.5000000000E+03    0.5228616149E+00    0.4600097108E-01    0.4913697395E+00
    0.7000000000E+03    0.5484839437E+00    0.4827508324E-01    0.5347952801E+00
    0.9000000000E+03    0.5638309068E+00    0.4964226501E-01    0.5624082790E+00
    0.1100000000E+04    0.5740502355E+00    0.5055601205E-01    0.5815151406E+00
    0.1300000000E+04    0.5813432944E+00    0.5121050547E-01    0.5955216879E+00
    0.1500000000E+04    0.5868091647E+00    0.5170281734E-01    0.6062296104E+00
    0.1700000000E+04    0.5910578018E+00    0.5208688721E-01    0.6146814001E+00
    0.1900000000E+04    0.5944548820E+00    0.5239509285E-01    0.6215221282E+00
    0.2100000000E+04    0.5972329568E+00    0.5264805046E-01    0.6271723481E+00
    0.2300000000E+04    0.5995469774E+00    0.5285951380E-01    0.6319179555E+00
    0.2500000000E+04    0.6015041687E+00    0.5303901210E-01    0.6359600893E+00
    0.2700000000E+04    0.6031810897E+00    0.5319335763E-01    0.6394443730E+00
    0.2900000000E+04    0.6046338640E+00    0.5332755047E-01    0.6424788314E+00
    0.3100000000E+04    0.6059045714E+00    0.5344534411E-01    0.6451452897E+00
    0.3300000000E+04    0.6070253815E+00    0.5354961158E-01    0.6475068618E+00
    0.3500000000E+04    0.6080213086E+00    0.5364258959E-01    0.6496130099E+00
    0.3700000000E+04    0.6089120961E+00    0.5372604574E-01    0.6515030460E+00
    0.3900000000E+04    0.6097135353E+00    0.5380139549E-01    0.6532086086E+00
    0.4100000000E+04    0.6104384070E+00    0.5386978585E-01    0.6547554478E+00
    0.4300000000E+04    0.6110971661E+00    0.5393215627E-01    0.6561647344E+00
    0.4500000000E+04    0.6116984477E+00    0.5398928357E-01    0.6574540345E+00
    0.4700000000E+04    0.6122494465E+00    0.5404181581E-01    0.6586380451E+00
    0.4900000000E+04    0.6127562049E+00    0.5409029791E-01    0.6597291575E+00
    0.1000000000E+04    0.5694063380E+00    0.5014037000E-01    0.5727588315E+00
    0.3000000000E+04    0.6052897707E+00    0.5338830031E-01    0.6438537460E+00
    0.5000000000E+04    0.6129946228E+00    0.5411316721E-01    0.6602432276E+00
    0.7000000000E+04    0.6163477611E+00    0.5444003338E-01    0.6675250389E+00
    0.9000000000E+04    0.6182212538E+00    0.5462899085E-01    0.6716400744E+00
    0.1100000000E+05    0.6194160282E+00    0.5475353309E-01    0.6742851080E+00
    0.1300000000E+05    0.6202435200E+00    0.5484259745E-01    0.6761284286E+00
    0.1500000000E+05    0.6208500042E+00    0.5490994148E-01    0.6774865500E+00
    0.1700000000E+05    0.6213132416E+00    0.5496296645E-01    0.6785287530E+00
    0.1900000000E+05    0.6216783764E+00    0.5500601989E-01    0.6793537767E+00
    0.2100000000E+05    0.6219734088E+00    0.5504182966E-01    0.6800230959E+00
    0.2300000000E+05    0.6222166235E+00    0.5507219762E-01    0.6805769850E+00
    0.2500000000E+05    0.6224204652E+00    0.5509836403E-01    0.6810429315E+00
    0.2700000000E+05    0.6225936961E+00    0.5512121199E-01    0.6814403373E+00
    0.2900000000E+05    0.6227426637E+00    0.5514138833E-01    0.6817832883E+00
    0.3100000000E+05    0.6228720776E+00    0.5515937830E-01    0.6820822582E+00
    0.3300000000E+05    0.6229855061E+00    0.5517555350E-01    0.6823451967E+00
