     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.8461814707E-06    0.3574994869E-05
    0.3000000000E+01    0.2538523075E-05    0.1072485894E-04
    0.5000000000E+01    0.4230836231E-05    0.1787455545E-04
    0.7000000000E+01    0.5923120940E-05    0.2502408441E-04
    0.9000000000E+01    0.7615377204E-05    0.3217344584E-04
    0.1100000000E+02    0.9307605023E-05    0.3932263972E-04
    0.1300000000E+02    0.1099980440E-04    0.4647166607E-04
    0.1500000000E+02    0.1269197533E-04    0.5362052490E-04
    0.1700000000E+02    0.1438411783E-04    0.6076921621E-04
    0.1900000000E+02    0.1607623188E-04    0.6791774001E-04
    0.2100000000E+02    0.1776831750E-04    0.7506609630E-04
    0.2300000000E+02    0.1946037468E-04    0.8221428508E-04
    0.2500000000E+02    0.2115240343E-04    0.8936230638E-04
    0.2700000000E+02    0.2284440374E-04    0.9651016018E-04
    0.2900000000E+02    0.2453637562E-04    0.1036578465E-03
    0.3100000000E+02    0.2622831907E-04    0.1108053653E-03
    0.3300000000E+02    0.2792023408E-04    0.1179527167E-03
    0.3500000000E+02    0.2961212067E-04    0.1250999006E-03
    0.3700000000E+02    0.3130397884E-04    0.1322469171E-03
    0.3900000000E+02    0.3299580857E-04    0.1393937661E-03
    0.4100000000E+02    0.3468760989E-04    0.1465404476E-03
    0.4300000000E+02    0.3637938277E-04    0.1536869617E-03
    0.4500000000E+02    0.3807112724E-04    0.1608333084E-03
    0.4700000000E+02    0.3976284329E-04    0.1679794876E-03
    0.4900000000E+02    0.4145453091E-04    0.1751254995E-03
    0.5100000000E+02    0.4314619012E-04    0.1822713439E-03
    0.5300000000E+02    0.4483782092E-04    0.1894170209E-03
    0.5500000000E+02    0.4652942329E-04    0.1965625304E-03
    0.5700000000E+02    0.4822099726E-04    0.2037078726E-03
    0.5900000000E+02    0.4991254281E-04    0.2108530474E-03
    0.6100000000E+02    0.5160405994E-04    0.2179980548E-03
    0.6300000000E+02    0.5329554867E-04    0.2251428949E-03
    0.6500000000E+02    0.5498700899E-04    0.2322875675E-03
    0.6700000000E+02    0.5667844090E-04    0.2394320728E-03
    0.6900000000E+02    0.5836984441E-04    0.2465764107E-03
    0.7100000000E+02    0.6006121951E-04    0.2537205813E-03
    0.7300000000E+02    0.6175256621E-04    0.2608645845E-03
    0.7500000000E+02    0.6344388451E-04    0.2680084203E-03
    0.7700000000E+02    0.6513517440E-04    0.2751520889E-03
    0.7900000000E+02    0.6682643589E-04    0.2822955901E-03
    0.8100000000E+02    0.6851766899E-04    0.2894389239E-03
    0.8300000000E+02    0.7020887369E-04    0.2965820905E-03
    0.8500000000E+02    0.7190005000E-04    0.3037250897E-03
    0.8700000000E+02    0.7359119791E-04    0.3108679216E-03
    0.8900000000E+02    0.7528231742E-04    0.3180105862E-03
    0.9100000000E+02    0.7697340855E-04    0.3251530836E-03
    0.9300000000E+02    0.7866447128E-04    0.3322954136E-03
    0.9500000000E+02    0.8035550563E-04    0.3394375763E-03
    0.9700000000E+02    0.8204651159E-04    0.3465795718E-03
    0.9900000000E+02    0.8373748916E-04    0.3537214000E-03
    0.1000000000E+02    0.8461494669E-05    0.3574806372E-04
    0.3000000000E+02    0.2538235090E-04    0.1072316269E-03
    0.5000000000E+02    0.4230036407E-04    0.1786984426E-03
    0.7000000000E+02    0.5921553551E-04    0.2501485169E-03
    0.9000000000E+02    0.7612786653E-04    0.3215818558E-03
    0.1100000000E+03    0.9303735845E-04    0.3929984653E-03
    0.1300000000E+03    0.1099440126E-03    0.4643983512E-03
    0.1500000000E+03    0.1268478302E-03    0.5357815198E-03
    0.1700000000E+03    0.1437488127E-03    0.6071479768E-03
    0.1900000000E+03    0.1606469613E-03    0.6784977283E-03
    0.2100000000E+03    0.1775422774E-03    0.7498307802E-03
    0.2300000000E+03    0.1944347623E-03    0.8211471385E-03
    0.2500000000E+03    0.2113244172E-03    0.8924468092E-03
    0.2700000000E+03    0.2282112435E-03    0.9637297983E-03
    0.2900000000E+03    0.2450952425E-03    0.1034996112E-02
    0.3100000000E+03    0.2619764155E-03    0.1106245755E-02
    0.3300000000E+03    0.2788547638E-03    0.1177478735E-02
    0.3500000000E+03    0.2957302887E-03    0.1248695057E-02
    0.3700000000E+03    0.3126029915E-03    0.1319894727E-02
    0.3900000000E+03    0.3294728735E-03    0.1391077751E-02
    0.4100000000E+03    0.3463399361E-03    0.1462244135E-02
    0.4300000000E+03    0.3632041805E-03    0.1533393885E-02
    0.4500000000E+03    0.3800656080E-03    0.1604527007E-02
    0.4700000000E+03    0.3969242199E-03    0.1675643507E-02
    0.4900000000E+03    0.4137800176E-03    0.1746743390E-02
    0.5100000000E+03    0.4306330022E-03    0.1817826663E-02
    0.5300000000E+03    0.4474831752E-03    0.1888893332E-02
    0.5500000000E+03    0.4643305378E-03    0.1959943402E-02
    0.5700000000E+03    0.4811750914E-03    0.2030976879E-02
    0.5900000000E+03    0.4980168371E-03    0.2101993770E-02
    0.6100000000E+03    0.5148557764E-03    0.2172994080E-02
    0.6300000000E+03    0.5316919104E-03    0.2243977815E-02
    0.6500000000E+03    0.5485252406E-03    0.2314944982E-02
    0.6700000000E+03    0.5653557681E-03    0.2385895585E-02
    0.6900000000E+03    0.5821834943E-03    0.2456829631E-02
    0.7100000000E+03    0.5990084205E-03    0.2527747126E-02
    0.7300000000E+03    0.6158305480E-03    0.2598648075E-02
    0.7500000000E+03    0.6326498780E-03    0.2669532485E-02
    0.7700000000E+03    0.6494664118E-03    0.2740400362E-02
    0.7900000000E+03    0.6662801508E-03    0.2811251710E-02
    0.8100000000E+03    0.6830910962E-03    0.2882086537E-02
    0.8300000000E+03    0.6998992493E-03    0.2952904848E-02
    0.8500000000E+03    0.7167046114E-03    0.3023706649E-02
    0.8700000000E+03    0.7335071838E-03    0.3094491946E-02
    0.8900000000E+03    0.7503069677E-03    0.3165260745E-02
    0.9100000000E+03    0.7671039645E-03    0.3236013051E-02
    0.9300000000E+03    0.7838981754E-03    0.3306748870E-02
    0.9500000000E+03    0.8006896017E-03    0.3377468209E-02
    0.9700000000E+03    0.8174782447E-03    0.3448171073E-02
    0.9900000000E+03    0.8342641057E-03    0.3518857468E-02
    0.1000000000E+03    0.8458296730E-04    0.3572922513E-03
    0.3000000000E+03    0.2535361822E-03    0.1070623017E-02
    0.5000000000E+03    0.4222068614E-03    0.1782287102E-02
    0.7000000000E+03    0.5905963073E-03    0.2492290447E-02
    0.9000000000E+03    0.7587058144E-03    0.3200638959E-02
    0.1100000000E+04    0.9265366695E-03    0.3907338519E-02
    0.1300000000E+04    0.1094090152E-02    0.4612394978E-02
    0.1500000000E+04    0.1261367534E-02    0.5315814159E-02
    0.1700000000E+04    0.1428370080E-02    0.6017601856E-02
    0.1900000000E+04    0.1595099047E-02    0.6717763834E-02
    0.2100000000E+04    0.1761555685E-02    0.7416305833E-02
    0.2300000000E+04    0.1927741237E-02    0.8113233561E-02
    0.2500000000E+04    0.2093656937E-02    0.8808552700E-02
    0.2700000000E+04    0.2259304014E-02    0.9502268906E-02
    0.2900000000E+04    0.2424683689E-02    0.1019438780E-01
    0.3100000000E+04    0.2589797176E-02    0.1088491500E-01
    0.3300000000E+04    0.2754645682E-02    0.1157385606E-01
    0.3500000000E+04    0.2919230407E-02    0.1226121653E-01
    0.3700000000E+04    0.3083552544E-02    0.1294700193E-01
    0.3900000000E+04    0.3247613280E-02    0.1363121775E-01
    0.4100000000E+04    0.3411413793E-02    0.1431386947E-01
    0.4300000000E+04    0.3574955256E-02    0.1499496252E-01
    0.4500000000E+04    0.3738238836E-02    0.1567450231E-01
    0.4700000000E+04    0.3901265691E-02    0.1635249423E-01
    0.4900000000E+04    0.4064036974E-02    0.1702894365E-01
    0.5100000000E+04    0.4226553831E-02    0.1770385590E-01
    0.5300000000E+04    0.4388817403E-02    0.1837723629E-01
    0.5500000000E+04    0.4550828821E-02    0.1904909011E-01
    0.5700000000E+04    0.4712589212E-02    0.1971942262E-01
    0.5900000000E+04    0.4874099696E-02    0.2038823906E-01
    0.6100000000E+04    0.5035361388E-02    0.2105554464E-01
    0.6300000000E+04    0.5196375395E-02    0.2172134454E-01
    0.6500000000E+04    0.5357142818E-02    0.2238564392E-01
    0.6700000000E+04    0.5517664752E-02    0.2304844793E-01
    0.6900000000E+04    0.5677942286E-02    0.2370976168E-01
    0.7100000000E+04    0.5837976503E-02    0.2436959025E-01
    0.7300000000E+04    0.5997768478E-02    0.2502793871E-01
    0.7500000000E+04    0.6157319284E-02    0.2568481211E-01
    0.7700000000E+04    0.6316629984E-02    0.2634021546E-01
    0.7900000000E+04    0.6475701637E-02    0.2699415376E-01
    0.8100000000E+04    0.6634535296E-02    0.2764663197E-01
    0.8300000000E+04    0.6793132007E-02    0.2829765505E-01
    0.8500000000E+04    0.6951492811E-02    0.2894722792E-01
    0.8700000000E+04    0.7109618744E-02    0.2959535549E-01
    0.8900000000E+04    0.7267510835E-02    0.3024204263E-01
    0.9100000000E+04    0.7425170107E-02    0.3088729419E-01
    0.9300000000E+04    0.7582597578E-02    0.3153111502E-01
    0.9500000000E+04    0.7739794261E-02    0.3217350993E-01
    0.9700000000E+04    0.7896761162E-02    0.3281448370E-01
    0.9900000000E+04    0.8053499282E-02    0.3345404111E-01
    0.1000000000E+04    0.8426559933E-03    0.3554194492E-02
    0.3000000000E+04    0.2507273631E-02    0.1053985002E-01
    0.5000000000E+04    0.4145327135E-02    0.1736659159E-01
    0.7000000000E+04    0.5757989742E-02    0.2403986129E-01
    0.9000000000E+04    0.7346369509E-02    0.3056484755E-01
    0.1100000000E+05    0.8911513705E-02    0.3694650023E-01
    0.1300000000E+05    0.1045441285E-01    0.4318954460E-01
    0.1500000000E+05    0.1197600444E-01    0.4929849438E-01
    0.1700000000E+05    0.1347717639E-01    0.5527766380E-01
    0.1900000000E+05    0.1495877020E-01    0.6113117882E-01
    0.2100000000E+05    0.1642158390E-01    0.6686298764E-01
    0.2300000000E+05    0.1786637477E-01    0.7247687042E-01
    0.2500000000E+05    0.1929386184E-01    0.7797644842E-01
    0.2700000000E+05    0.2070472822E-01    0.8336519246E-01
    0.2900000000E+05    0.2209962331E-01    0.8864643093E-01
    0.3100000000E+05    0.2347916474E-01    0.9382335716E-01
    0.3300000000E+05    0.2484394030E-01    0.9889903645E-01
    0.3500000000E+05    0.2619450965E-01    0.1038764125E+00
    0.3700000000E+05    0.2753140592E-01    0.1087583138E+00
    0.3900000000E+05    0.2885513727E-01    0.1135474589E+00
    0.4100000000E+05    0.3016618824E-01    0.1182464622E+00
    0.4300000000E+05    0.3146502110E-01    0.1228578390E+00
    0.4500000000E+05    0.3275207706E-01    0.1273840102E+00
    0.4700000000E+05    0.3402777742E-01    0.1318273065E+00
    0.4900000000E+05    0.3529252464E-01    0.1361899733E+00
    0.5100000000E+05    0.3654670335E-01    0.1404741740E+00
    0.5300000000E+05    0.3779068125E-01    0.1446819943E+00
    0.5500000000E+05    0.3902481006E-01    0.1488154455E+00
    0.5700000000E+05    0.4024942629E-01    0.1528764677E+00
    0.5900000000E+05    0.4146485202E-01    0.1568669334E+00
    0.6100000000E+05    0.4267139565E-01    0.1607886501E+00
    0.6300000000E+05    0.4386935259E-01    0.1646433635E+00
    0.6500000000E+05    0.4505900585E-01    0.1684327598E+00
    0.6700000000E+05    0.4624062670E-01    0.1721584685E+00
    0.6900000000E+05    0.4741447523E-01    0.1758220649E+00
    0.7100000000E+05    0.4858080085E-01    0.1794250722E+00
    0.7300000000E+05    0.4973984283E-01    0.1829689635E+00
    0.7500000000E+05    0.5089183079E-01    0.1864551644E+00
    0.7700000000E+05    0.5203698511E-01    0.1898850545E+00
    0.7900000000E+05    0.5317551735E-01    0.1932599695E+00
    0.8100000000E+05    0.5430763073E-01    0.1965812027E+00
    0.8300000000E+05    0.5543352040E-01    0.1998500071E+00
    0.8500000000E+05    0.5655337389E-01    0.2030675966E+00
    0.8700000000E+05    0.5766737139E-01    0.2062351478E+00
    0.8900000000E+05    0.5877568610E-01    0.2093538014E+00
    0.9100000000E+05    0.5987848452E-01    0.2124246633E+00
    0.9300000000E+05    0.6097592677E-01    0.2154488065E+00
    0.9500000000E+05    0.6206816681E-01    0.2184272717E+00
    0.9700000000E+05    0.6315535274E-01    0.2213610691E+00
    0.9900000000E+05    0.6423762706E-01    0.2242511790E+00
    0.1000000000E+05    0.8131782861E-02    0.3377329015E-01
    0.3000000000E+05    0.2279127582E-01    0.9124773857E-01
    0.5000000000E+05    0.3592091169E-01    0.1383417498E+00
    0.7000000000E+05    0.4799856321E-01    0.1776310490E+00
    0.9000000000E+05    0.5932776469E-01    0.2108951385E+00
    0.1100000000E+06    0.7010821398E-01    0.2394070614E+00
    0.1300000000E+06    0.8047448384E-01    0.2641037671E+00
    0.1500000000E+06    0.9051851632E-01    0.2856913331E+00
    0.1700000000E+06    0.1003033510E+00    0.3047126133E+00
    0.1900000000E+06    0.1098718772E+00    0.3215922054E+00
    0.2100000000E+06    0.1192526397E+00    0.3366671992E+00
    0.2300000000E+06    0.1284638334E+00    0.3502087194E+00
    0.2500000000E+06    0.1375161450E+00    0.3624373439E+00
    0.2700000000E+06    0.1464148356E+00    0.3735343472E+00
    0.2900000000E+06    0.1551613039E+00    0.3836500387E+00
    0.3100000000E+06    0.1637542839E+00    0.3929100418E+00
    0.3300000000E+06    0.1721907725E+00    0.4014200889E+00
    0.3500000000E+06    0.1804667517E+00    0.4092697300E+00
    0.3700000000E+06    0.1885777499E+00    0.4165352356E+00
    0.3900000000E+06    0.1965192715E+00    0.4232818940E+00
    0.4100000000E+06    0.2042871197E+00    0.4295658495E+00
    0.4300000000E+06    0.2118776294E+00    0.4354355850E+00
    0.4500000000E+06    0.2192878261E+00    0.4409331297E+00
    0.4700000000E+06    0.2265155234E+00    0.4460950512E+00
    0.4900000000E+06    0.2335593703E+00    0.4509532745E+00
    0.5100000000E+06    0.2404188588E+00    0.4555357635E+00
    0.5300000000E+06    0.2470943005E+00    0.4598670921E+00
    0.5500000000E+06    0.2535867803E+00    0.4639689223E+00
    0.5700000000E+06    0.2598980940E+00    0.4678604098E+00
    0.5900000000E+06    0.2660306751E+00    0.4715585456E+00
    0.6100000000E+06    0.2719875164E+00    0.4750784480E+00
    0.6300000000E+06    0.2777720891E+00    0.4784336099E+00
    0.6500000000E+06    0.2833882637E+00    0.4816361105E+00
    0.6700000000E+06    0.2888402337E+00    0.4846967968E+00
    0.6900000000E+06    0.2941324448E+00    0.4876254386E+00
    0.7100000000E+06    0.2992695290E+00    0.4904308618E+00
    0.7300000000E+06    0.3042562462E+00    0.4931210631E+00
    0.7500000000E+06    0.3090974320E+00    0.4957033089E+00
    0.7700000000E+06    0.3137979524E+00    0.4981842204E+00
    0.7900000000E+06    0.3183626646E+00    0.5005698475E+00
    0.8100000000E+06    0.3227963838E+00    0.5028657328E+00
    0.8300000000E+06    0.3271038563E+00    0.5050769667E+00
    0.8500000000E+06    0.3312897367E+00    0.5072082362E+00
    0.8700000000E+06    0.3353585700E+00    0.5092638664E+00
    0.8900000000E+06    0.3393147781E+00    0.5112478578E+00
    0.9100000000E+06    0.3431626488E+00    0.5131639180E+00
    0.9300000000E+06    0.3469063289E+00    0.5150154907E+00
    0.9500000000E+06    0.3505498190E+00    0.5168057797E+00
    0.9700000000E+06    0.3540969710E+00    0.5185377718E+00
    0.9900000000E+06    0.3575514867E+00    0.5202142554E+00
    0.1000000000E+06    0.6477696540E-01    0.2256801498E+00
    0.3000000000E+06    0.1594771363E+00    0.3883799748E+00
    0.5000000000E+06    0.2370121587E+00    0.4532773765E+00
    0.7000000000E+06    0.2967200826E+00    0.4890430345E+00
    0.9000000000E+06    0.3412519931E+00    0.5122141582E+00
    0.1100000000E+07    0.3750469069E+00    0.5285513972E+00
    0.1300000000E+07    0.4015293332E+00    0.5406820551E+00
    0.1500000000E+07    0.4229118845E+00    0.5500282332E+00
    0.1700000000E+07    0.4405985104E+00    0.5574386669E+00
    0.1900000000E+07    0.4555083013E+00    0.5634521156E+00
    0.2100000000E+07    0.4682685474E+00    0.5684263146E+00
    0.2300000000E+07    0.4793244089E+00    0.5726075128E+00
    0.2500000000E+07    0.4890023978E+00    0.5761704121E+00
    0.2700000000E+07    0.4975485882E+00    0.5792422027E+00
    0.2900000000E+07    0.5051526115E+00    0.5819175869E+00
    0.3100000000E+07    0.5119633354E+00    0.5842684755E+00
    0.3300000000E+07    0.5180994668E+00    0.5863504271E+00
    0.3500000000E+07    0.5236569408E+00    0.5882070295E+00
    0.3700000000E+07    0.5287141981E+00    0.5898729511E+00
    0.3900000000E+07    0.5333360387E+00    0.5913761054E+00
    0.4100000000E+07    0.5375764862E+00    0.5927392174E+00
    0.4300000000E+07    0.5414809528E+00    0.5939809737E+00
    0.4500000000E+07    0.5450878977E+00    0.5951168801E+00
    0.4700000000E+07    0.5484301139E+00    0.5961599106E+00
    0.4900000000E+07    0.5515357382E+00    0.5971210030E+00
    0.5100000000E+07    0.5544290510E+00    0.5980094431E+00
    0.5300000000E+07    0.5571311169E+00    0.5988331655E+00
    0.5500000000E+07    0.5596603006E+00    0.5995989899E+00
    0.5700000000E+07    0.5620326868E+00    0.6003128109E+00
    0.5900000000E+07    0.5642624237E+00    0.6009797493E+00
    0.6100000000E+07    0.5663620062E+00    0.6016042749E+00
    0.6300000000E+07    0.5683425107E+00    0.6021903072E+00
    0.6500000000E+07    0.5702137911E+00    0.6027412969E+00
    0.6700000000E+07    0.5719846429E+00    0.6032602947E+00
    0.6900000000E+07    0.5736629417E+00    0.6037500068E+00
    0.7100000000E+07    0.5752557602E+00    0.6042128429E+00
    0.7300000000E+07    0.5767694687E+00    0.6046509554E+00
    0.7500000000E+07    0.5782098192E+00    0.6050662727E+00
    0.7700000000E+07    0.5795820197E+00    0.6054605278E+00
    0.7900000000E+07    0.5808907961E+00    0.6058352825E+00
    0.8100000000E+07    0.5821404475E+00    0.6061919479E+00
    0.8300000000E+07    0.5833348928E+00    0.6065318021E+00
    0.8500000000E+07    0.5844777121E+00    0.6068560056E+00
    0.8700000000E+07    0.5855721825E+00    0.6071656146E+00
    0.8900000000E+07    0.5866213093E+00    0.6074615923E+00
    0.9100000000E+07    0.5876278540E+00    0.6077448188E+00
    0.9300000000E+07    0.5885943580E+00    0.6080161004E+00
    0.9500000000E+07    0.5895231647E+00    0.6082761766E+00
    0.9700000000E+07    0.5904164380E+00    0.6085257271E+00
    0.9900000000E+07    0.5912761791E+00    0.6087653778E+00
    0.1000000000E+07    0.3592451221E+00    0.5210325032E+00
    0.3000000000E+07    0.5086491088E+00    0.5831297967E+00
    0.5000000000E+07    0.5530075482E+00    0.5975737801E+00
    0.7000000000E+07    0.5744696224E+00    0.6039846442E+00
    0.9000000000E+07    0.5871297407E+00    0.6076047474E+00
    0.1100000000E+08    0.5954818687E+00    0.6099302174E+00
    0.1300000000E+08    0.6014054895E+00    0.6115499387E+00
    0.1500000000E+08    0.6058255547E+00    0.6127426919E+00
    0.1700000000E+08    0.6092501957E+00    0.6136575260E+00
    0.1900000000E+08    0.6119817490E+00    0.6143813552E+00
    0.2100000000E+08    0.6142113632E+00    0.6149682798E+00
    0.2300000000E+08    0.6160658100E+00    0.6154537354E+00
    0.2500000000E+08    0.6176324818E+00    0.6158619025E+00
    0.2700000000E+08    0.6189735810E+00    0.6162098460E+00
    0.2900000000E+08    0.6201345861E+00    0.6165099530E+00
    0.3100000000E+08    0.6211495186E+00    0.6167714327E+00
    0.3300000000E+08    0.6220443371E+00    0.6170012738E+00
    0.3500000000E+08    0.6228391924E+00    0.6172048758E+00
    0.3700000000E+08    0.6235499658E+00    0.6173864763E+00
    0.3900000000E+08    0.6241893431E+00    0.6175494474E+00
    0.4100000000E+08    0.6247675799E+00    0.6176965061E+00
    0.4300000000E+08    0.6252930567E+00    0.6178298658E+00
    0.4500000000E+08    0.6257726893E+00    0.6179513479E+00
    0.4700000000E+08    0.6262122348E+00    0.6180624649E+00
    0.4900000000E+08    0.6266165249E+00    0.6181644830E+00
    0.5100000000E+08    0.6269896446E+00    0.6182584705E+00
    0.5300000000E+08    0.6273350712E+00    0.6183453350E+00
    0.5500000000E+08    0.6276557828E+00    0.6184258522E+00
    0.5700000000E+08    0.6279543456E+00    0.6185006895E+00
    0.5900000000E+08    0.6282329819E+00    0.6185704237E+00
