     Pressure (Pa)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7341247967E-02    0.3739923758E-03    0.3403718719E-02
    0.3000000000E+01    0.2135011077E-01    0.1120743876E-02    0.9900334325E-02
    0.5000000000E+01    0.3452737645E-01    0.1865855558E-02    0.1601319429E-01
    0.7000000000E+01    0.4694489046E-01    0.2609332820E-02    0.2177540055E-01
    0.9000000000E+01    0.5866645574E-01    0.3351181036E-02    0.2721635245E-01
    0.1100000000E+02    0.6974892732E-01    0.4091405558E-02    0.3236225048E-01
    0.1300000000E+02    0.8024313294E-01    0.4830011712E-02    0.3723651987E-01
    0.1500000000E+02    0.9019465107E-01    0.5567004803E-02    0.4186016870E-01
    0.1700000000E+02    0.9964447138E-01    0.6302390112E-02    0.4625209184E-01
    0.1900000000E+02    0.1086295581E+00    0.7036172896E-02    0.5042933026E-01
    0.2100000000E+02    0.1171833321E+00    0.7768358390E-02    0.5440729296E-01
    0.2300000000E+02    0.1253360857E+00    0.8498951806E-02    0.5819994784E-01
    0.2500000000E+02    0.1331153402E+00    0.9227958334E-02    0.6181998633E-01
    0.2700000000E+02    0.1405461558E+00    0.9955383139E-02    0.6527896605E-01
    0.2900000000E+02    0.1476514002E+00    0.1068123137E-01    0.6858743461E-01
    0.3100000000E+02    0.1544519838E+00    0.1140550814E-01    0.7175503766E-01
    0.3300000000E+02    0.1609670643E+00    0.1212821855E-01    0.7479061329E-01
    0.3500000000E+02    0.1672142268E+00    0.1284936769E-01    0.7770227486E-01
    0.3700000000E+02    0.1732096415E+00    0.1356896060E-01    0.8049748378E-01
    0.3900000000E+02    0.1789682038E+00    0.1428700233E-01    0.8318311373E-01
    0.4100000000E+02    0.1845036568E+00    0.1500349788E-01    0.8576550746E-01
    0.4300000000E+02    0.1898287012E+00    0.1571845224E-01    0.8825052707E-01
    0.4500000000E+02    0.1949550917E+00    0.1643187038E-01    0.9064359869E-01
    0.4700000000E+02    0.1998937241E+00    0.1714375726E-01    0.9294975233E-01
    0.4900000000E+02    0.2046547117E+00    0.1785411779E-01    0.9517365734E-01
    0.1000000000E+02    0.6428426999E-01    0.3721495925E-02    0.2982465856E-01
    0.3000000000E+02    0.1510885384E+00    0.1104356587E-01    0.7018827404E-01
    0.5000000000E+02    0.2069715525E+00    0.1820872721E-01    0.9625613507E-01
    0.7000000000E+02    0.2459452461E+00    0.2522197198E-01    0.1144943414E+00
    0.9000000000E+02    0.2746680703E+00    0.3208808253E-01    0.1279787306E+00
    0.1100000000E+03    0.2967090563E+00    0.3881164248E-01    0.1383596769E+00
    0.1300000000E+03    0.3141532089E+00    0.4539704701E-01    0.1466022944E+00
    0.1500000000E+03    0.3283001164E+00    0.5184851240E-01    0.1533087488E+00
    0.1700000000E+03    0.3400018951E+00    0.5817008507E-01    0.1588742675E+00
    0.1900000000E+03    0.3498404828E+00    0.6436565008E-01    0.1635690363E+00
    0.2100000000E+03    0.3582268328E+00    0.7043893904E-01    0.1675840480E+00
    0.2300000000E+03    0.3654594010E+00    0.7639353765E-01    0.1710581519E+00
    0.2500000000E+03    0.3717601645E+00    0.8223289275E-01    0.1740947219E+00
    0.2700000000E+03    0.3772976367E+00    0.8796031900E-01    0.1767723138E+00
    0.2900000000E+03    0.3822020443E+00    0.9357900513E-01    0.1791516970E+00
    0.3100000000E+03    0.3865756122E+00    0.9909201986E-01    0.1812806228E+00
    0.3300000000E+03    0.3904997035E+00    0.1045023175E+00    0.1831971364E+00
    0.3500000000E+03    0.3940398804E+00    0.1098127433E+00    0.1849319261E+00
    0.3700000000E+03    0.3972495609E+00    0.1150260383E+00    0.1865100213E+00
    0.3900000000E+03    0.4001727046E+00    0.1201448442E+00    0.1879520413E+00
    0.4100000000E+03    0.4028458166E+00    0.1251717077E+00    0.1892751263E+00
    0.4300000000E+03    0.4052994623E+00    0.1301090847E+00    0.1904936427E+00
    0.4500000000E+03    0.4075594280E+00    0.1349593447E+00    0.1916197232E+00
    0.4700000000E+03    0.4096476185E+00    0.1397247740E+00    0.1926636853E+00
    0.4900000000E+03    0.4115827613E+00    0.1444075796E+00    0.1936343590E+00
    0.1000000000E+03    0.2863694051E+00    0.3546740233E-01    0.1334856925E+00
    0.3000000000E+03    0.3844496765E+00    0.9634853415E-01    0.1802448930E+00
    0.5000000000E+03    0.4124980624E+00    0.1467186674E+00    0.1940946302E+00
    0.7000000000E+03    0.4257016821E+00    0.1890842641E+00    0.2008394048E+00
    0.9000000000E+03    0.4333423954E+00    0.2252134846E+00    0.2048735647E+00
    0.1100000000E+04    0.4383046011E+00    0.2563893910E+00    0.2075789773E+00
    0.1300000000E+04    0.4417751469E+00    0.2835656340E+00    0.2095310573E+00
    0.1500000000E+04    0.4443313156E+00    0.3074657960E+00    0.2110130800E+00
    0.1700000000E+04    0.4462873335E+00    0.3286488277E+00    0.2121811246E+00
    0.1900000000E+04    0.4478287295E+00    0.3475533517E+00    0.2131284776E+00
    0.2100000000E+04    0.4490720181E+00    0.3645283904E+00    0.2139144435E+00
    0.2300000000E+04    0.4500940083E+00    0.3798551343E+00    0.2145785957E+00
    0.2500000000E+04    0.4509473578E+00    0.3937626585E+00    0.2151483934E+00
    0.2700000000E+04    0.4516693530E+00    0.4064394623E+00    0.2156435139E+00
    0.2900000000E+04    0.4522871222E+00    0.4180420728E+00    0.2160784438E+00
    0.3100000000E+04    0.4528208650E+00    0.4287015486E+00    0.2164640958E+00
    0.3300000000E+04    0.4532859244E+00    0.4385284573E+00    0.2168088547E+00
    0.3500000000E+04    0.4536941587E+00    0.4476167303E+00    0.2171192747E+00
    0.3700000000E+04    0.4540548740E+00    0.4560466780E+00    0.2174005570E+00
    0.3900000000E+04    0.4543754728E+00    0.4638873733E+00    0.2176568846E+00
    0.4100000000E+04    0.4546619152E+00    0.4711985503E+00    0.2178916616E+00
    0.4300000000E+04    0.4549190518E+00    0.4780321315E+00    0.2181076887E+00
    0.4500000000E+04    0.4551508697E+00    0.4844334641E+00    0.2183072917E+00
    0.4700000000E+04    0.4553606745E+00    0.4904423294E+00    0.2184924193E+00
    0.4900000000E+04    0.4555512302E+00    0.4960937711E+00    0.2186647175E+00
    0.1000000000E+04    0.4360631057E+00    0.2413546492E+00    0.2063463538E+00
    0.3000000000E+04    0.4525634429E+00    0.4234823617E+00    0.2162768557E+00
    0.5000000000E+04    0.4556400315E+00    0.4987952848E+00    0.2187465013E+00
    0.7000000000E+04    0.4568153204E+00    0.5399708788E+00    0.2199596239E+00
    0.9000000000E+04    0.4573842358E+00    0.5659380838E+00    0.2207131240E+00
    0.1100000000E+05    0.4576917525E+00    0.5838128027E+00    0.2212419298E+00
    0.1300000000E+05    0.4578665426E+00    0.5968699175E+00    0.2216418843E+00
    0.1500000000E+05    0.4579666237E+00    0.6068269637E+00    0.2219599949E+00
    0.1700000000E+05    0.4580215939E+00    0.6146715831E+00    0.2222222749E+00
    0.1900000000E+05    0.4580479270E+00    0.6210120540E+00    0.2224444098E+00
    0.2100000000E+05    0.4580554058E+00    0.6262435022E+00    0.2226364868E+00
    0.2300000000E+05    0.4580501368E+00    0.6306337589E+00    0.2228053259E+00
    0.2500000000E+05    0.4580360850E+00    0.6343708098E+00    0.2229557277E+00
    0.2700000000E+05    0.4580159083E+00    0.6375904905E+00    0.2230911840E+00
    0.2900000000E+05    0.4579914347E+00    0.6403934006E+00    0.2232143058E+00
    0.3100000000E+05    0.4579639490E+00    0.6428556356E+00    0.2233270909E+00
    0.3300000000E+05    0.4579343701E+00    0.6450358211E+00    0.2234310990E+00
    0.3500000000E+05    0.4579033645E+00    0.6469798548E+00    0.2235275690E+00
    0.3700000000E+05    0.4578714219E+00    0.6487241838E+00    0.2236175000E+00
    0.3900000000E+05    0.4578389049E+00    0.6502981184E+00    0.2237017081E+00
    0.4100000000E+05    0.4578060843E+00    0.6517254980E+00    0.2237808685E+00
    0.4300000000E+05    0.4577731634E+00    0.6530259104E+00    0.2238555453E+00
    0.4500000000E+05    0.4577402947E+00    0.6542156003E+00    0.2239262144E+00
    0.4700000000E+05    0.4577075935E+00    0.6553081526E+00    0.2239932807E+00
    0.4900000000E+05    0.4576751459E+00    0.6563150161E+00    0.2240570916E+00
    0.1000000000E+05    0.4575601244E+00    0.5756303839E+00    0.2209979332E+00
    0.3000000000E+05    0.4579780040E+00    0.6416630932E+00    0.2232718842E+00
    0.5000000000E+05    0.4576590381E+00    0.6567894096E+00    0.2240878717E+00
    0.7000000000E+05    0.4573588846E+00    0.6635118822E+00    0.2245878478E+00
    0.9000000000E+05    0.4571024420E+00    0.6673155366E+00    0.2249492468E+00
    0.1100000000E+06    0.4568824346E+00    0.6697640423E+00    0.2252326931E+00
    0.1300000000E+06    0.4566908672E+00    0.6714730205E+00    0.2254661031E+00
    0.1500000000E+06    0.4565216266E+00    0.6727340816E+00    0.2256646398E+00
    0.1700000000E+06    0.4563702270E+00    0.6737032469E+00    0.2258374613E+00
    0.1900000000E+06    0.4562333526E+00    0.6744715677E+00    0.2259905257E+00
    0.2100000000E+06    0.4561085069E+00    0.6750957651E+00    0.2261279282E+00
    0.2300000000E+06    0.4559937732E+00    0.6756130217E+00    0.2262526060E+00
    0.2500000000E+06    0.4558876523E+00    0.6760487309E+00    0.2263667378E+00
    0.2700000000E+06    0.4557889516E+00    0.6764208281E+00    0.2264719847E+00
    0.2900000000E+06    0.4556967077E+00    0.6767423426E+00    0.2265696427E+00
    0.3100000000E+06    0.4556101319E+00    0.6770229689E+00    0.2266607424E+00
    0.3300000000E+06    0.4555285711E+00    0.6772700698E+00    0.2267461169E+00
    0.3500000000E+06    0.4554514780E+00    0.6774893379E+00    0.2268264497E+00
    0.3700000000E+06    0.4553783900E+00    0.6776852445E+00    0.2269023081E+00
    0.3900000000E+06    0.4553089125E+00    0.6778613505E+00    0.2269741685E+00
    0.4100000000E+06    0.4552427064E+00    0.6780205267E+00    0.2270424347E+00
    0.4300000000E+06    0.4551794778E+00    0.6781651140E+00    0.2271074522E+00
    0.4500000000E+06    0.4551189708E+00    0.6782970399E+00    0.2271695187E+00
    0.4700000000E+06    0.4550609612E+00    0.6784179059E+00    0.2272288926E+00
    0.4900000000E+06    0.4550052510E+00    0.6785290542E+00    0.2272857997E+00
    0.1000000000E+06    0.4569884252E+00    0.6686593881E+00    0.2250985425E+00
    0.3000000000E+06    0.4556527549E+00    0.6768872610E+00    0.2266159563E+00
    0.5000000000E+06    0.4549782027E+00    0.6785813452E+00    0.2273133911E+00
    0.7000000000E+06    0.4545242866E+00    0.6793174576E+00    0.2277733581E+00
    0.9000000000E+06    0.4541817338E+00    0.6797306119E+00    0.2281176427E+00
    0.1100000000E+07    0.4539065103E+00    0.6799957791E+00    0.2283931071E+00
    0.1300000000E+07    0.4536764332E+00    0.6801807358E+00    0.2286228404E+00
    0.1500000000E+07    0.4534787474E+00    0.6803172914E+00    0.2288199470E+00
    0.1700000000E+07    0.4533054407E+00    0.6804223686E+00    0.2289925894E+00
    0.1900000000E+07    0.4531511495E+00    0.6805058070E+00    0.2291462001E+00
    0.2100000000E+07    0.4530121068E+00    0.6805737220E+00    0.2292845785E+00
    0.2300000000E+07    0.4528855646E+00    0.6806301162E+00    0.2294104870E+00
    0.2500000000E+07    0.4527694573E+00    0.6806777210E+00    0.2295259975E+00
    0.2700000000E+07    0.4526621924E+00    0.6807184644E+00    0.2296327040E+00
    0.2900000000E+07    0.4525625164E+00    0.6807537468E+00    0.2297318594E+00
