     Pressure (Pa)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.5207932750E-02    0.3739914338E-03    0.1014175272E-01
    0.3000000000E+01    0.1495098348E-01    0.1120735419E-02    0.2912135063E-01
    0.5000000000E+01    0.2388936317E-01    0.1865832123E-02    0.4654122879E-01
    0.7000000000E+01    0.3211861616E-01    0.2609286998E-02    0.6258628832E-01
    0.9000000000E+01    0.3971974351E-01    0.3351105471E-02    0.7741330795E-01
    0.1100000000E+02    0.4676186816E-01    0.4091292946E-02    0.9115609531E-01
    0.1300000000E+02    0.5330433484E-01    0.4829854803E-02    0.1039295458E+00
    0.1500000000E+02    0.5939837967E-01    0.5566796397E-02    0.1158328701E+00
    0.1700000000E+02    0.6508846902E-01    0.6302123060E-02    0.1269521829E+00
    0.1900000000E+02    0.7041338166E-01    0.7035840102E-02    0.1373625946E+00
    0.2100000000E+02    0.7540708967E-01    0.7767952806E-02    0.1471299150E+00
    0.2300000000E+02    0.8009948069E-01    0.8498466435E-02    0.1563120500E+00
    0.2500000000E+02    0.8451695364E-01    0.9227386228E-02    0.1649601534E+00
    0.2700000000E+02    0.8868291321E-01    0.9954717401E-02    0.1731195837E+00
    0.2900000000E+02    0.9261818257E-01    0.1068046515E-01    0.1808307020E+00
    0.3100000000E+02    0.9634134962E-01    0.1140463464E-01    0.1881295421E+00
    0.3300000000E+02    0.9986905904E-01    0.1212723102E-01    0.1950483752E+00
    0.3500000000E+02    0.1032162596E+00    0.1284825941E-01    0.2016161887E+00
    0.3700000000E+02    0.1063964149E+00    0.1356772493E-01    0.2078590936E+00
    0.3900000000E+02    0.1094216830E+00    0.1428563265E-01    0.2138006727E+00
    0.4100000000E+02    0.1123030712E+00    0.1500198763E-01    0.2194622793E+00
    0.4300000000E+02    0.1150505686E+00    0.1571679491E-01    0.2248632948E+00
    0.4500000000E+02    0.1176732617E+00    0.1643005950E-01    0.2300213510E+00
    0.4700000000E+02    0.1201794333E+00    0.1714178639E-01    0.2349525236E+00
    0.4900000000E+02    0.1225766502E+00    0.1785198057E-01    0.2396714997E+00
    0.1000000000E+02    0.4330676434E-01    0.3721402747E-02    0.8441264780E-01
    0.3000000000E+02    0.9450519614E-01    0.1104274685E-01    0.1845295577E+00
    0.5000000000E+02    0.1237365881E+00    0.1820650443E-01    0.2419556606E+00
    0.7000000000E+02    0.1426198771E+00    0.2521771412E-01    0.2792262760E+00
    0.9000000000E+02    0.1558111492E+00    0.3208120180E-01    0.3053856192E+00
    0.1100000000E+03    0.1655390354E+00    0.3880159182E-01    0.3247691024E+00
    0.1300000000E+03    0.1730038995E+00    0.4538331743E-01    0.3397152537E+00
    0.1500000000E+03    0.1789093736E+00    0.5183063057E-01    0.3515968813E+00
    0.1700000000E+03    0.1836951177E+00    0.5814761104E-01    0.3612730299E+00
    0.1900000000E+03    0.1876499382E+00    0.6433817516E-01    0.3693088177E+00
    0.2100000000E+03    0.1909713417E+00    0.7040608384E-01    0.3760912788E+00
    0.2300000000E+03    0.1937989483E+00    0.7635495024E-01    0.3818944141E+00
    0.2500000000E+03    0.1962342358E+00    0.8218824693E-01    0.3869176641E+00
    0.2700000000E+03    0.1983527221E+00    0.8790931270E-01    0.3913096673E+00
    0.2900000000E+03    0.2002117596E+00    0.9352135892E-01    0.3951834754E+00
    0.3100000000E+03    0.2018556825E+00    0.9902747556E-01    0.3986266088E+00
    0.3300000000E+03    0.2033192980E+00    0.1044306369E+00    0.4017078834E+00
    0.3500000000E+03    0.2046303121E+00    0.1097337068E+00    0.4044821577E+00
    0.3700000000E+03    0.2058110503E+00    0.1149394439E+00    0.4069937036E+00
    0.3900000000E+03    0.2068797017E+00    0.1200505064E+00    0.4092786448E+00
    0.4100000000E+03    0.2078512328E+00    0.1250694564E+00    0.4113667507E+00
    0.4300000000E+03    0.2087380702E+00    0.1299987646E+00    0.4132827766E+00
    0.4500000000E+03    0.2095506166E+00    0.1348408139E+00    0.4150474775E+00
    0.4700000000E+03    0.2102976457E+00    0.1395979034E+00    0.4166783859E+00
    0.4900000000E+03    0.2109866088E+00    0.1442722524E+00    0.4181904149E+00
    0.1000000000E+03    0.1610172921E+00    0.3545900258E-01    0.3157476739E+00
    0.3000000000E+03    0.2010582442E+00    0.9628746990E-01    0.3969542008E+00
    0.5000000000E+03    0.2113113426E+00    0.1465790716E+00    0.4189059119E+00
    0.7000000000E+03    0.2159056271E+00    0.1888555624E+00    0.4292829229E+00
    0.9000000000E+03    0.2184707768E+00    0.2248932770E+00    0.4353929051E+00
    0.1100000000E+04    0.2200859648E+00    0.2559796259E+00    0.4394480540E+00
    0.1300000000E+04    0.2211833753E+00    0.2830704970E+00    0.4423507628E+00
    0.1500000000E+04    0.2219691078E+00    0.3068905250E+00    0.4445395807E+00
    0.1700000000E+04    0.2225535760E+00    0.3279990443E+00    0.4462540374E+00
    0.1900000000E+04    0.2230010899E+00    0.3468346862E+00    0.4476364099E+00
    0.2100000000E+04    0.2233515492E+00    0.3637462769E+00    0.4487767340E+00
    0.2300000000E+04    0.2236309646E+00    0.3790147049E+00    0.4497348801E+00
    0.2500000000E+04    0.2238569821E+00    0.3928686959E+00    0.4505522779E+00
    0.2700000000E+04    0.2240419724E+00    0.4054963865E+00    0.4512585497E+00
