     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)
    0.1000000000E+01    0.3167755795E-02    0.8386909447E-02
    0.3000000000E+01    0.9234120219E-02    0.2437537315E-01
    0.5000000000E+01    0.1496929601E-01    0.3939861909E-01
    0.7000000000E+01    0.2040290051E-01    0.5354443108E-01
    0.9000000000E+01    0.2556100282E-01    0.6689017630E-01
    0.1100000000E+02    0.3046664296E-01    0.7950430967E-01
    0.1300000000E+02    0.3514026250E-01    0.9144762455E-01
    0.1500000000E+02    0.3960006376E-01    0.1027742984E+00
    0.1700000000E+02    0.4386231105E-01    0.1135327716E+00
    0.1900000000E+02    0.4794158459E-01    0.1237664897E+00
    0.2100000000E+02    0.5185099541E-01    0.1335145331E+00
    0.2300000000E+02    0.5560236820E-01    0.1428121535E+00
    0.2500000000E+02    0.5920639741E-01    0.1516912338E+00
    0.2700000000E+02    0.6267278117E-01    0.1601806821E+00
    0.2900000000E+02    0.6601033654E-01    0.1683067726E+00
    0.3100000000E+02    0.6922709903E-01    0.1760934398E+00
    0.3300000000E+02    0.7233040897E-01    0.1835625346E+00
    0.3500000000E+02    0.7532698655E-01    0.1907340469E+00
    0.3700000000E+02    0.7822299731E-01    0.1976263011E+00
    0.3900000000E+02    0.8102410954E-01    0.2042561262E+00
    0.4100000000E+02    0.8373554452E-01    0.2106390065E+00
    0.4300000000E+02    0.8636212087E-01    0.2167892138E+00
    0.4500000000E+02    0.8890829361E-01    0.2227199245E+00
    0.4700000000E+02    0.9137818877E-01    0.2284433233E+00
    0.4900000000E+02    0.9377563404E-01    0.2339706951E+00
    0.1000000000E+02    0.2804404668E-01    0.7328472847E-01
    0.3000000000E+02    0.6763334276E-01    0.1722411224E+00
    0.5000000000E+02    0.9494830934E-01    0.2366641719E+00
    0.7000000000E+02    0.1153414171E+00    0.2824201086E+00
    0.9000000000E+02    0.1313412600E+00    0.3168757160E+00
    0.1100000000E+03    0.1443244957E+00    0.3439331372E+00
    0.1300000000E+03    0.1551187755E+00    0.3658603910E+00
    0.1500000000E+03    0.1642591066E+00    0.3840701184E+00
    0.1700000000E+03    0.1721107916E+00    0.3994906565E+00
    0.1900000000E+03    0.1789340731E+00    0.4127587669E+00
    0.2100000000E+03    0.1849206928E+00    0.4243267716E+00
    0.2300000000E+03    0.1902158170E+00    0.4345254777E+00
    0.2500000000E+03    0.1949318386E+00    0.4436028581E+00
    0.2700000000E+03    0.1991574198E+00    0.4517487584E+00
    0.2900000000E+03    0.2029636211E+00    0.4591112040E+00
    0.3100000000E+03    0.2064081776E+00    0.4658074720E+00
    0.3300000000E+03    0.2095385560E+00    0.4719317967E+00
    0.3500000000E+03    0.2123941884E+00    0.4775608508E+00
    0.3700000000E+03    0.2150081346E+00    0.4827577194E+00
    0.3900000000E+03    0.2174083404E+00    0.4875748331E+00
    0.4100000000E+03    0.2196186033E+00    0.4920561648E+00
    0.4300000000E+03    0.2216593239E+00    0.4962388997E+00
    0.4500000000E+03    0.2235480969E+00    0.5001547209E+00
    0.4700000000E+03    0.2253001817E+00    0.5038308096E+00
    0.4900000000E+03    0.2269288799E+00    0.5072906335E+00
    0.1000000000E+03    0.1381493023E+00    0.3311611431E+00
    0.3000000000E+03    0.2047279271E+00    0.4625362535E+00
    0.5000000000E+03    0.2277006568E+00    0.5089459209E+00
    0.7000000000E+03    0.2388441813E+00    0.5344767373E+00
    0.9000000000E+03    0.2451208545E+00    0.5511919359E+00
    0.1100000000E+04    0.2489721626E+00    0.5632210366E+00
    0.1300000000E+04    0.2514661850E+00    0.5724103919E+00
    0.1500000000E+04    0.2531384877E+00    0.5797257154E+00
    0.1700000000E+04    0.2542841583E+00    0.5857276815E+00
    0.1900000000E+04    0.2550774817E+00    0.5907670999E+00
    0.2100000000E+04    0.2556270480E+00    0.5950762098E+00
    0.2300000000E+04    0.2560034501E+00    0.5988156926E+00
    0.2500000000E+04    0.2562541905E+00    0.6021007367E+00
    0.2700000000E+04    0.2564121608E+00    0.6050163640E+00
    0.2900000000E+04    0.2565006884E+00    0.6076268821E+00
    0.3100000000E+04    0.2565366581E+00    0.6099819518E+00
    0.3300000000E+04    0.2565325069E+00    0.6121206142E+00
    0.3500000000E+04    0.2564975345E+00    0.6140740429E+00
    0.3700000000E+04    0.2564387866E+00    0.6158674706E+00
    0.3900000000E+04    0.2563616618E+00    0.6175215701E+00
    0.4100000000E+04    0.2562703384E+00    0.6190534610E+00
    0.4300000000E+04    0.2561680780E+00    0.6204774585E+00
    0.4500000000E+04    0.2560574457E+00    0.6218056370E+00
    0.4700000000E+04    0.2559404723E+00    0.6230482621E+00
    0.4900000000E+04    0.2558187743E+00    0.6242141240E+00
    0.1000000000E+04    0.2472649131E+00    0.5576471753E+00
    0.3000000000E+04    0.2565243794E+00    0.6088336961E+00
    0.5000000000E+04    0.2557565681E+00    0.6247706780E+00
    0.7000000000E+04    0.2544699140E+00    0.6332604341E+00
    0.9000000000E+04    0.2532929532E+00    0.6387313775E+00
    0.1100000000E+05    0.2522806394E+00    0.6426308423E+00
    0.1300000000E+05    0.2514132203E+00    0.6455905992E+00
    0.1500000000E+05    0.2506638978E+00    0.6479360162E+00
    0.1700000000E+05    0.2500098168E+00    0.6498539097E+00
    0.1900000000E+05    0.2494330299E+00    0.6514601823E+00
    0.2100000000E+05    0.2489196652E+00    0.6528310482E+00
    0.2300000000E+05    0.2484589623E+00    0.6540189493E+00
    0.2500000000E+05    0.2480424898E+00    0.6550613088E+00
    0.2700000000E+05    0.2476635626E+00    0.6559856430E+00
    0.2900000000E+05    0.2473168155E+00    0.6568126957E+00
    0.3100000000E+05    0.2469978919E+00    0.6575584410E+00
    0.3300000000E+05    0.2467032166E+00    0.6582354060E+00
    0.3500000000E+05    0.2464298251E+00    0.6588535720E+00
    0.3700000000E+05    0.2461752375E+00    0.6594210028E+00
    0.3900000000E+05    0.2459373610E+00    0.6599442940E+00
    0.4100000000E+05    0.2457144162E+00    0.6604288997E+00
    0.4300000000E+05    0.2455048791E+00    0.6608793744E+00
    0.4500000000E+05    0.2453074358E+00    0.6612995552E+00
    0.4700000000E+05    0.2451209471E+00    0.6616927011E+00
    0.4900000000E+05    0.2449444192E+00    0.6620616002E+00
    0.1000000000E+05    0.2527670003E+00    0.6408276608E+00
    0.3000000000E+05    0.2471541153E+00    0.6571948802E+00
    0.5000000000E+05    0.2448596140E+00    0.6622377207E+00
    0.7000000000E+05    0.2435223230E+00    0.6649267322E+00
    0.9000000000E+05    0.2426158525E+00    0.6666637216E+00
    0.1100000000E+06    0.2419475006E+00    0.6679049339E+00
    0.1300000000E+06    0.2414274486E+00    0.6688493294E+00
    0.1500000000E+06    0.2410073141E+00    0.6695993958E+00
    0.1700000000E+06    0.2406583710E+00    0.6702140210E+00
    0.1900000000E+06    0.2403623211E+00    0.6707297752E+00
    0.2100000000E+06    0.2401068708E+00    0.6711707310E+00
    0.2300000000E+06    0.2398834073E+00    0.6715534711E+00
    0.2500000000E+06    0.2396856890E+00    0.6718898420E+00
    0.2700000000E+06    0.2395090650E+00    0.6721885636E+00
    0.2900000000E+06    0.2393499876E+00    0.6724562166E+00
    0.3100000000E+06    0.2392056962E+00    0.6726978738E+00
    0.3300000000E+06    0.2390740054E+00    0.6729175170E+00
    0.3500000000E+06    0.2389531594E+00    0.6731183221E+00
    0.3700000000E+06    0.2388417283E+00    0.6733028570E+00
    0.3900000000E+06    0.2387385347E+00    0.6734732241E+00
    0.4100000000E+06    0.2386425983E+00    0.6736311632E+00
    0.4300000000E+06    0.2385530957E+00    0.6737781284E+00
    0.4500000000E+06    0.2384693294E+00    0.6739153458E+00
    0.4700000000E+06    0.2383907037E+00    0.6740438573E+00
    0.4900000000E+06    0.2383167067E+00    0.6741645551E+00
    0.1000000000E+06    0.2422589043E+00    0.6673305898E+00
