     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.3739304894E-02    0.8734012444E-03
    0.3000000000E+01    0.1106745106E-01    0.2585137102E-02
    0.5000000000E+01    0.1820161534E-01    0.4251662947E-02
    0.7000000000E+01    0.2514939732E-01    0.5874748645E-02
    0.9000000000E+01    0.3191800476E-01    0.7456072843E-02
    0.1100000000E+02    0.3851427850E-01    0.8997228771E-02
    0.1300000000E+02    0.4494471558E-01    0.1049972961E-01
    0.1500000000E+02    0.5121549049E-01    0.1196501346E-01
    0.1700000000E+02    0.5733247500E-01    0.1339444793E-01
    0.1900000000E+02    0.6330125647E-01    0.1478933441E-01
    0.2100000000E+02    0.6912715483E-01    0.1615091205E-01
    0.2300000000E+02    0.7481523845E-01    0.1748036141E-01
    0.2500000000E+02    0.8037033880E-01    0.1877880788E-01
    0.2700000000E+02    0.8579706411E-01    0.2004732490E-01
    0.2900000000E+02    0.9109981217E-01    0.2128693689E-01
    0.3100000000E+02    0.9628278217E-01    0.2249862204E-01
    0.3300000000E+02    0.1013499858E+00    0.2368331488E-01
    0.3500000000E+02    0.1063052575E+00    0.2484190868E-01
    0.3700000000E+02    0.1111522645E+00    0.2597525771E-01
    0.3900000000E+02    0.1158945152E+00    0.2708417936E-01
    0.4100000000E+02    0.1205353683E+00    0.2816945608E-01
    0.4300000000E+02    0.1250780404E+00    0.2923183726E-01
    0.4500000000E+02    0.1295256135E+00    0.3027204093E-01
    0.4700000000E+02    0.1338810418E+00    0.3129075540E-01
    0.4900000000E+02    0.1381471586E+00    0.3228864077E-01
    0.5100000000E+02    0.1423266822E+00    0.3326633039E-01
    0.5300000000E+02    0.1464222215E+00    0.3422443215E-01
    0.5500000000E+02    0.1504362819E+00    0.3516352979E-01
    0.5700000000E+02    0.1543712701E+00    0.3608418409E-01
    0.5900000000E+02    0.1582294987E+00    0.3698693395E-01
    0.6100000000E+02    0.1620131914E+00    0.3787229747E-01
    0.6300000000E+02    0.1657244865E+00    0.3874077297E-01
    0.6500000000E+02    0.1693654413E+00    0.3959283986E-01
    0.6700000000E+02    0.1729380363E+00    0.4042895959E-01
    0.6900000000E+02    0.1764441778E+00    0.4124957647E-01
    0.7100000000E+02    0.1798857022E+00    0.4205511843E-01
    0.7300000000E+02    0.1832643788E+00    0.4284599779E-01
